"id","name","code","account_type","reconcile","tax_ids","name@es"
"account_account_template_0_111301","0-PayPal Account 1","0.111301","asset_cash","False","","0-Cuenta PayPal 1"
"account_account_template_0_111401","0-Funds in transit in treasury","0.111401","asset_current","False","","0-Fondos en tránsito en tesorería"
"account_account_template_0_111403","0-Funds in transit from PayPal to Banks","0.111403","asset_current","False","","0-Fondos en tránsito de PayPal a Bancos"
"account_account_template_0_111501","0-Investment 1","0.111501","asset_current","False","","0-Inversión 1"
"account_account_template_0_112001","0-Trade accounts receivable","0.112001","asset_receivable","True","","0-Cuentas por cobrar comerciales"
"account_account_template_0_112011","0-Trade accounts receivable (PoS)","0.112011","asset_receivable","True","","0-Cuentas por cobrar comerciales (PoS)"
"account_account_template_0_112002","0-Accounts receivable from related companies","0.112002","asset_receivable","True","","0-Cuentas por cobrar a compañías relacionadas"
"account_account_template_0_112003","0-Accounts receivable from employees","0.112003","asset_receivable","True","","0-Cuentas por cobrar a empleados"
"account_account_template_0_112004","0-Other accounts receivable","0.112004","asset_receivable","True","","0-Otras cuentas por cobrar"
"account_account_template_0_112005","0-Short-term investments","0.112005","asset_receivable","True","","0-Inversiones de corto plazo"
"account_account_template_0_113101","0-Product inventory for sale","0.113101","asset_current","False","","0-Inventario de producto para la venta"
"account_account_template_0_113102","0-Consumables inventory","0.113102","asset_current","False","","0-Inventario de consumibles"
"account_account_template_0_121111","0-Land 1","0.121111","asset_current","False","","0-Terreno 1"
"account_account_template_0_121121","0-Land 1","0.121121","asset_current","False","","0-Terreno 1"
"account_account_template_0_122111","0-Building 1","0.122111","asset_current","False","","0-Edificio 1"
"account_account_template_0_122121","0-Building 1","0.122121","asset_current","False","","0-Edificio 1"
"account_account_template_0_122211","0-Building 1","0.122211","asset_current","False","","0-Edificio 1"
"account_account_template_0_122221","0-Building 1","0.122221","asset_current","False","","0-Edificio 1"
"account_account_template_0_122301","0-Machinery and building equipment","0.122301","asset_current","False","","0-Maquinaria y equipo de edificios"
"account_account_template_0_122302","0-Major tools","0.122302","asset_current","False","","0-Herramientas mayores"
