id,sequence,code,name,report_name,internal_type,doc_code_prefix,country_id/id,l10n_cl_active,active
dc_a_f_dte,1,33,Electronic Invoice,INVOICE,invoice,FAC,base.cl,True,True
dc_y_f_dte,2,34,Unaffected or Exempt Electronic Invoice,F-EXENTA,invoice,FNA,base.cl,True,True
dc_nc_f_dte,3,61,Electronic Credit Note,CREDIT NOTE,credit_note,N/C,base.cl,True,True
dc_nd_f_dte,4,56,Electronic Debit Note,DEBIT NOTE,debit_note,N/D,base.cl,True,True
dc_b_f_dte,5,39,Electronic Receipt,BEL,invoice,BEL,base.cl,True,True
dc_m_d_dtn,6,71,Electronic Fee Slips,BHE,invoice,BHE,base.cl,True,True
dc_b_e_dtn,7,38,Exempt Receipt,BEX,invoice,BEX,base.cl,False,False
dc_gd_dte,8,52,Electronic Dispatch Guide,GDE,stock_picking,GDE,base.cl,False,True
dc_I_f_dtn,10,29,Invoice of Initiation,FAI,invoice,FAI,base.cl,False,False
dc_a_f_dtn,10,30,Invoice,"INVOICE",invoice,FAC,base.cl,False,False
dc_y_f_dtn,10,32,Invoice of Sales and Services not Affected or Exempt from VAT,F-EXENTA,invoice,FNA,base.cl,False,False
dc_b_f_dtn,10,35,Bill of Sale,BOL,invoice,BOL,base.cl,False,False
dc_l_f_dtn,10,40,Invoice Settlement,L-FACTURAM,invoice,FAL,base.cl,False,False
dc_b_e_dte,10,41,Electronic Exempt Receipt,BXE,invoice,BXE,base.cl,True,True
dc_l_f_dte,10,43,Electronic Invoice Settlement,L-FACTURAE,invoice,FAL,base.cl,False,False
dc_fc_f_dtn,10,45,Purchase Invoice,"INVOICE",invoice_in,FAC,base.cl,False,False
dc_fc_f_dte,10,46,Electronic Purchase Invoice,"INVOICE",invoice_in,FAC,base.cl,False,True
dc_gd,10,50,Dispatch Guide,GD,stock_picking,GD,base.cl,False,False
dc_nd_f_dtn,10,55,Debit Note,DEBIT NOTE,debit_note,N/D,base.cl,False,False
dc_nc_f_dtn,10,60,Credit Note,CREDIT NOTE,credit_note,N/C,base.cl,False,False
dc_m_f_dtn,10,70,Fee Slips,BHO,invoice,BHO,base.cl,False,False
dc_li,10,103,Liquidation,LIQ,,LIQ,base.cl,False,True
dc_s_f_dtn,10,108,SRF Invoice Registration Request,SOL REGISTRO,,REG,base.cl,False,True
dc_fe_dte,10,110,Electronic Export Invoice,FCXE,invoice,FCXE,base.cl,False,True
dc_ndex_dte,10,111,Electronic Export Debit Note,NDXE,debit_note,NDXE,base.cl,False,True
dc_ncex_dte,10,112,Electronic Export Credit Note,NCXE,credit_note,NCXE,base.cl,False,True
dc_oc,10,300,Purchase Order,OC,,OC,base.cl,False,True
dc_tca_f_dtn,10,500,Exchange Rate Increase Adjustment (code 500),TC-A,,TCA,base.cl,False,True
dc_tcd_f_dtn,10,501,Exchange Rate Decrease Adjustment (code 501),TC-D,,TCD,base.cl,False,True
dc_odc,10,801,Purchase Order,OC,,OC,base.cl,False,True
dc_ndp,10,802,Order Note,NP,,NP,base.cl,False,True
dc_cont,10,803,Contract,CONT,,CONT,base.cl,False,True
dc_resol,10,804,Resolution,RES,,RES,base.cl,False,True
dc_prchc,10,805,Chile Purchase Process,PCHC,,PCHC,base.cl,False,True
dc_fichc,10,806,Chile Purchase Form,FCHC,,FCHC,base.cl,False,True
dc_dus,10,807,Single Exit Document (DUS),DUS,,DUS,base.cl,False,True
dc_bl_cemb,10,808,B/L (Bill of Lading),B/L,,B/L,base.cl,False,True
dc_awb,10,809,AWB Airway Bill,AWB,,AWB,base.cl,False,True
dc_mic_dta,10,810,MIC/DTA,MDT,,MDT,base.cl,False,True
dc_cpor,10,811,Bill of Lading,CPR,,CPR,base.cl,False,True
dc_res_sna,10,812,Resolution of the SNA where it qualifies Export Services,RSN,,RSN,base.cl,False,True
dc_pasap,10,813,Passport,PSP,,PSP,base.cl,False,True
dc_cd_bol,10,814,Certificate of Deposit Bolsa Prod. Chile.,CRTD,,CRTD,base.cl,False,True
dc_vp_pren,10,815,Pledge Voucher Bolsa Prod. Chile,VLPR,,VLPR,base.cl,False,True
dc_ftf_f_dtn,10,901,Invoice for sales to companies in the preferential territory ( Ex. Res. No. 1057,"INVOICE",invoice,FAC,base.cl,False,False
dc_cem_ma,10,902,Bill of Lading (Sea or Air),CEM,,CEM,base.cl,False,True
dc_ftt_f_dtn,10,904,Transfer Invoice,FACT TR,invoice,FTR,base.cl,False,False
dc_frr_f_dtn,10,905,Reissue Invoice,FACT RX,invoice,FRX,base.cl,False,False
dc_bzf_f_dtn,10,906,ZF Modules Sale Ballots (all),BOLETA ZF,invoice,BZF,base.cl,False,False
dc_fzf_f_dtn,10,907,Sales Invoices ZF Module (all),"INVOICE ZF",invoice,FZF,base.cl,False,False
dc_dizf_f_dtn,10,911,Declaration of Entry to Primary Free Trade Zone,DEC ING,invoice_in,DIN,base.cl,False,False
dc_din_f_dtn,10,914,Income Statement (DIN),DEC ING,invoice_in,DIN,base.cl,False,True
dc_res_vn_sf,10,919,Summary of Domestic Sales without Invoice,PASJ,,PASJ,base.cl,False,True
dc_chq,10,CHQ,Cheque,CHQ,,CHQ,base.cl,False,True
dc_hem,10,HEM,Material Entry Sheet (HEM),HEM,,HEM,base.cl,False,True
dc_hes,10,HES,Service Entry Sheet (HES),HES,,HES,base.cl,False,True
dc_migo,10,MIG,Movement of Goods (MIGO),MIGO,,MIGO,base.cl,False,True
dc_pag,10,PAG,Promissory note,PAG,,PAG,base.cl,False,True
