"id","description","name","type_tax_use","amount","sequence","tax_group_id","amount_type","price_include","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@lv"
"tax_sale_vat_21","21%","21%","sale","21.0","100","tax_group_vat_21","percent","","100","base","invoice","+41","","21%"
"","","","","","","","","","100","tax","invoice","+52","a5721",""
"","","","","","","","","","100","base","refund","-41","",""
"","","","","","","","","","100","tax","refund","-52","a5721",""
"tax_sale_vat_reverse","0%","Reverse charge VAT","sale","0.0","110","tax_group_vat_exempt","percent","False","100","base","invoice","+411","","Pārdošana reversa"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-411","",""
"","","","","","","","","","100","tax","refund","","",""
"tax_sale_vat_12","12%","12%","sale","12.0","120","tax_group_vat_12","percent","False","100","base","invoice","+42","","12%"
"","","","","","","","","","100","tax","invoice","+53","a5721",""
"","","","","","","","","","100","base","refund","-42","",""
"","","","","","","","","","100","tax","refund","-53","a5721",""
"tax_sale_vat_5","5%","5%","sale","5.0","130","tax_group_vat_5","percent","False","100","base","invoice","+421","","5%"
"","","","","","","","","","100","tax","invoice","+531","a5721",""
"","","","","","","","","","100","base","refund","-421","",""
"","","","","","","","","","100","tax","refund","-531","a5721",""
"tax_sale_vat_0_s","0%","0% S","sale","0.0","140","tax_group_vat_0","percent","False","100","base","invoice","+48","","0% Pakalpojumi"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-48","",""
"","","","","","","","","","100","tax","refund","","",""
"tax_sale_vat_0_ex_g","0%","0% EX G","sale","0.0","150","tax_group_vat_0","percent","False","100","base","invoice","+481","","0% EX Preces"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-481","",""
"","","","","","","","","","100","tax","refund","","",""
"tax_sale_vat_0_ex_s","0%","0% EX S","sale","0.0","160","tax_group_vat_exempt","percent","False","100","base","invoice","+482","","0% EX Pakalpojumi"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-482","",""
"","","","","","","","","","100","tax","refund","","",""
