id,code,name,user_type_id/id,reconcile,chart_template_id/id
100020,100020,Stock Valuation Account,account.data_account_type_current_assets,True,default_chart_template
100030,100030,Stock Work In Progress,account.data_account_type_current_assets,False,default_chart_template
100040,100040,Stock Finished Goods,account.data_account_type_current_assets,False,default_chart_template
100050,100050,Stock Delivered Control Account,account.data_account_type_current_assets,True,default_chart_template
100060,100060,Purchase Tax Control Account,account.data_account_type_current_assets,False,default_chart_template
100070,100070,Other Current Assets,account.data_account_type_current_assets,False,default_chart_template
110010,110010,Debtors Control Account,account.data_account_type_receivable,True,default_chart_template
110020,110020,Sundry Debtors,account.data_account_type_receivable,True,default_chart_template
110030,110030,Debtors Control Account (PoS),account.data_account_type_receivable,True,default_chart_template
124010,124010,Credit Card Merchant Account,account.data_account_type_liquidity,False,default_chart_template
126010,126010,Cash In Hand,account.data_account_type_liquidity,False,default_chart_template
130010,130010,Prepayments,account.data_account_type_prepayments,False,default_chart_template
140010,140010,Software,account.data_account_type_fixed_assets,False,default_chart_template
140020,140020,Patents & Trademarks,account.data_account_type_fixed_assets,False,default_chart_template
140030,140030,Fixtures & Fittings,account.data_account_type_fixed_assets,False,default_chart_template
140040,140040,Land & Buildings,account.data_account_type_fixed_assets,False,default_chart_template
140050,140050,Motor Vehicles,account.data_account_type_fixed_assets,False,default_chart_template
140060,140060,Office Equipment (incl computer equipment),account.data_account_type_fixed_assets,False,default_chart_template
140070,140070,Plant & Machinery,account.data_account_type_fixed_assets,False,default_chart_template
150010,150010,Non-current assets,account.data_account_type_non_current_assets,False,default_chart_template
200010,200010,Stock Received Control Account,account.data_account_type_current_liabilities,True,default_chart_template
200020,200020,Sundry Creditors,account.data_account_type_current_liabilities,False,default_chart_template
200030,200030,Other Creditors,account.data_account_type_current_liabilities,False,default_chart_template
200040,200040,Accruals,account.data_account_type_current_liabilities,False,default_chart_template
200050,200050,Bad debt provision,account.data_account_type_current_liabilities,False,default_chart_template
200060,200060,Sales Tax Control Account,account.data_account_type_current_liabilities,False,default_chart_template
200070,200070,Manual Adjustments & VAT,account.data_account_type_current_liabilities,False,default_chart_template
200080,200080,Loans,account.data_account_type_current_liabilities,False,default_chart_template
200090,200090,Hire Purchase,account.data_account_type_current_liabilities,False,default_chart_template
200100,200100,Mortgages,account.data_account_type_current_liabilities,False,default_chart_template
210010,210010,Company Credit Card,account.data_account_type_credit_card,False,default_chart_template
220010,220010,Creditors Control Account,account.data_account_type_payable,True,default_chart_template
220020,220020,SARS - VAT Account,account.data_account_type_payable,True,default_chart_template
220030,220030,P.A.Y.E. & UIF,account.data_account_type_payable,True,default_chart_template
220040,220040,Net Wages,account.data_account_type_payable,True,default_chart_template
220050,220050,Pension Fund,account.data_account_type_payable,True,default_chart_template
220060,220060,Corporation Tax,account.data_account_type_payable,True,default_chart_template
300010,300010,Called up share capital,account.data_account_type_equity,False,default_chart_template
300020,300020,Share premium account,account.data_account_type_equity,False,default_chart_template
300030,300030,Revaluation reserve,account.data_account_type_equity,False,default_chart_template
300040,300040,Other reserves,account.data_account_type_equity,False,default_chart_template
300050,300050,Capital,account.data_account_type_equity,False,default_chart_template
300060,300060,Dividends,account.data_account_type_equity,False,default_chart_template
