id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id,tax_group_id:id
ST1,15%,default_chart_template,sale,Standard Rate,percent,15,200060,200060,,tag_ST1,tax_group_1
ST1A,15%,default_chart_template,sale,Standard Rate (Capital Goods),percent,15,200060,200060,,tag_ST1A,tax_group_1
ST2,0%,default_chart_template,sale,Zero Rate,percent,0,200060,200060,,tag_ST2,tax_group_0
ST2A,0%,default_chart_template,sale,Zero Rate Exports,percent,0,200060,200060,,tag_ST2A,tax_group_0
ST3,0%,default_chart_template,sale,Exempt and Non-Supplies,percent,0,200060,200060,,tag_ST3,tax_group_0
ST5,15%,default_chart_template,sale,Accommodation (28+ days),percent,15,200060,200060,,tag_ST5,tax_group_1
ST7,15%,default_chart_template,sale,Accommodation (Under 28 days),percent,15,200060,200060,,tag_ST7,tax_group_1
ST10,15%,default_chart_template,sale,Export of Second-hand Goods/ Change in Use,percent,15,200060,200060,,tag_ST10,tax_group_1
ST12,15%,default_chart_template,sale,VAT Adjustments and Manual VAT,percent,15,200060,200060,,tag_ST12,tax_group_1
PT14,15%,default_chart_template,purchase,Standard Rate (Capital Goods),percent,15,100060,100060,,tag_PT14,tax_group_1
PT14A,15%,default_chart_template,purchase,Capital Goods Imported,percent,15,100060,100060,,tag_PT14A,tax_group_1
PT15,15%,default_chart_template,purchase,Standard Rate,percent,15,100060,100060,,tag_PT15,tax_group_1
PT15A,15%,default_chart_template,purchase,Goods and Services Imported,percent,15,100060,100060,,tag_PT15A,tax_group_1
PT16,15%,default_chart_template,purchase,Change in Use,percent,15,100060,100060,,tag_PT16,tax_group_1
PT17,15%,default_chart_template,purchase,Bad Debts,percent,15,100060,100060,,tag_PT17,tax_group_1
PT18,15%,default_chart_template,purchase,Other Adjustments,percent,15,100060,100060,,tag_PT18,tax_group_1
