"id","country_id:id","code","name"
"state_et_1","base.et","AA","Addis Ababa"
"state_et_2","base.et","AF","Afar"
"state_et_3","base.et","AM","Amhara"
"state_et_4","base.et","BN","Benishangul-Gumuz"
"state_et_5","base.et","DR","Dire Dawa"
"state_et_6","base.et","GM","Gambella Peoples"
"state_et_7","base.et","HR","Harrari Peoples"
"state_et_8","base.et","OR","Oromia"
"state_et_9","base.et","SM","Somalia"
"state_et_10","base.et","SP","Southern Peoples, Nations, and Nationalities"
"state_et_11","base.et","TG","Tigray"
