"id","code","name","description","rate_type","regular_taxation","presumed_credit","credit_reversal","tax_ibs_id:id","tax_cbs_id:id"
"tax_classification_000001","000001","Situações tributadas integralmente pelo IBS e CBS.","Situações tributadas integralmente pelo IBS e CBS.","2","False","False","False","tax_ibs_0_1","tax_cbs_0_9"
"tax_classification_000002","000002","Exploração de via","Exploração de via","2","False","False","False","tax_ibs_0_1","tax_cbs_0_9"
"tax_classification_000003","000003","Regime automotivo - projetos incentivados (art. 311)","Regime automotivo - projetos incentivados (art. 311)","2","False","True","False","tax_ibs_0_1","tax_cbs_0_9"
"tax_classification_000004","000004","Regime automotivo - projetos incentivados (art. 312)","Regime automotivo - projetos incentivados (art. 312)","2","False","True","False","tax_ibs_0_1","tax_cbs_0_9"

"tax_classification_010001","010001","Operações do FGTS não realizadas pela Caixa Econômica Federal","Operações do FGTS não realizadas pela Caixa Econômica Federal","5","False","False","False","",""
"tax_classification_010002","010002","Operações do serviço financeiro","Operações do serviço financeiro","5","False","False","False","",""

"tax_classification_011001","011001","Planos de assistência funerária.","Planos de assistência funerária.","4","False","False","False","tax_ibs_0_1_red_60","tax_cbs_0_9_red_60"
"tax_classification_011002","011002","Planos de assistência à saúde","Planos de assistência à saúde","4","False","False","False","tax_ibs_0_1_red_60","tax_cbs_0_9_red_60"
"tax_classification_011003","011003","Intermediação de planos de assistência à saúde","Intermediação de planos de assistência à saúde","4","False","False","False","tax_ibs_0_1_red_60","tax_cbs_0_9_red_60"
"tax_classification_011004","011004","Concursos e prognósticos","Concursos e prognósticos","4","False","False","False","tax_ibs_0_1","tax_cbs_0_9"
"tax_classification_011005","011005","Planos de assistência à saúde de animais domésticos","Planos de assistência à saúde de animais domésticos","4","False","False","False","tax_ibs_0_1_red_30","tax_cbs_0_9_red_30"

"tax_classification_200001","200001","Aquisições realizadas entre empresas autorizadas a operar em zonas de processamento de exportação","Aquisições realizadas entre empresas autorizadas a operar em zonas de processamento de exportação","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200002","200002","Fornecimento ou importação para produtor rural não contribuinte ou TAC","Fornecimento ou importação para produtor rural não contribuinte ou TAC","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200003","200003","Vendas de produtos destinados à alimentação humana (Anexo I)","Vendas de produtos destinados à alimentação humana (Anexo I)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200004","200004","Venda de dispositivos médicos (Anexo XII)","Venda de dispositivos médicos (Anexo XII)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200005","200005","Venda de dispositivos médicos adquiridos por órgãos da administração pública (Anexo IV)","Venda de dispositivos médicos adquiridos por órgãos da administração pública (Anexo IV)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200006","200006","Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XII)","Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XII)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200007","200007","Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII)","Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200008","200008","Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V)","Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200009","200009","Fornecimento de medicamentos (Anexo XIV)","Fornecimento de medicamentos (Anexo XIV)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200010","200010","Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública","Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200011","200011","Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI)","Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200012","200012","Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XIV)","Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XIV)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200013","200013","Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos","Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200014","200014","Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV)","Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200015","200015","Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência","Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200016","200016","Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT)","Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT)","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200017","200017","Operações relacionadas ao FGTS","Operações relacionadas ao FGTS","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200018","200018","Operações de resseguro e retrocessão","Operações de resseguro e retrocessão","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
"tax_classification_200019","200019","Importador dos serviços financeiros contribuinte","Importador dos serviços financeiros contribuinte","2","False","False","False","tax_ibs_0_1_red_100","tax_cbs_0_9_red_100"
