"id","item","code","segment","name","ncms"
"cest_0100100","1.0","01.001.00","01","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores","38151210,38151290"
"cest_0100200","2.0","01.002.00","01","Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos","3917"
"cest_0100300","3.0","01.003.00","01","Protetores de caçamba","39181000"
"cest_0100400","4.0","01.004.00","01","Reservatórios de óleo","39233000"
"cest_0100500","5.0","01.005.00","01","Frisos, decalques, molduras e acabamentos","39263000"
"cest_0100600","6.0","01.006.00","01","Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias","40103,59100000"
"cest_0100700","7.0","01.007.00","01","Juntas, gaxetas e outros elementos com função semelhante de vedação","40169300,4823909"
"cest_0100800","8.0","01.008.00","01","Partes de veículos automóveis, tratores e máquinas autopropulsadas","40161010"
"cest_0100900","9.0","01.009.00","01","Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins","40169990,57050000"
"cest_0101000","10.0","01.010.00","01","Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico","59039000"
"cest_0101100","11.0","01.011.00","01","Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias","59090000"
"cest_0101200","12.0","01.012.00","01","Encerados e toldos","63061"
"cest_0101300","13.0","01.013.00","01","Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores","65061000"
"cest_0101400","14.0","01.014.00","01","Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias","6813"
"cest_0101500","15.0","01.015.00","01","Vidros de dimensões e formatos que permitam aplicação automotiva","70071100,70072100"
"cest_0101600","16.0","01.016.00","01","Espelhos retrovisores","70091000"
