id,code,name,ncms
nbm_0000100000,0000.10.0000,ENCOMENDAS,99910000
nbm_0000200000,0000.20.0000,MERCADORIAS PARA FINS DE DIVULGACAO E TESTES EXTERIOR,99920000
nbm_0000700000,0000.70.0000,DOACOES,99970000
nbm_0000710010,0000.71.0010,"PEDRAS EM BRUTO,DO CAPITULO 71 DA NBM-SH",99997101
nbm_0000710020,0000.71.0020,PEDRAS LAPIDADAS/TRABALHADAS DO CAPITULO 71 DA NBM-SH,99997102
nbm_0000710030,0000.71.0030,JOALHERIA DE OURO DO CAPITULO 71 DA NBM-SH,99997103
nbm_0000710040,0000.71.0040,DEMAIS ARTIGOS DO CAPITULO 71 DA NBM-SH,99997104
nbm_0000800100,0000.80.0100,Consumo de bordo - COMBUSTIVEIS E LUBRIF.P/EMBARCACOES,99980101
nbm_0000800200,0000.80.0200,Consumo de bordo - COMBUSTIVEIS E LUBRIF.P/AERONAVES,99980102
nbm_0000809800,0000.80.9800,Consumo de bordo - QQ.OUTRA MERCADORIA PARA EMBARCACOES,99980201
nbm_0000809900,0000.80.9900,Consumo de bordo - QQ.OUTRA MERCADORIA PARA AERONAVES,99980202
nbm_0000900000,0000.90.0000,"OUTRAS EXPORTACOES SEM COBERTURA CAMBIAL,SEM RETORNO",99999900
nbm_0101110000,0101.11.0000,CAVALOS REPRODUTORES DE RACA PURA,01011100
nbm_0101190100,0101.19.0100,"CAVALOS,MATRIZ PRENHE OU COM CRIA AO PE",01011900
nbm_0101190200,0101.19.0200,CAVALOS DE CORRIDA,01011900
nbm_0101199900,0101.19.9900,OUTROS CAVALOS VIVOS,01011900
nbm_0101200100,0101.20.0100,"ASININOS E MUARES,REPRODUTORES DE RACA PURA",01012000
nbm_0101209900,0101.20.9900,"OUTROS ASININOS E MUARES,VIVOS",01012000
nbm_0102100100,0102.10.0100,Bovinos Reprodutores de raça Pura,"01021010,01021090"
nbm_0102100200,0102.10.0200,Búfalos Reprodutores de raça Pura,"01021010,01021090"
nbm_0102900101,0102.90.0101,"BOVINOS,MATRIZ PRENHE OU COM CRIA AO PE",01029011
nbm_0102900102,0102.90.0102,BOVINOS PARA CORTE (CONSUMO),01029090
nbm_0102900199,0102.90.0199,QUALQUER OUTRO BOVINO VIVO,"01029019,01029090"
nbm_0102900200,0102.90.0200,OUTROS BUFALOS VIVOS,"01029011,01029019,01029090"
nbm_0103100000,0103.10.0000,SUINOS REPRODUTORES DE RACA PURA,01031000
nbm_0103910000,0103.91.0000,"OUTROS SUINOS VIVOS,DE PESO<50KG",01039100
nbm_0103920000,0103.92.0000,"OUTROS SUINOS VIVOS,DE PESO>=50KG",01039200
nbm_0104100100,0104.10.0100,OVINOS REPRODUTORES DE RACA PURA,"01041011,01041019"
nbm_0104100200,0104.10.0200,"OVINOS,MATRIZ PRENHE OU COM CRIA AO PE",01041090
nbm_0104109900,0104.10.9900,OUTROS OVINOS VIVOS,01041090
nbm_0104200100,0104.20.0100,CAPRINOS REPRODUTORES DE RACA PURA,01042010
nbm_0104209900,0104.20.9900,OUTROS CAPRINOS VIVOS,01042090
nbm_0105110000,0105.11.0000,"GALOS E GALINHAS,VIVOS,DE PESO<=185G","01051110,01051190"
nbm_0105190100,0105.19.0100,"PERUS E PERUAS,VIVOS,DE PESO<=185G",01051200
nbm_0105190200,0105.19.0200,"PATOS E GANSOS,VIVOS,DE PESO<=185G",01051900
nbm_0105199900,0105.19.9900,"GALINHAS D'ANGOLA (PINTADAS),VIVAS,DE PESO<=185G",01051900
nbm_0105910000,0105.91.0000,"GALOS E GALINHAS,VIVOS,DE PESO>185G","01059200,01059300"
nbm_0105990000,0105.99.0000,"PATOS,GANSOS,PERUS,PERUAS E PINTADAS,VIVOS,DE PESO>185G",01059900
nbm_0106000100,0106.00.0100,COELHO REPRODUTOR DE RACA PURA,01060090
nbm_0106000200,0106.00.0200,"ABELHA RAINHA,VIVA",01060090
nbm_0106000300,0106.00.0300,"ANIMAIS VIVOS,PARA LABORATORIO OU PESQUISA CIENTIFICA",01060090
nbm_0106000400,0106.00.0400,CHINCHILA REPRODUTOR DE RACA PURA,01060090
nbm_0106009900,0106.00.9900,OUTROS ANIMAIS VIVOS,"01060010,01060090"
nbm_0201100000,0201.10.0000,"CARCACA E MEIA-CARCACA,DE BOVINO,N/DESOSS.FRESCA/REFRIG",02011000
nbm_0201200100,0201.20.0100,"QUARTO DE DIANTEIRO,DE BOVINO,N/DESOSSADO,FRESCO/REFRIG",02012010
nbm_0201200200,0201.20.0200,"QUARTO DE TRASEIRO,DE BOVINO,N/DESOSSADO,FRESCO/REFRIG.",02012020
nbm_0201200300,0201.20.0300,"COSTELA DE BOVINO,NAO DESOSSADA,FRESCA OU REFRIGERADA",02012090
nbm_0201200400,0201.20.0400,"BISTECA DE BOVINO,NAO DESOSSADA,FRESCA OU REFRIGERADA",02012090
nbm_0201200500,0201.20.0500,"TIBONE DE BOVINO,NAO DESOSSADO,FRESCO OU REFRIGERADO",02012090
nbm_0201209900,0201.20.9900,"OUTRAS PECAS DE BOVINO,NAO DESOSSADAS,FRESCAS OU REFRIG",02012090
nbm_0201300100,0201.30.0100,"CARCACA/MEIA-CARCACA,DE BOVINO,DESOSSADA,FRESCA/REFRIG.",02013000
nbm_0201300200,0201.30.0200,"QUARTO DE DIANTEIRO,DE BOVINO,DESOSSADO,FRESCO/REFRIGER",02013000
nbm_0201300300,0201.30.0300,"QUARTO DE TRASEIRO,DE BOVINO,DESOSSADO,FRESCO OU REFRIG",02013000
nbm_0201300401,0201.30.0401,"CORACAO DE ALCATRA,DE BOVINO,DESOSSADO,FRESCO OU REFRIG",02013000
nbm_0201300402,0201.30.0402,"PICANHA DE ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIG",02013000
nbm_0201300403,0201.30.0403,"MAMINHA DE ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIG",02013000
nbm_0201300499,0201.30.0499,"QQ.OUTRA ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIGER",02013000
nbm_0201300500,0201.30.0500,"CONTRAFILE DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO",02013000
