"id","code","cst_group","name","cst_in_id:id","cst_out_id:id"
"tax_guideline_001","001","imunidade","Livros, jornais, periódicos e o papel destinado à sua impressão - Art. 18 Inciso I do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_002","002","imunidade","Produtos industrializados destinados ao exterior - Art. 18 Inciso II do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_003","003","imunidade","Ouro, definido em lei como ativo financeiro ou instrumento cambial - Art. 18 Inciso III do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_004","004","imunidade","Energia elétrica, derivados de petróleo, combustíveis e minerais do País - Art. 18 Inciso IV do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_005","005","imunidade","Exportação de produtos nacionais - sem saída do território brasileiro - venda para empresa sediada no exterior - atividades de pesquisa ou lavra de jazidas de petróleo e de gás natural - Art. 19 Inciso I do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_006","006","imunidade","Exportação de produtos nacionais - sem saída do território brasileiro - venda para empresa sediada no exterior - incorporados a produto final exportado para o Brasil - Art. 19 Inciso II do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_007","007","imunidade","Exportação de produtos nacionais - sem saída do território brasileiro - venda para órgão ou entidade de governo estrangeiro ou organismo internacional de que o Brasil seja membro, para ser entregue, no País, à ordem do comprador - Art. 19 Inciso III do Decreto 7.212/2010","cst_ipi_04","cst_ipi_54"
"tax_guideline_101","101","suspensao","Óleo de menta em bruto, produzido por lavradores - Art. 43 Inciso I do Decreto 7.212/2010","cst_ipi_05","cst_ipi_55"
"tax_guideline_102","102","suspensao","Produtos remetidos à exposição em feiras de amostras e promoções semelhantes - Art. 43 Inciso II do Decreto 7.212/2010","cst_ipi_05","cst_ipi_55"
"tax_guideline_103","103","suspensao","Produtos remetidos a depósitos fechados ou armazéns-gerais, bem assim aqueles devolvidos ao remetente - Art. 43 Inciso III do Decreto 7.212/2010","cst_ipi_05","cst_ipi_55"
"tax_guideline_104","104","suspensao","Produtos industrializados, que com matérias-primas (MP), produtos intermediários (PI) e material de embalagem (ME) importados subm etidos a regime aduaneiro especial (drawback - suspensão/isenção), remetidos diretamente a empresas industriais exportadoras - Art. 43 Inciso IV do Decreto 7.212/2010","cst_ipi_05","cst_ipi_55"
