"id","code","name","version","internal_type","parent_id:id"
"cnae_a","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","2.3","view",""
"cnae_01","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","2.3","view","cnae_a"
"cnae_011","01.1","Produção de lavouras temporárias","2.3","view","cnae_01"
"cnae_01113","01.11-3","Cultivo de cereais","2.3","view","cnae_011"
"cnae_0111301","0111-3/01","Cultivo de arroz","2.3","normal","cnae_01113"
"cnae_0111302","0111-3/02","Cultivo de milho","2.3","normal","cnae_01113"
"cnae_0111303","0111-3/03","Cultivo de trigo","2.3","normal","cnae_01113"
"cnae_0111399","0111-3/99","Cultivo de outros cereais não especificados anteriormente","2.3","normal","cnae_01113"
"cnae_01121","01.12-1","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","2.3","view","cnae_011"
"cnae_0112101","0112-1/01","Cultivo de algodão herbáceo","2.3","normal","cnae_01121"
"cnae_0112102","0112-1/02","Cultivo de juta","2.3","normal","cnae_01121"
"cnae_0112199","0112-1/99","Cultivo de outras fibras de lavoura temporária não especificadas anteriormente","2.3","normal","cnae_01121"
"cnae_01130","01.13-0","Cultivo de cana-de-açúcar","2.3","view","cnae_011"
"cnae_0113000","0113-0/00","Cultivo de cana-de-açúcar","2.3","normal","cnae_01130"
"cnae_01148","01.14-8","Cultivo de fumo","2.3","view","cnae_011"
"cnae_0114800","0114-8/00","Cultivo de fumo","2.3","normal","cnae_01148"
"cnae_01156","01.15-6","Cultivo de soja","2.3","view","cnae_011"
"cnae_0115600","0115-6/00","Cultivo de soja","2.3","normal","cnae_01156"
"cnae_01164","01.16-4","Cultivo de oleaginosas de lavoura temporária, exceto soja","2.3","view","cnae_011"
"cnae_0116401","0116-4/01","Cultivo de amendoim","2.3","normal","cnae_01164"
"cnae_0116402","0116-4/02","Cultivo de girassol","2.3","normal","cnae_01164"
"cnae_0116403","0116-4/03","Cultivo de mamona","2.3","normal","cnae_01164"
"cnae_0116499","0116-4/99","Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente","2.3","normal","cnae_01164"
"cnae_01199","01.19-9","Cultivo de plantas de lavoura temporária não especificadas anteriormente","2.3","view","cnae_011"
"cnae_0119901","0119-9/01","Cultivo de abacaxi","2.3","normal","cnae_01199"
"cnae_0119902","0119-9/02","Cultivo de alho","2.3","normal","cnae_01199"
"cnae_0119903","0119-9/03","Cultivo de batata-inglesa","2.3","normal","cnae_01199"
"cnae_0119904","0119-9/04","Cultivo de cebola","2.3","normal","cnae_01199"
"cnae_0119905","0119-9/05","Cultivo de feijão","2.3","normal","cnae_01199"
"cnae_0119906","0119-9/06","Cultivo de mandioca","2.3","normal","cnae_01199"
"cnae_0119907","0119-9/07","Cultivo de melão","2.3","normal","cnae_01199"
"cnae_0119908","0119-9/08","Cultivo de melancia","2.3","normal","cnae_01199"
"cnae_0119909","0119-9/09","Cultivo de tomate rasteiro","2.3","normal","cnae_01199"
"cnae_0119999","0119-9/99","Cultivo de outras plantas de lavoura temporária não especificadas anteriormente","2.3","normal","cnae_01199"
"cnae_012","01.2","Horticultura e floricultura","2.3","view","cnae_01"
"cnae_01211","01.21-1","Horticultura","2.3","view","cnae_012"
"cnae_0121101","0121-1/01","Horticultura, exceto morango","2.3","normal","cnae_01211"
"cnae_0121102","0121-1/02","Cultivo de morango","2.3","normal","cnae_01211"
"cnae_01229","01.22-9","Cultivo de flores e plantas ornamentais","2.3","view","cnae_012"
"cnae_0122900","0122-9/00","Cultivo de flores e plantas ornamentais","2.3","normal","cnae_01229"
"cnae_013","01.3","Produção de lavouras permanentes","2.3","view","cnae_01"
"cnae_01318","01.31-8","Cultivo de laranja","2.3","view","cnae_013"
