id,code,name,operation_type,operation_location,supply_characteristic,supply_location
operation_indicator_020101,020101,Operação com bem imóvel,Operação com bem imóvel bem imaterial inclusive direito relacionada a bem imóvel,o local onde o imóvel estiver situado,Execução de operações com bem imóvel bem imaterial inclusive direito relacionado a bem imóvel,Localidade do imóvel (1)
operation_indicator_020201,020201,Serviço prestado fisicamente sobre bem imóvel,Serviço prestado fisicamente sobre bem imóvel,o local da prestação do serviço,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Estabelecimento do fornecedor
operation_indicator_020301,020301,Serviço prestado fisicamente sobre pessoa,Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física,o local da prestação do serviço,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Estabelecimento do fornecedor
operation_indicator_030101,030101,Serviço de planejamento de eventos,Serviço de planejamento organização e administração de feiras exposições congressos espetáculos exibições e congêneres,o local do evento a que se refere o serviço,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do Evento
operation_indicator_030102,030102,Serviço de planejamento de eventos,Serviço de planejamento organização e administração de feiras exposições congressos espetáculos exibições e congêneres,o local do evento a que se refere o serviço,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local do Evento
operation_indicator_030103,030103,Serviço de planejamento de eventos,Serviço de planejamento organização e administração de feiras exposições congressos espetáculos exibições e congêneres,o local do evento a que se refere o serviço,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local da prestação
operation_indicator_030104,030104,Serviço de planejamento de eventos,Serviço de planejamento organização e administração de feiras exposições congressos espetáculos exibições e congêneres,o local do evento a que se refere o serviço,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local da prestação
operation_indicator_040101,040101,Cessão de espaço para publicidade,Cessão de espaço para prestação de serviços publicitários em operações onerosas (4),o local onde o espaço estiver situado,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Estabelecimento do fornecedor
operation_indicator_050101,050101,Demais serviços onerosos,Serviços diversos em operações onerosas,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Endereço do adquirente
operation_indicator_050102,050102,Demais serviços onerosos,Serviços diversos em operações onerosas,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Endereço do adquirente
