id,sequence,name
l10n_ec_taxpayer_type_01,1,Companies - Legal Entities
l10n_ec_taxpayer_type_02,2,Special Taxpayers
l10n_ec_taxpayer_type_03,3,Public Sector and EP
l10n_ec_taxpayer_type_04,4,Natural Person Obligated to Keep Accounting
l10n_ec_taxpayer_type_05,5,Non-Obligated Natural Person - Leases
l10n_ec_taxpayer_type_06,6,Non-Obligated Natural Person - Professionals
l10n_ec_taxpayer_type_07,7,Non-Obligated Natural Person - Purchase Liquidations
l10n_ec_taxpayer_type_08,8,Non-Obligated Natural Person - Issues Invoices or Tickets
l10n_ec_taxpayer_type_13,13,RIMPE Regime Taxpayer
l10n_ec_taxpayer_type_14,14,OTHERS - Without automatic calculation of VAT withholding
l10n_ec_taxpayer_type_15,15,RIMPE Regime Popular Business
