id,country_id/id,name,code
state_tw_chh,base.tw,彰化縣,CHH
state_tw_cic,base.tw,嘉義市,CIC
state_tw_cih,base.tw,嘉義縣,CIH
state_tw_hch,base.tw,新竹縣,HCH
state_tw_hct,base.tw,新竹市,HCT
state_tw_hlh,base.tw,花蓮縣,HLH
state_tw_ilh,base.tw,宜蘭縣,ILH
state_tw_khc,base.tw,高雄市,KHC
state_tw_klc,base.tw,基隆市,KLC
state_tw_kmc,base.tw,金門縣,KMC
state_tw_lcc,base.tw,連江縣,LCC
state_tw_mlh,base.tw,苗栗縣,MLH
state_tw_ntc,base.tw,南投縣,NTC
state_tw_ntpc,base.tw,新北市,NTPC
state_tw_phc,base.tw,澎湖縣,PHC
state_tw_pth,base.tw,屏東縣,PTH
state_tw_tcc,base.tw,台中市,TCC
state_tw_tnh,base.tw,台南市,TNH
state_tw_tpc,base.tw,台北市,TPC
state_tw_tth,base.tw,台東縣,TTH
state_tw_tyc,base.tw,桃園市,TYC
state_tw_ylh,base.tw,雲林縣,YLH
