"id","parent_id","name","code","account_type","reconcile","non_trade","name@ar_001","description","depreciation_model_id","description@ar_001","active"
"egy_account_100000","","Intangible Assets","100000","asset_fixed","False","","الأصول غير الملموسة","","","","False"
"egy_account_100100","egy_account_100000","Registration of Trademarks","100100","asset_current","False","","تسجيل العلامات التجارية","","","",""
"egy_account_100200","egy_account_100000","Computer Software","100200","asset_fixed","False","","البرمجيات الحاسوبية","","","",""
"egy_account_110000","","Property, Plant & Equipment (PP&E)","110000","asset_fixed","False","","الممتلكات والآلات والمعدات","","","","False"
"egy_account_110100","egy_account_110000","Land","110100","asset_fixed","False","","الأراضي","Purchases of lands without buildings","","شراء الأراضي بدون مباني",""
"egy_account_110200","egy_account_110000","Construction","110200","asset_fixed","False","","أعمال البناء","Construction of buildings and costs associated to buildings","asset_30_year_linear","تشييد المباني والتكاليف المرتبطة بها",""
"egy_account_110300","egy_account_110000","Installations","110300","asset_fixed","False","","التجهيزات","Purchases of installations related to buildings, like solar panels or heater","asset_10_year_linear","مشتريات التركيبات المتعلقة بالمباني، مثل الألواح الشمسية أو السخانات",""
"egy_account_110400","egy_account_110000","Machines & Tools","110400","asset_fixed","False","","الماكينات والأدوات","Machinery and tools directly related to your business","asset_5_year_linear","الآلات والأدوات المرتبطة مباشرة بعملك",""
"egy_account_110500","egy_account_110000","Vehicle Accessories","110500","asset_fixed","False","","ملحقات المركبة","All accessories purchases related to your professional vehicle","asset_3_year_linear","جميع مشتريات الملحقات المتعلقة بمركبتك المهنية",""
"egy_account_110600","egy_account_110000","Leasehold Improvement","110600","asset_current","False","","تحسين المستأجرات","","","",""
"egy_account_110700","egy_account_110000","Amortisation on Leasehold Improvement","110700","asset_current","False","","اطفاء على تحسين المستأجرات","","","",""
"egy_account_110800","egy_account_110000","Furniture and Equipment","110800","asset_fixed","False","","أثاث و معدات","Large expenses related to workplaces","asset_5_year_linear","النفقات الكبيرة المتعلقة بأماكن العمل",""
"egy_account_110900","egy_account_110000","Accumulated Depreciation of Furniture & Office Equipment","110900","asset_fixed","False","","مجمع اهتلاك اثاث و معدات المكتب","","","",""
"egy_account_111000","egy_account_110000","Computer Hardware","111000","asset_fixed","False","","أجهزة الكمبيوتر","Technological products or services bought for your business","asset_3_year_linear","المنتجات أو الخدمات التكنولوجية التي تم شراؤها لشركتك",""
"egy_account_111100","egy_account_110000","Accumulated Depreciation of Computer Hardware & Software","111100","asset_fixed","False","","مجمع اهتلاك الكمبيوترات و قطع الغيار و البرمجيات","","","",""
"egy_account_111200","egy_account_110000","Motor Vehicles","111200","asset_fixed","False","","السيارات","Purchase of a car, including second hand or after-lease contract","asset_5_year_linear","شراء سيارة، بما في ذلك عقد الإيجار المستعمل أو ما بعد الإيجار",""
"egy_account_111300","egy_account_110000","Accumulated Depreciation of Motor Vehicles","111300","asset_fixed","False","","مجمع اهتلاك السيارات","","","",""
"egy_account_111400","egy_account_110000","Right of use Asset (IFRS 16)","111400","asset_fixed","False","","حق استخدام الأصول (IFRS 16)","","","",""
"egy_account_111500","egy_account_110000","Accumulated Depreciation on Right of Use Asset (IFRS 16)","111500","asset_fixed","False","","الاستهلاك المتراكم استخدام حق الأصول (IFRS 16)","","","",""
"egy_account_111600","egy_account_110000","Other Property","111600","asset_fixed","False","","العقارات الأخرى","Other type of property, like plants, machinery or various equipment","asset_5_year_linear","نوع آخر من الممتلكات، مثل المصانع أو الآلات أو المعدات المختلفة",""
"egy_account_120000","","Inventories","120000","asset_current","False","","المخزون","","","","False"
"egy_account_120100","egy_account_120000","Inventory - Raw Materials","120100","asset_current","False","","المخزون - المواد الخام","","","",""
"egy_account_120200","egy_account_120000","Inventory - Work in Progress","120200","asset_current","False","","مخزون تحت التشغيل","","","",""
"egy_account_120300","egy_account_120000","Goods in Transit","120300","asset_current","False","","بضائع قيد النقل","","","",""
"egy_account_120301","egy_account_120000","Shipment Insurance","120301","asset_current","False","","تأمين الشحن","","","",""
"egy_account_120302","egy_account_120000","Shipment Documentation Charges","120302","asset_current","False","","رسوم","","","",""
"egy_account_120303","egy_account_120000","Shipment Other Charges","120303","asset_current","False","","رسوم شحنات اخرى","","","",""
"egy_account_120400","egy_account_120000","Handling Difference in Inventory","120400","asset_current","False","","فرق المخزون","","","",""
"egy_account_130000","","Prepayments","130000","asset_prepayments","False","","المصروفات المدفوعة مقدمًا","","","","False"
"egy_account_130100","egy_account_130000","Prepaid Insurance","130100","asset_prepayments","False","","التأمين المدفوع مقدمًا","","","",""
