"id","code","name","account_type","reconcile","non_trade","name@fr","asset_model_ids","tax_ids","description","description@fr","name@ar","description@ar"
"pcg_1111","1111","Share Capital","equity","False","","Capital social","","","","","رأس المال الاجتماعي",""
"pcg_1112","1112","Endowment Funds","equity","False","","Fonds de dotation","","","","","صندوق الوقف/الهبات",""
"pcg_11171","11171","Individual Capital","equity","False","","Capital individuel","","","","","رأس المال الفردي",""
"pcg_11175","11175","Owner's Account","equity","False","","Compte de l'exploitant","","","","","حساب المستغِل/صاحب المشروع",""
"pcg_1119","1119","Shareholders, Uncalled Subscribed Capital","equity","False","","Actionnaires, capital souscrit non appelé","","","","","المساهمون، رأس المال المكتتب غير المطلوب",""
"pcg_1121","1121","Share Premiums","equity","False","","Primes d'émission","","","","","علاوات الإصدار",""
"pcg_1122","1122","Merger Premiums","equity","False","","Primes de fusion","","","","","علاوات الاندماج",""
"pcg_1123","1123","Contribution Premiums","equity","False","","Primes d'apport","","","","","علاوات الحصة",""
"pcg_1130","1130","Revaluation Differences","equity","False","","Écarts de réévaluation","","","","","فوارق إعادة التقييم",""
"pcg_1140","1140","Legal Reserve","equity","False","","Réserve légale","","","","","الاحتياطي القانوني",""
"pcg_1151","1151","Statutory or Contractual Reserves","equity","False","","Réserves statutaires ou contractuelles","","","","","احتياطيات نظامية أو تعاقدية",""
"pcg_1152","1152","Optional Reserves","equity","False","","Réserves facultatives","","","","","احتياطيات اختيارية",""
"pcg_1155","1155","Regulated Reserves","equity","False","","Réserves réglementées","","","","","احتياطيات خاضعة للتنظيم",""
"pcg_1161","1161","Retained Result (Credit Balance)","equity","False","","Report à nouveau (Solde créditeur)","","","","","ترحيل من جديد (رصيد دائن)",""
"pcg_1169","1169","Retained Result (Debit Balance)","equity","False","","Report à nouveau (Solde débiteur)","","","","","ترحيل من جديد (رصيد مدين)",""
"pcg_1181","1181","Net Results Pending Allocation (Credit Balance)","equity","False","","Résultats nets en instance d'affectation (Solde créditeur)","","","","","النتائج الصافية في انتظار التخصيص (رصيد دائن)",""
"pcg_1189","1189","Net Results Pending Allocation (Debit Balance)","equity","False","","Résultats nets en instance d'affectation (Solde débiteur)","","","","","النتائج الصافية في انتظار التخصيص (رصيد مدين)",""
"pcg_1191","1191","Net Result for the Fiscal Year (Credit Balance)","equity","False","","Résultat net de l'exercice (Solde créditeur)","","","","","صافي نتيجة الدورة (رصيد دائن)",""
"pcg_1199","1199","Net Result for the Fiscal Year (Debit Balance)","equity","False","","Résultat net de l'exercice (Solde débiteur)","","","","","صافي نتيجة الدورة (رصيد مدين)",""
"pcg_1311","1311","Investment Grants Received","equity","False","","Subventions d'investissement reçues","","","","","إعانات الاستثمار المتلقاة",""
"pcg_1319","1319","Investment Grants Recorded in the Income and Expense Account","equity","False","","Subventions d'investissement inscrites au compte de produits et charges","","","","","إعانات الاستثمار المقيدة في حساب الأعباء والمنتوجات",""
"pcg_1351","1351","Provisions for Accelerated Depreciations","equity","False","","Provisions pour amortissements dérogatoires","","","","","مؤونات الإهلاك الاستثنائية",""
"pcg_1352","1352","Provisions for Capital Gains Pending Taxation","equity","False","","Provisions pour plus-values en instance d'imposition","","","","","مؤونات الأرباح الرأسمالية في انتظار فرض الضريبة",""
"pcg_1354","1354","Provisions for Investments","equity","False","","Provisions pour investissements","","","","","مؤونات الاستثمارات",""
"pcg_1355","1355","Provisions for Reconstitution of Deposits","equity","False","","Provisions pour reconstitution des gisements","","","","","مؤونات تجديد المناجم/المكامن",""
"pcg_1356","1356","Provisions for Acquisition and Construction of Housing","equity","False","","Provisions pour acquisition et construction de logements","","","","","مؤونات اقتناء وبناء المساكن",""
"pcg_1358","1358","Other Regulated Provisions","equity","False","","Autres provisions réglementées","","","","","مؤونات أخرى خاضعة للتنظيم",""
"pcg_1410","1410","Bond Loans","liability_non_current","False","","Emprunts obligataires","","","","","الاقتراضات السندية",""
"pcg_1481","1481","Loans from Credit Institutions","liability_non_current","False","","Emprunts auprès des établissements de crédit","","","","","الاقتراضات من مؤسسات القروض",""
"pcg_1482","1482","Advances from the State","liability_non_current","False","","Avances de l'État","","","","","تسبيقات الدولة",""
"pcg_1483","1483","Liabilities Related to Equity Investments","liability_non_current","False","","Dettes rattachées à des participations","","","","","ديون مرتبطة بالمساهمات",""
"pcg_1484","1484","Fund Notes","liability_non_current","False","","Billets de fonds","","","","","سندات التمويل",""
"pcg_1485","1485","Advances Received and Blocked Current Accounts","liability_non_current","False","","Avances reçues et comptes courants bloqués","","","","","تسبيقات متلقاة وحسابات جارية مجمدة",""
"pcg_1486","1486","Suppliers of Non-Current Assets","liability_non_current","False","","Fournisseurs d'immobilisations","","","","","موردو التثبيتات",""
"pcg_1487","1487","Deposits and Guarantees Received","liability_non_current","False","","Dépôts et cautionnements reçus","","","","","الإيداعات والضمانات المتلقاة",""
"pcg_1488","1488","Miscellaneous Financial Liabilities","liability_non_current","False","","Dettes de financement diverses","","","","","ديون التمويل المتنوعة",""
"pcg_1511","1511","Provisions for Disputes","liability_non_current","False","","Provisions pour litiges","","","","","مؤونات النزاعات",""
"pcg_1512","1512","Provisions for Warranties Given to Customers","liability_non_current","False","","Provisions pour garanties données aux clients","","","","","مؤونات الضمانات الممنوحة للزبناء",""
"pcg_1513","1513","Provisions for Own Insurer","liability_non_current","False","","Provisions pour propre assureur","","","","","مؤونات المؤمن الذاتي",""
"pcg_1514","1514","Provisions for Losses on Futures Markets","liability_non_current","False","","Provisions pour pertes sur marchés à terme","","","","","مؤونات الخسائر على الصفقات الآجلة",""
"pcg_1515","1515","Provisions for Fines, Double Duties, Penalties","liability_non_current","False","","Provisions pour amendes, doubles droits, pénalités","","","","","مؤونات الغرامات، الرسوم المضاعفة، والعقوبات",""
"pcg_1516","1516","Provisions for Foreign Exchange Losses","liability_non_current","False","","Provisions pour pertes de change","","","","","مؤونات خسائر الصرف",""
"pcg_1518","1518","Other Provisions for Risks","liability_non_current","False","","Autres provisions pour risques","","","","","مؤونات أخرى للمخاطر",""
"pcg_1551","1551","Provisions for Taxes","liability_non_current","False","","Provisions pour impôts","","","","","مؤونات الضرائب",""
"pcg_1552","1552","Provisions for Pensions and Similar Obligations","liability_non_current","False","","Provisions pour pensions de retraite et obligations similaires","","","","","مؤونات معاشات التقاعد والالتزامات المماثلة",""
"pcg_1555","1555","Provisions for Deferred Expenses","liability_non_current","False","","Provisions pour charges à répartir sur plusieurs exercices","","","","","مؤونات الأعباء الواجب توزيعها على عدة دورات",""
"pcg_1558","1558","Other Provisions for Expenses","liability_non_current","False","","Autres provisions pour charges","","","","","مؤونات أخرى للأعباء",""
"pcg_1601","1601","Headquarters Liaison Accounts","liability_current","False","","Comptes de liaison du siège","","","","","حسابات ربط المقر الاجتماعي",""
"pcg_1605","1605","Subsidiaries' Liaison Accounts","asset_current","False","","Comptes de liaison des établissements","","","","","حسابات ربط المؤسسات",""
"pcg_1710","1710","Increase in Non-Current Receivables","liability_current","False","","Augmentation des créances immobilisées","","","","","زيادة الديون المثبتة",""
"pcg_1720","1720","Decrease in Financing Liabilities","liability_current","False","","Diminution des dettes de financement","","","","","انخفاض ديون التمويل",""
"pcg_2111","2111","Incorporation Costs","asset_non_current","False","","Frais de constitution","","","","","مصاريف التأسيس",""
"pcg_2112","2112","Pre-Start-Up Costs","asset_non_current","False","","Frais préalables au démarrage","","","","","مصاريف سابقة على انطلاق النشاط",""
"pcg_2113","2113","Capital Increase Costs","asset_non_current","False","","Frais d'augmentation du capital","","","","","مصاريف الزيادة في رأس المال",""
"pcg_2114","2114","Expenses Related to Mergers, Demergers and Conversions","asset_non_current","False","","Frais sur opérations de fusions, scissions et transformations","","","","","مصاريف عمليات الاندماج، الانفصال والتحول",""
"pcg_2116","2116","Prospecting Costs","asset_non_current","False","","Frais de prospection","","","","","مصاريف التنقيب",""
"pcg_2117","2117","Publicity Costs","asset_non_current","False","","Frais de publicité","","","","","مصاريف الإشهار/الإعلان",""
"pcg_2118","2118","Other Start-Up Costs","asset_non_current","False","","Autres frais préliminaires","","","","","مصاريف أولية أخرى",""
"pcg_2121","2121","Acquisition Costs of Non-Current Assets","asset_non_current","False","","Frais d'acquisition des immobilisations","","","","","مصاريف اقتناء التثبيتات",""
"pcg_2125","2125","Issuance Costs of Loans","asset_non_current","False","","Frais d'émission des emprunts","","","","","مصاريف إصدار الاقتراضات",""
"pcg_2128","2128","Other Deferred Expenses","asset_non_current","False","","Autres charges à répartir","","","","","أعباء أخرى للتوزيع",""
"pcg_2130","2130","Bond Redemption Premiums","asset_non_current","False","","Primes de remboursement des obligations","","","","","علاوات استرداد السندات",""
"pcg_2210","2210","Non-Current Assets in Research and Development","asset_non_current","False","","Immobilisation en recherche et développement","","vat_in_20_163","","","تثبيتات البحث والتنمية",""
"pcg_2220","2220","Patents, Trademarks, Rights and Similar Assets","asset_non_current","False","","Brevets, marques, droits et valeurs similaires","","vat_in_20_163","","","براءات الاختراع، العلامات، الحقوق والقيم المماثلة",""
"pcg_2230","2230","Commercial Funds","asset_non_current","False","","Fonds commercial","","vat_in_20_163","","","الأصل التجاري",""
"pcg_2285","2285","Other Intangible Non-Current Assets","asset_non_current","False","","Autres immobilisations incorporelles","","vat_in_20_163","","","تثبيتات معنوية أخرى",""
"pcg_2311","2311","Bare Land","asset_fixed","False","","Terrains nus","","vat_in_20_163","Land that has no structures or developments on it.","Terrains nus (sans aucune construction ni aménagement)","أراض عارية","أرض عارية (بدون منشآت أو تهيئة عليها)"
"pcg_2312","2312","Developed Land","asset_fixed","False","","Terrains aménagés","","vat_in_20_163","Land that has been prepared for construction","Terrains aménagés (préparés pour la construction)","أراض مهيأة","أرض مهيأة للبناء"
"pcg_2313","2313","Built-Up Land","asset_fixed","False","","Terrains bâtis","asset_built_up_land","vat_in_20_163","Land that already has a building or construction on it.","Terrains bâtis (supportant déjà une construction)","أراض مبنية","أرض مبنية أو عليها منشأة"
"pcg_2314","2314","Deposit Land","asset_fixed","False","","Terrains de gisement","asset_deposit_land","vat_in_20_163","Land held for the extraction of resources (mines, quarries...)","Terrains de gisement (mines, carrières, etc.)","أراضي المكامن","أراضي المكامن (المناجم، المقالع...)"
"pcg_2316","2316","Layout and Development of Land","asset_fixed","False","","Agencements et aménagements de terrains","asset_layout_development_of_land","vat_in_20_163","Improvements made to land (fences, landscaping, parking lot)","Agencements et aménagements de terrains (clôtures, paysagement, parking)","تهيئة وتجهيز الأراضي","تهيئة وتجهيز الأراضي (سياج، تنسيق حدائق، موقف سيارات)"
"pcg_2318","2318","Other Land","asset_fixed","False","","Autres terrains","asset_other_land","vat_in_20_163","Any land that do not fit into the specific categories above","Autres terrains (tous terrains qui ne correspondent pas aux catégories ci-dessus)","أراض أخرى","أراض أخرى لا تنطبق عليها الفئات المحددة أعلاه"
"pcg_23211","23211","Industrial Buildings (A, B ...)","asset_fixed","False","","Bâtiments industriels (A, B ...)","asset_industrial_buildings","vat_in_20_166","Structures used specifically for production or storage.","Bâtiments industriels (structures utilisées pour la production ou le stockage)","مباني صناعية (أ، ب...)","مباني صناعية (مخصصة للإنتاج أو التخزين)"
"pcg_23214","23214","Administrative and Commercial Buildings (A, B ...)","asset_fixed","False","","Bâtiments administratifs et commerciaux (A, B ...)","asset_admin_comm_buildings","vat_in_20_166","Structures used for office, sales, or management purposes","Bâtiments administratifs et commerciaux (structures utilisées pour les bureaux, la vente ou la gestion)","مباني إدارية وتجارية (أ، ب...)","مباني إدارية وتجارية (مخصصة للمكاتب، المبيعات أو الإدارة)"
"pcg_23218","23218","Other Buildings","asset_fixed","False","","Autres bâtiments","asset_other_buildings","vat_in_20_166","Any other buildings that don't fit in other categories","Autres bâtiments (toutes autres constructions ne rentrant pas dans les autres catégories)","مباني أخرى","مباني أخرى لا تنطبق عليها الفئات الأخرى"
