"id","name","code","account_type","reconcile","non_trade","tag_ids","name@el"
"l10n_gr_10_01","Land - Gross amount (cost or revaluation) of land","10.01.00","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) γης"
"l10n_gr_10_02","Land - Accumulated impairment","10.02.00","asset_fixed","False","","","Σωρευμένες απομειώσεις γης"
"l10n_gr_11_00","Depreciable land improvements","11.00.00","asset_fixed","False","","","Διαμορφώσεις γης υποκείμενες σε απόσβεση"
"l10n_gr_11_01","Depreciable land improvements - Gross amount (cost or revaluation) of depreciable land improvements","11.01.00","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) διαμορφώσεων γης"
"l10n_gr_11_02","Depreciable land improvements - Accumulated depreciation","11.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις διαμορφώσεων γης"
"l10n_gr_11_03","Depreciable land improvements - Accumulated impairment","11.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις διαμορφώσεων γης"
"l10n_gr_12_01","Buildings and physical infrastructure - Gross amount (cost or revaluation)","12.01.00","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) κτηρίων - τεχνικών έργων"
"l10n_gr_12_02","Buildings and physical infrastructure - Accumulated depreciation","12.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις κτηρίων - τεχνικών έργων"
"l10n_gr_12_03","Buildings and physical infrastructure - Accumulated impairment","12.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις κτηρίων - τεχνικών έργων"
"l10n_gr_13_01","Machinery - Acquisition cost","13.01.00","asset_fixed","False","","","Αξία κτήσης μηχανολογικού εξοπλισμού"
"l10n_gr_13_02","Machinery - Accumulated depreciation","13.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις μηχανολογικού εξοπλισμού"
"l10n_gr_13_03","Machinery - Accumulated impairment","13.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις μηχανολογικού εξοπλισμού"
"l10n_gr_14_01","Transportation equipment - Acquisition cost","14.01.00","asset_fixed","False","","","Μικτή αξία κτήσης μεταφορικών μέσων"
"l10n_gr_14_02","Transportation equipment - Accumulated depreciation","14.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις μεταφορικών μέσων"
"l10n_gr_14_03","Transportation equipment - Accumulated impairment","14.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις μεταφορικών μέσων"
"l10n_gr_15_01","Other equipment - Acquisition cost","15.01.00","asset_fixed","False","","","Μικτή αξία κτήσης εξοπλισμού"
"l10n_gr_15_02","Other equipment - Accumulated depreciation","15.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις εξοπλισμού"
"l10n_gr_15_03","Other equipment - Accumulated impairment","15.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις εξοπλισμού"
"l10n_gr_16_01","Investment property - Gross amount (cost or revaluation)","16.01.00","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) επενδύσεων σε ακίνητα"
"l10n_gr_16_02","Investment property - Accumulated depreciation","16.02.00","asset_fixed","False","","","Σωρευμένες αποσβέσεις επενδύσεων σε ακίνητα"
"l10n_gr_16_03","Investment property - Accumulated impairment","16.03.00","asset_fixed","False","","","Σωρευμένες απομειώσεις επενδύσεων σε ακίνητα"
