"id","code_prefix_start","name","name@el"
"l10n_gr_1","1","FIXED ASSETS","ΕΝΣΩΜΑΤΑ ΚΑΙ ΑΥΛΑ ΜΗ ΚΥΚΛΟΦΟΡΟΥΝΤΑ (ΠΑΓΙΑ) ΠΕΡΙΟΥΣΙΑΚΑ ΣΤΟΙΧΕΙΑ"
"l10n_gr_10","10","Land","Γη"
"l10n_gr_11","11","Depreciable land improvements","Διαμορφώσεις γης υποκείμενες σε απόσβεση"
"l10n_gr_12","12","Buildings and physical infrastructure","Κτήρια - τεχνικά έργα"
"l10n_gr_13","13","Machinery","Μηχανολογικός εξοπλισμός"
"l10n_gr_14","14","Transportation equipment","Μεταφορικά μέσα"
"l10n_gr_15","15","Other equipment","Λοιπός εξοπλισμός"
"l10n_gr_16","16","Investment property","Επενδύσεις σε ακίνητα"
"l10n_gr_17","17","Biological fixed assets","Πάγια βιολογικά περιουσιακά στοιχεία"
"l10n_gr_17_01","17.01","Living animals","Ζώντα ζώα"
"l10n_gr_17_02","17.02","Trees and plants","Δένδρα και φυτά"
"l10n_gr_18","18","Intangibles","Άυλα"
"l10n_gr_18_01","18.01","Development expenditure","Δαπάνες ανάπτυξης"
"l10n_gr_18_01_01","18.01.01","Acquisition cost of development expenditure","Μικτή αξία κτήσης δαπανών ανάπτυξης"
"l10n_gr_18_01_02","18.01.02","Accumulated depreciation of development expenditure","Σωρευμένες αποσβέσεις δαπανών ανάπτυξης"
"l10n_gr_18_01_03","18.01.03","Accumulated impairment of development expenditure","Σωρευμένες απομειώσεις δαπανών ανάπτυξης"
"l10n_gr_18_02","18.02","Goodwill","Υπεραξία"
"l10n_gr_18_03","18.03","Other intangibles","Λοιπά άυλα"
"l10n_gr_2","2","INVENTORY","ΑΠΟΘΕΜΑΤΑ"
"l10n_gr_20","20","Merchandise","Εμπορεύματα"
"l10n_gr_21","21","Finished products","Προϊόντα"
"l10n_gr_22","22","Biological current assets","Βιολογικά περιουσιακά στοιχεία (κυκλοφορούντα)"
"l10n_gr_22_01","22.01","Living Animals","Ζώντα ζώα"
"l10n_gr_22_02","22.02","Trees and plants","Δένδρα και φυτά"
"l10n_gr_23","23","Work in progress","Παραγωγή σε εξέλιξη"
"l10n_gr_24","24","Materials","Πρώτες ύλες και υλικά"
"l10n_gr_25","25","Packing materials","Υλικά συσκευασίας"
"l10n_gr_26","26","Spare parts","Ανταλλακτικά παγίων"
"l10n_gr_27","27","Other inventory","Λοιπά αποθέματα"
"l10n_gr_3","3","FINANCIAL AND OTHER ASSETS","ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΑ ΚΑΙ ΛΟΙΠΑ ΠΕΡΙΟΥΣΙΑΚΑ ΣΤΟΙΧΕΙΑ"
"l10n_gr_30","30","Accounts receivable","Πελάτες"
"l10n_gr_30_01","30.01","Accounts receivables from non-related entities","Πελάτες - μη συνδεδεμένες οντότητες"
"l10n_gr_30_01_01","30.01.01","Accounts receivables from non-related entities – nominal amount","Πελάτες μη συνδεδεμένες οντότητες - ονομαστικό ποσό"
"l10n_gr_30_01_02","30.01.02","Interest not accrued on receivables from non-related entities","Μη δουλευμένοι τόκοι μη συνδεδεμένων πελατών"
"l10n_gr_30_01_04","30.01.04","Impairment of receivables from non-related entities","Απομείωση μη συνδεδεμένων πελατών"
"l10n_gr_30_02_01","30.02.01","Accounts receivables from related entities – nominal amount","Συνδεδεμένοι πελάτες - ονομαστικό ποσό"
"l10n_gr_30_02_02","30.02.02","Interest not-accrued on receivables from related entities","Μη δουλευμένοι τόκοι συνδεδεμένων πελατών"
