"id","sequence","code","name","report_name","internal_type","doc_code_prefix","country_id/id","active","l10n_ec_check_format","name@es_419","report_name@es_419"
"ec_dt_01","1","01","Invoice","Invoice","invoice","Fact","base.ec","1","1","Factura","Factura"
"ec_dt_02","2","02","Note or bill of sale","Note or bill of sale","invoice","Not","base.ec","1","1","Nota o boleta de venta","Nota o boleta de venta"
"ec_dt_03","3","03","Settlement of purchase of goods or provision of services","Settlement of purchase of goods or provision of services","purchase_liquidation","LiqCo","base.ec","1","1","Liquidación de compra de Bienes o Prestación de servicios","Liquidación de compra de Bienes o Prestación de servicios"
"ec_dt_04","4","04","Credit Note","Credit Note","credit_note","NotCr","base.ec","1","1","Nota de Crédito","Nota de Crédito"
"ec_dt_05","5","05","Debit Note","Debit Note","debit_note","NotDb","base.ec","1","1","Nota de Débito","Nota de Débito"
"ec_dt_08","6","08","Tickets or tickets to public shows","Tickets or tickets to public shows","invoice","Ent","base.ec","1","0","Boletos o entradas a espectáculos públicos","Boletos o entradas a espectáculos públicos"
"ec_dt_09","7","09","Tickets or vouchers issued by cash register machines","Tickets or vouchers issued by cash register machines","invoice","Tiq","base.ec","1","0","Tiquetes o vales emitidos por máquinas registradoras","Tiquetes o vales emitidos por máquinas registradoras"
"ec_dt_11","8","11","Tickets issued by airline companies","Tickets issued by airline companies","invoice","Pas","base.ec","1","0","Pasajes expedidos por empresas de aviación","Pasajes expedidos por empresas de aviación"
"ec_dt_12","9","12","Documents issued by financial institutions","Documents issued by financial institutions","invoice","Fin","base.ec","1","0","Documentos emitidos por instituciones financieras","Documentos emitidos por instituciones financieras"
"ec_dt_15","10","15","Sales receipts issued abroad","Sales receipts issued abroad","invoice","FacExt","base.ec","1","0","Comprobantes de venta emitidos en exterior","Comprobantes de venta emitidos en exterior"
"ec_dt_16","11","16","Single Export Form (FUE) or Single Customs Declaration (DAU) or Andean Value Declaration (DAV)","Single Export Form (FUE) or Single Customs Declaration (DAU) or Andean Value Declaration (DAV)","invoice","DAU","base.ec","1","0","Formulario Único de Exportación (FUE) o Declaración Aduanera Única (DAU) o Declaración Andina de Valor (DAV)","Formulario Único de Exportación (FUE) o Declaración Aduanera Única (DAU) o Declaración Andina de Valor (DAV)"
"ec_dt_18","12","18","Sales invoice","Sales invoice","invoice","Fact","base.ec","0","1","Factura de venta","Factura de venta"
"ec_dt_19","13","19","Dues or Contribution Payment Receipts","Dues or Contribution Payment Receipts","invoice","Aprt","base.ec","1","0","Comprobantes de Pago de Cuotas o Aportes","Comprobantes de Pago de Cuotas o Aportes"
"ec_dt_20","14","20","Documents for Administrative Services issued by State institutions","Documents for Administrative Services issued by State institutions","invoice","Gov","base.ec","1","0","Documentos por Servicios Administrativos emitidos por Inst. del Estado","Documentos por Servicios Administrativos emitidos por Inst. del Estado"
"ec_dt_21","15","21","Airway Bill","Airway Bill","invoice","Aér","base.ec","1","0","Carta de Porte Aéreo","Carta de Porte Aéreo"
"ec_dt_22","16","22","RECAP","RECAP","invoice","RECAP","base.ec","0","0","",""
"ec_dt_23","17","23","TC Credit Note","TC Credit Note","credit_note","NotCrTC","base.ec","0","1","Nota de Crédito","Nota de Crédito"
"ec_dt_24","18","24","TC Debit Note","TC Debit Note","debit_note","NotDbTC","base.ec","0","1","Nota de Débito","Nota de Débito"
"ec_dt_41","19","41","Sales receipt issued for reimbursement","Sales receipt issued for reimbursement","invoice","Fact","base.ec","0","0","Comprobante de venta emitido por reembolso","Comprobante de venta emitido por reembolso"
"ec_dt_42","20","42","Presumptive withholding tax document and withholding tax issued by the seller or by an intermediary","Presumptive withholding tax document and withholding tax issued by the seller or by an intermediary","invoice","Doc","base.ec","0","0","Documento retención presuntiva y retención emitida por propio vendedor o por intermediario","Documento retención presuntiva y retención emitida por propio vendedor o por intermediario"
"ec_dt_43","21","43","Liquidation for Hydrocarbon Exploitation and Exploration","Liquidation for Hydrocarbon Exploitation and Exploration","invoice","Doc","base.ec","0","0","Liquidacion para Explotacion y Exploracion de Hidrocarburos","Liquidacion para Explotacion y Exploracion de Hidrocarburos"
"ec_dt_44","22","44","Contributions and Contribution Voucher","Contributions and Contribution Voucher","invoice","Contrib","base.ec","0","0","Comprobante de Contribuciones y Aportes","Comprobante de Contribuciones y Aportes"
"ec_dt_45","23","45","Settlement of prepaid medicine","Settlement of prepaid medicine","purchase_liquidation","LiqAseg","base.ec","0","0","Liquidación de medicina prepagada","Liquidación de medicina prepagada"
"ec_dt_47","24","47","Credit note for Refund Issued by Intermediary","Credit note for Refund Issued by Intermediary","credit_note","NotCr","base.ec","0","1","N/C por Reembolso Emitida por Intermediario","N/C por Reembolso Emitida por Intermediario"
"ec_dt_48","25","48","Debit note for Refund Issued by Intermediary","Debit note for Refund Issued by Intermediary","debit_note","NotDb","base.ec","0","1","N/D por Reembolso Emitida por Intermediario","N/D por Reembolso Emitida por Intermediario"
"ec_dt_49","26","49","Direct Supplier of Exporter under Special Regime","Direct Supplier of Exporter under Special Regime","invoice","Doc","base.ec","0","0","Proveedor Directo de Exportador Bajo Régimen Especial","Proveedor Directo de Exportador Bajo Régimen Especial"
"ec_dt_50","27","50","To State and Public Institutions that receive income exempt from income tax","To State and Public Institutions that receive income exempt from income tax","invoice","Doc","base.ec","0","0","A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta","A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta"
"ec_dt_51","28","51","Credit note to State and Public Institutions receiving income exempt from income taxes","Credit note to State and Public Institutions receiving income exempt from income taxes","credit_note","Doc","base.ec","0","1","N/C A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta","N/C A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta"
"ec_dt_52","29","52","Debit note to government and public companies receiving income exempt from income taxes","Debit note to government and public companies receiving income exempt from income taxes","debit_note","Doc","base.ec","0","1","N/D A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta","N/D A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta"
"ec_dt_294","30","294","Used Personal Property Purchase Settlement","Used Personal Property Purchase Settlement","purchase_liquidation","LiqCo","base.ec","0","0","Liquidación de compra de Bienes Muebles Usados","Liquidación de compra de Bienes Muebles Usados"
"ec_dt_344","31","344","Used vehicle purchase liquidation","Used vehicle purchase liquidation","purchase_liquidation","LiqCo","base.ec","0","0","Liquidación de compra de vehículos usados","Liquidación de compra de vehículos usados"
"ec_dt_364","32","364","Delivery-Reception Act PET","Delivery-Reception Act PET","invoice","Rpet","base.ec","0","0","Acta Entrega-Recepción PET","Acta Entrega-Recepción PET"
"ec_dt_370","33","370","Invoice transport operator / partner","Invoice transport operator / partner","invoice","Fact","base.ec","0","0","Factura operadora transporte / socio","Factura operadora transporte / socio"
"ec_dt_371","34","371","Proof of membership in a transport operator","Proof of membership in a transport operator","invoice","Fact","base.ec","0","0","Comprobante socio a operadora de transporte","Comprobante socio a operadora de transporte"
"ec_dt_372","35","372","Transport operator / partner credit note","Transport operator / partner credit note","credit_note","NotCr","base.ec","0","0","Nota de crédito operadora transporte / socio","Nota de crédito operadora transporte / socio"
"ec_dt_373","36","373","Transport operator / partner debit note","Transport operator / partner debit note","debit_note","NotDb","base.ec","0","0","Nota de débito operadora transporte / socio","Nota de débito operadora transporte / socio"
"ec_dt_07","37","07","Withhold","Receipt of Withhold","withhold","Ret","base.ec","1","1","Retención","Comprobante de Retención"
