"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"11010101","Acciones y participaciones","11.01.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010102","Cuotas de fondos colectivos","11.01.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010103","Valores de  titularización de participación","11.01.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010104","Otros ","11.01.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010201","Avales","11.01.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010202","Bonos del Estado","11.01.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010203","Bonos de Prenda","11.01.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010204","Cédulas Hipotecarias","11.01.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010205","Certificados Financieros","11.01.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010206","Certificados de Inversión","11.01.02.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010207","Certificados de Tesorería","11.01.02.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010208","Certificados de Depósito","11.01.02.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010209","Cupones","11.01.02.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010210","Depósitos a Plazo","11.01.02.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010211","Letras de Cambio","11.01.02.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010212","Notas de Crédito","11.01.02.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010213","Obligaciones","11.01.02.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010214","Facturas Comerciales Negociables","11.01.02.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010215","Overnights","11.01.02.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010216","Obligaciones Convertibles en acciones","11.01.02.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010217","Papel Comercial","11.01.02.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010218","Pagarés","11.01.02.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010219","Pólizas de Acumulación","11.01.02.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010220","Títulos del Banco Central ","11.01.02.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010221","Valores de Titularización","11.01.02.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010222","Otros","11.01.02.22","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010301","Forward","11.01.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010302","Futuros","11.01.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010303","Opciones","11.01.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11010304","Otros","11.01.03.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110104","Inversiones en el exterior","11.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020101","Avales","11.02.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020102","Bonos del Estado","11.02.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020103","Bonos de Prenda","11.02.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020104","Cédulas Hipotecarias","11.02.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020105","Certificados Financieros","11.02.01.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020106","Certificados de Inversión","11.02.01.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020107","Certificados de Tesorería","11.02.01.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020108","Certificados de Depósito","11.02.01.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020109","Cupones","11.02.01.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020110","Depósitos a Plazo","11.02.01.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020111","Letras de Cambio","11.02.01.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020112","Notas de Crédito","11.02.01.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020113","Obligaciones","11.02.01.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020114","Facturas Comerciales Negociables","11.02.01.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020115","Overnights","11.02.01.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020116","Obligaciones Convertibles en acciones","11.02.01.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020117","Papel Comercial","11.02.01.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020118","Pagarés","11.02.01.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020119","Pólizas de Acumulación","11.02.01.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020120","Títulos del Banco Central ","11.02.01.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020121","Valores de Titularización","11.02.01.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020201","Acciones y participaciones","11.02.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11020301","Inversiones en el exterior","11.02.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030101","Cuentas por cobrar al originador","11.03.01.01","account.data_account_type_receivable","l10n_ec.ec_chart_template","True"
"11030110","Cuentas por cobrar al originador (PoS)","11.03.01.10","account.data_account_type_receivable","l10n_ec.ec_chart_template","True"
"11030302","Cuentas por cobrar a terceros","11.03.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030303","Cuentas por cobrar accionistas","11.03.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11030304","Otros","11.03.03.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040101","Acciones y participaciones","11.04.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040102","Cuotas de fondos colectivos","11.04.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040103","Unidades de participación","11.04.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040104","Valores de  titularización de participación","11.04.01.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040105","Otros ","11.04.01.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040106","Inversiones en el exterior","11.04.01.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040201","Avales","11.04.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040202","Bonos del Estado","11.04.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040203","Bonos de Prenda","11.04.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040204","Cédulas Hipotecarias","11.04.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040205","Certificados Financieros","11.04.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040206","Certificados de Inversión","11.04.02.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040207","Certificados de Tesorería","11.04.02.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040208","Certificados de Depósito","11.04.02.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040209","Cupones","11.04.02.09","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040210","Depósitos a Plazo","11.04.02.10","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040211","Letras de Cambio","11.04.02.11","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040212","Notas de Crédito","11.04.02.12","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040213","Obligaciones","11.04.02.13","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040214","Facturas Comerciales Negociables","11.04.02.14","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040215","Overnights","11.04.02.15","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040216","Obligaciones Convertibles en acciones","11.04.02.16","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040217","Papel Comercial","11.04.02.17","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040218","Pagarés","11.04.02.18","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040219","Pólizas de Acumulación","11.04.02.19","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040220","Títulos del Banco Central ","11.04.02.20","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040221","Valores de Titularización","11.04.02.21","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040222","Otros","11.04.02.22","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"11040223","Inversiones en el exterior","11.04.02.23","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110501","Inversiones mantenidas hasta el vencimiento ","11.05.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"110502","Préstamos y partidas a cobrar","11.05.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120101","A Terceros","12.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120102","Al Originador","12.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120201","A Terceros","12.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120202","A Personal","12.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120203","Otros","12.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030101","Operaciones  Bursátiles","12.03.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
