id,code,name,account_type,chart_template_id/id,tag_ids/id,reconcile
a1020,1020,Koncessioner m.m.,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1028,1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1029,1029,Ackumulerade avskrivningar på koncessioner m.m.,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1038,1038,Ackumulerade nedskrivningar på patent,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1040,1040,Licenser,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1048,1048,Ackumulerade nedskrivningar på licenser,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1049,1049,Ackumulerade avskrivningar på licenser,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1050,1050,Varumärken,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1058,1058,Ackumulerade nedskrivningar på varumärken,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1059,1059,Ackumulerade avskrivningar på varumärken,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1060,1060,"Hyresrätter, tomträtter och liknande",asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1068,1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande",asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1070,1070,Goodwill,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1078,1078,Ackumulerade nedskrivningar på goodwill,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1079,1079,Ackumulerade avskrivningar på goodwill,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1080,1080,Förskott för immateriella anläggningstillgångar,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_1,False
a1111,1111,Byggnader på annans mark,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1112,1112,Byggnader på egen mark,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1118,1118,Ackumulerade nedskrivningar på byggnader,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1120,1120,Förbättringsutgifter på annans fastighet,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1129,1129,Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1140,1140,Tomter och obebyggda markområden,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1158,1158,Ackumulerade nedskrivningar på markanläggningar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1180,1180,"Pågående ny-,till- och ombyggnad",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1188,1188,Förskott för byggnader och mark,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1211,1211,Maskiner,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1213,1213,Andra tekniska anläggningar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1218,1218,Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1221,1221,Inventarier,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1222,1222,Byggnadsinventarier,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1223,1223,Markinventarier,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1225,1225,Verktyg,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1228,1228,Ackumulerade nedskrivningar på inventarier och verktyg,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1229,1229,Ackumulerade avskrivningar på inventarier och verktyg,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1230,1230,Installationer,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1231,1231,Installationer på egen fastighet,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1232,1232,Installationer på annans fastighet,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1238,1238,Ackumulerade nedskrivningar på installationer,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1239,1239,Ackumulerade avskrivningar på installationer,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1240,1240,Bilar och andra transportmedel,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1241,1241,Personbilar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1242,1242,Lastbilar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1243,1243,Truckar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1244,1244,Arbetsmaskiner,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1245,1245,Traktorer,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1246,1246,"Motorcyklar, mopeder och skotrar",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1247,1247,"Båtar, flygplan och helikoptrar",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1248,1248,Ackumulerade nedskrivningar på bilar och andra transportmedel,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1251,1251,"Datorer, företaget",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1257,1257,"Datorer, personal",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1258,1258,Ackumulerade nedskrivningar på datorer,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1280,1280,Pågående nyanläggningar och förskott för maskiner och inventarier,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1281,1281,"Pågående nyanläggningar, maskiner och inventarier",asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1288,1288,Förskott för maskiner och inventarier,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1292,1292,Djur som klassificeras som anläggningstillgång,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1298,1298,Ackumulerade nedskrivningar på övriga materiella anläggningstillgångar,asset_fixed,l10nse_chart_template_K2,l10n_se.account_tag_2,False
a1310,1310,Andelar i koncernföretag,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_3,False
a1311,1311,Aktier i noterade svenska koncernföretag,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_3,False
a1312,1312,Aktier i onoterade svenska koncernföretag,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_3,False
a1313,1313,Aktier i noterade ütlandska koncernföretag,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_3,False
a1314,1314,Aktier i onoterade ütlandska koncernföretag,asset_non_current,l10nse_chart_template_K2,l10n_se.account_tag_3,False
