"id","parent_id","active","name","code","account_type","reconcile","name@ar"
"kw_group_02","","False","Liquidity","1001","asset_current","","السيولة"
"kw_group_04","","False","Receivables","1002","asset_current","","الحسابات المدينة"
"kw_group_05","","False","Deposits","1003","asset_current","","الإيداعات"
"kw_group_06","","False","Prepaid Expenses","1004","asset_current","","النفقات مسبقة الدفع"
"kw_group_07","","False","Inventory","1005","asset_current","","المخزون"
"kw_group_08","","False","Company Assets & Depreciation","1006","asset_fixed","","أصول الشركة والإهلاك"
"kw_group_09","","False","Licensing and Copyrights","1007","asset_current","","الترخيص وحقوق النشر"
"kw_group_10","","False","IFRS16 Assets & Depreciation","1008","asset_fixed","","أصول IFRS16 والإهلاك"
"kw_group_11","","False","Payables","2001","liability_current","","الحسابات الدائنة"
"kw_group_12","","False","Accrued Employee Expenses","2002","liability_current","","نفقات الموظفين المستحقة"
"kw_group_13","","False","Accrued Expenses","2003","liability_current","","النفقات المستحقة"
"kw_group_14","","False","Deferrals","2004","liability_current","","التأجيلات"
"kw_group_15","","False","Provisions","2005","liability_non_current","","الأحكام"
"kw_group_16","","False"," VAT","2009","asset_current","","ضريبة القيمة المضافة"
"kw_group_17","","False","Operating Income","4001","income","","الإيرادات التشغيلية"
"kw_group_18","","False","Non-Operating Income","4002","income_other","","الإيرادات غير التشغيلية"
"kw_group_19","","False","Other gains & losses - Other Income","4003","income_other","","المكاسب والخسائر الأخرى - إيرادات أخرى"
"kw_group_20","","False","Cost of Sales","5001","expense_direct_cost","","تكلفة المبيعات"
"kw_group_21","","False","Employees Expenses","5002","expense","","مصروفات الموظفين"
"kw_group_22","","False","Payroll Expenses","5003","expense","","مصروفات الرواتب"
"kw_group_23","","False","Office and Location Expenses","5004","expense","","نفقات المكتب والموقع"
"kw_group_24","","False","Company Expenses","5005","expense","","مصروفات الشركة"
"kw_group_25","","False","Finance Expenses","500600-500649","expense","","المصروفات المالية"
"kw_group_26","","False","Income Tax","500650-500699","expense","","ضريبة الدخل"
"kw_group_27","","False","Misc. Company Expenses","5007","expense","","متفرقات. مصروفات الشركة"
"kw_group_28","","False","Assets Depreciation Expenses","500800-500849","expense_depreciation","","مصروفات استهلاك الأصول"
"kw_group_29","","False","IFRS16 Depreciation","500851-500899","expense_depreciation","","IFRS16 الإهلاك"
"kw_group_30","","False","Other gains & losses - Expenses","5009","expense","","الأرباح والخسائر الأخرى - المصروفات"
"kw_group_31","","False","Misc. Office Expenses","5011","expense","","متفرقات. نفقات مكتبية"
"kw_account_100102","kw_group_02","True","Bank Suspense Account","100102","asset_current","False","حساب التعليق البنكي"
"kw_account_100103","kw_group_02","True","Outstanding Receipts","100103","asset_current","False","الإيصالات المستحقة"
"kw_account_100104","kw_group_02","True","Outstanding Payments","100104","asset_current","False","المدفوعات المستحقة"
"kw_account_100106","kw_group_02","True","Credit cards","100106","asset_current","False","البطاقات الائتمانية"
"kw_account_100107","kw_group_02","True","Post Dated Cheques Received","100107","asset_current","False","الشيكات مؤجلة الصرف المستلمة"
"kw_account_100201","kw_group_04","True","Accounts Receivable","100201","asset_receivable","True","الحسابات المدينة"
"kw_account_100202","kw_group_04","True","Accounts Receivable (PoS)","100202","asset_receivable","True","الحسابات المدينة (نقطة البيع)"
"kw_account_100203","kw_group_04","True","Other Receivable","100203","asset_current","False","المستحقات الأخرى"
"kw_account_100301","kw_group_05","True","Deposit - Office Rent","100301","asset_current","False","إيداع - إيجار المكتب"
"kw_account_100302","kw_group_05","True","Deposits - Customs","100302","asset_current","False","الإيداعات - الجمارك"
"kw_account_100303","kw_group_05","True","Deposit to Immigration (Visa)","100303","asset_current","False","إيداع للهجرة (فيزا)"
"kw_account_100304","kw_group_05","True","Deposit Others","100304","asset_current","False","إيداع آخر"
"kw_account_100401","kw_group_06","True","Prepaid Medical Insurance","100401","asset_current","False","التأمين الصحي مسبق الدفع"
"kw_account_100402","kw_group_06","True","Prepaid Life Insurance","100402","asset_current","False","التأمين على الحياة مسبق الدفع"
"kw_account_100403","kw_group_06","True","Prepaid Office Rent","100403","asset_current","False","إيجار المكتب مسبق الدفع"
"kw_account_100404","kw_group_06","True","Prepaid Other Insurance","100404","asset_current","False","التأمينات الأخرى مسبقة الدفع"
"kw_account_100405","kw_group_06","True","Prepaid License Fees","100405","asset_current","False","رسوم الرخصة مسبقة الدفع"
"kw_account_100406","kw_group_06","True","Prepaid Maintenance","100406","asset_current","False","الصيانة مسبقة الدفع"
"kw_account_100407","kw_group_06","True","Prepaid Employees Housing","100407","asset_current","False","سكن الموظفين مسبق الدفع"
"kw_account_100408","kw_group_06","True","Prepaid Schooling Fees","100408","asset_current","False","الرسوم الدراسية مسبقة الدفع"
"kw_account_100409","kw_group_06","True","Prepaid Consultancy Fees","100409","asset_current","False","الرسوم الاستشارية مسبقة الدفع"
"kw_account_100410","kw_group_06","True","Prepaid Legal Fees","100410","asset_current","False","الرسوم القانونية مسبقة الدفع"
"kw_account_100411","kw_group_06","True","Prepaid Sponsorship Fees","100411","asset_current","False","رسوم الكفالة مسبقة الدفع"
"kw_account_100412","kw_group_06","True","Prepaid Advertisement Expenses","100412","asset_current","False","نفقات الإعلان مسبقة الدفع"
"kw_account_100413","kw_group_06","True","Prepaid Bank Guarantee","100413","asset_current","False","ضمان البنك مسبق الدفع"
"kw_account_100414","kw_group_06","True","Prepaid Finance charge for Loans","100414","asset_current","False","رسوم التمويل مسبقة الدفع للقروض"
"kw_account_100415","kw_group_06","True","Other Prepayments","100415","asset_current","False","المدفوعات المسبقة الأخرى"
"kw_account_100416","kw_group_06","True","Prepaid Expenses","100416","asset_current","False","المصروفات المدفوعة مقدما"
"kw_account_100501","kw_group_07","True","Handling Difference in Inventory","100501","asset_current","False","التعامل مع الفرق في المخزون"
"kw_account_100502","kw_group_07","True","Inventory Valuation","100502","asset_current","False","تقييم المخزون"
"kw_account_100503","kw_group_07","True","Stock Incoming","100503","asset_current","False","المخزون الوارد"
"kw_account_100504","kw_group_07","True","Stock Outgoing","100504","asset_current","False","المخزون الصادر"
"kw_account_100505","kw_group_07","True","Work in Progress (Inventory)","100505","asset_current","False","العمل قيد التنفيذ (المخزون)"
"kw_account_100601","kw_group_08","True","Accumulated Depreciation of Motor Vehicles","100601","asset_fixed","False","حساب الإهلاك للمركبات"
"kw_account_100602","kw_group_08","True","Amortisation on Leasehold Improvement","100602","asset_fixed","False","الاستهلاك عند تحسين العقارات المستأجرة"
"kw_account_100603","kw_group_08","True","Leasehold Improvement","100603","asset_fixed","False","تحسين العقارات المستأجرة"
"kw_account_100604","kw_group_08","True","Furniture and Equipment","100604","asset_fixed","False","الأثاث والمعدات"
"kw_account_100605","kw_group_08","True","Computer Hardware & Software","100605","asset_fixed","False","أجهزة وبرامج الحاسوب"
"kw_account_100606","kw_group_08","True","Accumulated Depreciation of Furniture & Office Equipment","100606","asset_fixed","False","حساب الإهلاك للأثاث والأدوات المكتبية"
"kw_account_100607","kw_group_08","True","Accumulated Depreciation of Computer Hardware & Software","100607","asset_fixed","False","حساب الإهلاك لبرامج وأجهزة الحاسوب"
"kw_account_100701","kw_group_09","True","Registration of Trademarks","100701","asset_current","False","تسجيل العلامات التجارية"
"kw_account_100801","kw_group_10","True","Right of use Asset (IFRS 16)","100801","asset_fixed","False","حق استخدام الأصل (IFRS 16)"
"kw_account_100802","kw_group_10","True","Accumulated Depreciation Right of use Asset (IFRS 16)","100802","asset_fixed","False","حق استخدام الأصل للإهلاك المتراكم (IFRS 16)"
"kw_account_200101","kw_group_11","True","Payables","200101","liability_payable","True","المبالغ مستحقة الدفع"
"kw_account_200102","kw_group_11","True","Trade Payables","200102","liability_payable","True",""
"kw_account_200103","kw_group_11","True","Employees Payables","200103","liability_payable","True","المبالغ المستحقة للموظفين"
"kw_account_200104","kw_group_11","True","Credit Notes to Customers","200104","liability_current","False","الإشعارات الدائنة للعملاء"
"kw_account_200201","kw_group_12","True","Accrued - Salaries","200201","liability_current","False","مستحق - المرتبات"
"kw_account_200202","kw_group_12","True","Accrued - Commissions","200202","liability_current","False","مستحق - العمولات"
"kw_account_200203","kw_group_12","True","Accrued - Staff Bonus","200203","liability_current","False","مكافآت الموظفين المستحقة"
"kw_account_200204","kw_group_12","True","Accrued Other Personnel Cost","200204","liability_current","False","تكاليف الموظفين الآخرين المستحقة"
"kw_account_200205","kw_group_12","True","Accrued - Sponsorship","200205","liability_current","False","مستحق - الكفالة"
"kw_account_200301","kw_group_13","True","Accrued - Utilities","200301","liability_current","False","مستحق - المرافق"
"kw_account_200302","kw_group_13","True","Accrued - Telephone","200302","liability_current","False","مستحق - الهاتف"
"kw_account_200303","kw_group_13","True","Accrued - Audit Fees","200303","liability_current","False","مستحق - رسوم التدقيق"
"kw_account_200304","kw_group_13","True","Accrued - Office Rent","200304","liability_current","False","مستحق - إيجار المكتب"
"kw_account_200305","kw_group_13","True","Accrued Others","200305","liability_current","False","المستحقات الأخرى"
"kw_account_200306","kw_group_13","True","Accrued Kuwait Customs","200306","liability_current","False","جمارك الكويت المستحقة"
"kw_account_200401","kw_group_14","True","Deferred income","200401","liability_current","False","الدخل المؤجل"
"kw_account_200501","kw_group_15","True","Leave Tickets Provision","200501","liability_non_current","False","حكم تذاكر الطيران"
"kw_account_200502","kw_group_15","True","Leave Days Provision","200502","liability_non_current","False","حكم أيام الإجازة"
"kw_account_200503","kw_group_15","True","End of Service Provision","200503","liability_non_current","False","حكم نهاية الخدمة"
"kw_account_200504","kw_group_15","True","Income Tax Provision","200504","liability_non_current","False","حكم ضريبة الدخل"
"kw_account_200901","kw_group_16","True","VAT Input","200901","asset_current","False","مدخلات ضريبة القيمة المضافة"
"kw_account_200902","kw_group_16","True","VAT Output","200902","liability_current","False","مخرجات ضريبة القيمة المضافة"
"kw_account_200903","kw_group_16","True","VAT Receivable","200903","asset_non_current","False","ضريبة القيمة المضافة مستحقة الدفع"
"kw_account_200904","kw_group_16","True","VAT Payable","200904","liability_non_current","False","ضريبة القيمة المضافة المستحقة"
"kw_account_200905","kw_group_16","True","Tax Payable","200905","liability_current","False","الضريبة المستحقة"
"kw_account_200906","kw_group_16","True","Tax Receivable","200906","asset_current","False",""
"kw_account_300100","","True","Retained Earnings","300100","equity","False",""
"kw_account_300101","","True","Undistributed Profits/Losses","300101","equity_unaffected","False","الأرباح/الخسائر غير الموزعة"
"kw_account_400100","kw_group_17","True","Income Clearing Account","400100","income","False",""
"kw_account_400101","kw_group_17","True","Sales Account","400101","income","False","حساب المبيعات"
"kw_account_400102","kw_group_17","True","Sales of I/C","400102","income","False","المبيعات بين الشركات التابعة"
"kw_account_400103","kw_group_17","True","Sales from Other Region","400103","income","False","المبيعات من منطقة أخرى"
"kw_account_400104","kw_group_17","True","Management Consultancy Fees","400104","income","False","رسوم الاستشارة الإدارية"
"kw_account_400105","kw_group_17","True","Advertising Income","400105","income","False","دخل الإعلان"
"kw_account_400201","kw_group_18","True","Other Income","400201","income_other","False","دخل آخر"
"kw_account_400301","kw_group_19","True","Gain on Difference on Exchange","400301","income_other","False","أرباح فرق صرف العملة"
"kw_account_400302","kw_group_19","True","Cash Difference Gain","400302","income_other","False","أرباح فرق النقد"
"kw_account_400303","kw_group_19","True","Excess In Till","400303","income_other","False","الفائض في صندوق النقود"
"kw_account_400304","kw_group_19","True","Cash Discount Gain","400304","income_other","False",""
"kw_account_500101","kw_group_20","True","Cost of Goods Sold in Trading","500101","expense_direct_cost","False","تكاليف البضائع المباعة في التجارة"
"kw_account_500102","kw_group_20","True","Cost Of Goods Sold I/C Sales","500102","expense_direct_cost","False","تكاليف البضائع المباعة - المبيعات بين الشركات التابعة"
"kw_account_500200","kw_group_21","True","Expense Clearing Account","500200","expense","False",""
"kw_account_500201","kw_group_21","True","Medical Insurance","500201","expense","False","التأمين الصحي"
