"id","code_prefix_start","code_prefix_end","name","name@kw_KW"
"kw_group_01","1000","1000","Liquidity","السيولة"
"kw_group_02","1001","1001","Liquidity","السيولة"
"kw_group_03","1009","1009","Liquidity","السيولة"
"kw_group_04","1002","1002","Receivables","الحسابات المدينة"
"kw_group_05","1003","1003","Deposits","الإيداعات"
"kw_group_06","1004","1004","Prepaid Expenses","النفقات مسبقة الدفع"
"kw_group_07","1005","1005","Inventory","المخزون"
"kw_group_08","1006","1006","Company Assets & Depreciation","أصول الشركة والإهلاك"
"kw_group_09","1007","1007","Licensing and Copyrights","الترخيص وحقوق النشر"
"kw_group_10","1008","1008","IFRS16 Assets & Depreciation","أصول IFRS16 والإهلاك"
"kw_group_11","2001","2001","Payables","الحسابات الدائنة"
"kw_group_12","2002","2002","Accrued Employee Expenses","نفقات الموظفين المستحقة"
"kw_group_13","2003","2003","Accrued Expenses","النفقات المستحقة"
"kw_group_14","2004","2004","Deferrals","التأجيلات"
"kw_group_15","2005","2005","Provisions","الأحكام"
"kw_group_16","2009","2009"," VAT","ضريبة القيمة المضافة"
"kw_group_17","4001","4001","Operating Income","الإيرادات التشغيلية"
"kw_group_18","4002","4002","Non-Operating Income","الإيرادات غير التشغيلية"
"kw_group_19","4003","4003","Other gains & losses - Other Income","المكاسب والخسائر الأخرى - إيرادات أخرى"
"kw_group_20","5001","5001","Cost of Sales","تكلفة المبيعات"
"kw_group_21","5002","5002","Employees Expenses","مصروفات الموظفين"
"kw_group_22","5003","5003","Payroll Expenses","مصروفات الرواتب"
"kw_group_23","5004","5004","Office and Location Expenses","نفقات المكتب والموقع"
"kw_group_24","5005","5005","Company Expenses","مصروفات الشركة"
"kw_group_25","500600","500649","Finance Expenses","المصروفات المالية"
"kw_group_26","500650","500699","Income Tax","ضريبة الدخل"
"kw_group_27","5007","5007","Misc. Company Expenses","متفرقات. مصروفات الشركة"
"kw_group_28","500800","500849","Assets Depreciation Expenses","مصروفات استهلاك الأصول"
"kw_group_29","500851","500899","IFRS16 Depreciation","IFRS16 الإهلاك"
"kw_group_30","5009","5009","Other gains & losses - Expenses","الأرباح والخسائر الأخرى - المصروفات"
"kw_group_31","5011","5011","Misc. Office Expenses","متفرقات. نفقات مكتبية"
