"id","code","name","account_type","tag_ids","reconcile","non_trade","name@mn"
"account_template_1001_0101","10010101","Cash","asset_cash","","0","","Бэлэн мөнгө"
"account_template_1003_0101","10030101","A petty cash fund","asset_cash","","0","","Жижиг мөнгөн сан"
"account_template_1101_0101","11010101","Money in the bank","asset_cash","","0","","Банкинд байгаа мөнгө"
"account_template_1103_0101","11030101","Time deposits","asset_cash","","0","","Хугацаагүй хадгаламж"
"account_template_1104_0101","11040101","Bank payment terminal","asset_cash","","0","","Банкны төлбөрийн темринал"
"account_template_1109_0101","11090101","Money on the road","asset_current","","1","","Замд яваа мөнгө"
"account_template_1110_0101","11100101","Other cash equivalents","asset_current","","0","","Бусад мөнгө түүнтэй адилтгах хөрөнгө"
"account_template_1201_0101","12010101","Trade receivables Enterprise","asset_receivable","l10n_mn.account_cashflow_tag_111","1","","Худалдааны авлага ААН"
"account_template_1201_0201","12010201","Trade Receivable Individual","asset_receivable","l10n_mn.account_cashflow_tag_111","1","","Худалдааны авлага Хувь хүн"
"account_template_1201_0202","12010202","Trade Receivables Individual (PoS)","asset_receivable","l10n_mn.account_cashflow_tag_111","1","","Худалдааны авлага Хувь хүн (PoS)"
"account_template_1201_0301","12010301","Trade Receivables Related Party","asset_receivable","l10n_mn.account_cashflow_tag_111","1","","Худалдааны авлага Холбоотой тал"
"account_template_1202_0101","12020101","Accounts receivable","asset_prepayments","l10n_mn.account_cashflow_tag_123","0","","Авлагын бичиг"
"account_template_1203_0101","12030101","Bad debt deduction","asset_prepayments","l10n_mn.account_cashflow_tag_123","0","","Найдваргүй авлагын хасагдуулга"
"account_template_1204_0101","12040101","Prepaid CIT","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн ААНОАТатвар"
"account_template_1204_0201","12040201","Prepaid VAT (PRC)","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн ХХОАТатвар"
"account_template_1204_0301","12040301","Prepaid VAT","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн НӨАТатвар"
"account_template_1204_0302","12040302","Deferred VAT /Buildings/","asset_prepayments","","0","","Хойшлуулсан НӨАТатвар /Барилга байгууламж/"
"account_template_1204_0303","12040303","Deferred VAT /Machines and equipment/","asset_prepayments","","0","","Хойшлуулсан НӨАТатвар /Машин тоног төхөөрөмж/"
"account_template_1204_0304","12040304","Deferred VAT /Exploratory assessment/","asset_prepayments","","0","","Хойшлуулсан НӨАТатвар /Хайгуулын үнэлгээ/"
"account_template_1204_0401","12040401","Customs duty paid in advance","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Гаалийн албан татвар"
"account_template_1204_0501","12040501","Prepaid Real Estate Taxes","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Үл хөдлөх хөрөнгийн албан татвар"
"account_template_1204_0601","12040601","Prepaid Land Charges","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Газрын төлбөр"
"account_template_1204_0701","12040701","Prepaid VAT (АТӨЯХАТ)","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн АТӨЯХАТатвар"
"account_template_1204_0801","12040801","Prepaid Air Pollution Tax","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Агаарын бохирдлын татвар"
