"id","name","amount","price_include","sequence","amount_type","type_tax_use","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","description@mn"
"account_tax_sale_vat1","10% G","10.0","True","1","percent","sale","VAT goods","10%","account_tax_group1","base","+TT3a[5]","invoice","","НӨАТ бараа"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[5]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_purchase_vat1","10%","10.0","True","1","percent","purchase","Purchase with VAT","10%","account_tax_group4","base","+TT3a[35]||+TT3a[32]","invoice","","НӨАТ-тэй худалдан авалт"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[35]||-TT3a[32]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat2","0%","0.0","True","10","percent","purchase","Purchase without VAT","0%","account_tax_group4","base","+TT3a[32]","invoice","","НӨАТ-гүй худалдан авалт"
"","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","base","-TT3a[32]","refund","",""
"","","","","","","","","","","tax","","refund","",""
"account_tax_sale_vat2","0%","0.0","True","10","percent","sale","VAT 0% sales","0%","account_tax_group6","base","+TT3a[2]","invoice","","НӨАТ 0% борлуулалт"
"","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","base","-TT3a[2]","refund","",""
"","","","","","","","","","","tax","","refund","",""
"account_tax_sale_vat3","0% EXEMPT","0.0","True","10","percent","sale","VAT exempt sales","0%","account_tax_group6","base","+TT3a[2]","invoice","","НӨАТ чөлөөлөх борлуулалт"
"","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","base","-TT3a[2]","refund","",""
"","","","","","","","","","","tax","","refund","",""
"account_tax_sale_vat4","10% O G","10.0","True","20","percent","sale","VAT sales of other goods","10%","account_tax_group1","base","+TT3a[6]","invoice","","НӨАТ бусад барааны борлуулалт"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[6]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat5","10%","10.0","True","20","percent","sale","VAT sales","10%","account_tax_group1","base","+TT3a[7]","invoice","","НӨАТ эрх борлуулалт"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[7]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat6","10% Liq","10.0","True","20","percent","sale","Sales during VAT liquidation","10%","account_tax_group1","base","+TT3a[8]","invoice","","НӨАТ татан буугдах үеийн борлуулалт"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[8]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat7","10% G D","10.0","True","20","percent","sale","Goods given in payment of VAT debt","10%","account_tax_group1","base","+TT3a[9]","invoice","","НӨАТ өрийн төлбөрт өгсөн бараа"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[9]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat9","10% S D","10.0","True","20","percent","sale","Services provided for payment of VAT debts","10%","account_tax_group2","base","+TT3a[11]","invoice","","НӨАТ өрийн төлбөрт өгсөн үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[11]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat10","10% E","10.0","True","20","percent","sale","VAT energy (electricity, heat, water, post, communications)","10%","account_tax_group2","base","+TT3a[12]","invoice","","НӨАТ цахилгаан, дулаан, ус, шуудан, холбоо"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[12]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat11","10% G R","10.0","True","20","percent","sale","Renting and owning VAT goods","10%","account_tax_group2","base","+TT3a[13]","invoice","","НӨАТ бараа түрээслүүлэх, эзэмшүүлэх"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[13]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
