"id","name","code","account_type","reconcile","name@es"
"account_account_101010101","Main cash","101010101","asset_cash","False","Caja principal"
"account_account_101010201","Petty cash","101010201","asset_cash","False","Caja chica"
"account_account_101010301","Cash in bolivars","101010301","asset_cash","False","Efectivo Bs"
"account_account_101020101","Banco Mercantil","101020101","asset_cash","False","Banco Mercantil"
"account_account_101020102","Banco de Venezuela","101020102","asset_cash","False","Banco de Venezuela"
"account_account_101020103","Banco Provincial","101020103","asset_cash","False","Banco Provincial"
"account_account_101020104","Banco Banesco","101020104","asset_cash","False","Banco Banesco"
"account_account_101020105","Banco Bancamiga","101020105","asset_cash","False","Banco Bancamiga"
"account_account_101050101","Ending inventory","101050101","asset_current","True","Inventario final"
"account_account_101050201","Domestic merchandise inventory","101050201","asset_current","True","Inventarios de mercancía nacional"
"account_account_101050301","Foreign merchandise inventory","101050301","asset_current","True","Inventarios de mercancía exterior"
"account_account_101050401","Goods in transit","101050401","asset_current","True","Mercancía en tránsito"
"account_account_101060101","Trade receivables","101060101","asset_receivable","True","Cuentas por cobrar clientes"
"account_account_101060201","Allowance for doubtful accounts","101060201","asset_current","True","Estimación de cuentas incobrables"
"account_account_101070101","VAT tax credit","101070101","asset_current","True","IVA crédito fiscal"
"account_account_101070201","VAT tax credit on imports","101070201","asset_current","True","IVA crédito fiscal importación"
"account_account_101070401","Income tax withheld","101070401","asset_current","True","ISLR retenido"
"account_account_101070501","VAT withheld","101070501","asset_current","True","IVA retenido"
"account_account_101080101","Prepaid advertising","101080101","asset_current","True","Publicidad pagada por anticipado"
"account_account_101090101","Liquidity transfer","101090101","asset_current","True","Transferencia de liquidez"
"account_account_102010101","Land at original cost","102010101","asset_non_current","True","Terreno costo original"
"account_account_102010201","Buildings at original cost","102010201","asset_non_current","True","Inmuebles costo original"
"account_account_102010301","Machinery and equipment at original cost","102010301","asset_non_current","True","Maquinarias y equipos costo original"
"account_account_102010401","Vehicles at original cost","102010401","asset_non_current","True","Vehículos costo original"
"account_account_102010501","Furniture and fixtures at original cost","102010501","asset_non_current","True","Muebles y enseres costo original"
"account_account_102010601","Leasehold improvements at original cost","102010601","asset_non_current","True","Mejoras a propiedad costo original"
"account_account_102019101","Accumulated depreciation","102019101","asset_non_current","False","Depreciación acumulada"
"account_account_102020101","Patents and trademarks","102020101","asset_non_current","True","Patente y marca"
"account_account_102020201","Licenses and software at original cost","102020201","asset_non_current","True","Licencia y software costo original"
"account_account_102020301","Trade marks","102020301","asset_non_current","True","Marca de fábrica"
"account_account_102030101","Long-term investments","102030101","asset_non_current","True","Inversiones permanentes"
"account_account_102030201","Local-currency bond investments","102030201","asset_non_current","True","Inversiones en bonos M.N."
"account_account_102030301","Bonds and securities","102030301","asset_non_current","True","Bonos y títulos"
"account_account_199010101","Outstanding payments Banco Mercantil","199010101","asset_current","True","Pagos pendientes Banco Mercantil"
"account_account_199010102","Outstanding payments Banco de Venezuela","199010102","asset_current","True","Pagos pendientes Banco de Venezuela"
"account_account_199010103","Outstanding payments Banco Provincial","199010103","asset_current","True","Pagos pendientes Banco Provincial"
"account_account_199010104","Outstanding payments Banco Banesco","199010104","asset_current","True","Pagos pendientes Banco Banesco"
"account_account_199010105","Outstanding payments Banco Bancamiga","199010105","asset_current","True","Pagos pendientes Banco Bancamiga"
"account_account_199020101","Outstanding receipts Banco Mercantil","199020101","asset_current","True","Recibos pendientes Banco Mercantil"
"account_account_199020102","Outstanding receipts Banco de Venezuela","199020102","asset_current","True","Recibos pendientes Banco de Venezuela"
"account_account_199020103","Outstanding receipts Banco Provincial","199020103","asset_current","True","Recibos pendientes Banco Provincial"
"account_account_199020104","Outstanding receipts Banco Banesco","199020104","asset_current","True","Recibos pendientes Banco Banesco"
"account_account_199020105","Outstanding receipts Banco Bancamiga","199020105","asset_current","True","Recibos pendientes Banco Bancamiga"
"account_account_199990101","Suspense account","199990101","asset_current","True","Cuenta transitoria"
"account_account_201010101","Domestic accounts payable","201010101","liability_payable","True","Cuentas por pagar nacionales"
"account_account_201010201","Foreign accounts payable","201010201","liability_payable","True","Cuentas por pagar internacionales"
"account_account_201010301","Employee accounts payable","201010301","liability_payable","True","Cuentas por pagar personal"
"account_account_201010401","Other accounts payable","201010401","liability_payable","True","Otras cuentas por pagar"
"account_account_201020101","Estimated municipal business tax","201020101","liability_current","True","Patente municipal estimada"
"account_account_201020201","Pension protection contribution","201020201","liability_current","True","Declaración protección a las pensiones"
"account_account_201020301","Large financial transactions tax (IGTF)","201020301","liability_current","True","Impuesto a las grandes transacciones financieras (IGTF)"
"account_account_201020401","VAT payable","201020401","liability_current","True","IVA por pagar"
"account_account_201020501","Estimated income tax return","201020501","liability_current","True","ISLR declaraciones estimadas"
"account_account_201020601","VAT payable on imports","201020601","liability_current","True","IVA débito fiscal importación"
"account_account_201020701","Municipal sanitation tax","201020701","liability_current","True","Aseo municipal"
"account_account_201020801","Other municipal tax (HT)","201020801","liability_current","True","Otros impuestos municipales (HT)"
"account_account_201030101","VAT withholding","201030101","liability_current","True","Retención IVA"
"account_account_201030201","Income tax withholdings","201030201","liability_current","True","Retenciones ISLR"
"account_account_201030301","Employee income tax withholdings","201030301","liability_current","True","Retenciones ISLR empleados"
"account_account_201040101","IVSS employee contributions","201040101","liability_current","True","IVSS aportes empleados"
"account_account_201040201","FAOV employee contributions","201040201","liability_current","True","FAOV aportes empleados"
"account_account_201040301","INCES employee contributions","201040301","liability_current","True","INCES aportes empleados"
"account_account_201040401","IVSS employer contribution","201040401","liability_current","True","IVSS aporte empresa"
"account_account_201040501","FAOV employer contribution","201040501","liability_current","True","FAOV aporte empresa"
"account_account_201040601","INCES employer contribution","201040601","liability_current","True","INCES aporte empresa"
"account_account_201050101","Wage garnishment","201050101","liability_current","True","Embargo de sueldo"
"account_account_201050201","Trust fund loans","201050201","liability_current","True","Préstamos sobre fideicomiso"
"account_account_201050301","Vacation","201050301","liability_current","True","Vacaciones"
"account_account_201050401","Profit sharing","201050401","liability_current","True","Utilidades"
"account_account_201050501","Severance benefits","201050501","liability_current","True","Prestaciones sociales"
"account_account_201050601","Interest on severance benefits","201050601","liability_current","True","Intereses s/prestaciones sociales"
"account_account_201050701","One-time special bonus","201050701","liability_current","True","Bonificación accidental única"
"account_account_201050801","Vacation bonus","201050801","liability_current","True","Bono vacacional"
"account_account_201050901","LOPTI","201050901","liability_current","True","L.O.P.T.I."
"account_account_201051001","Payroll payable","201051001","liability_current","True","Nómina por pagar"
"account_account_201051101","Food benefit program","201051101","liability_current","True","Programa de alimentación"
"account_account_201051201","Short-term liabilities","201051201","liability_current","True","Pasivos a corto plazo"
"account_account_201060101","Provision for severance benefits","201060101","liability_current","True","Provisión prestaciones sociales"
"account_account_201060201","Provision for profit sharing and vacation","201060201","liability_current","True","Provisión utilidades y vacaciones"
"account_account_202010101","Long-term financial liabilities","202010101","liability_non_current","True","Pasivos financieros a largo plazo"
"account_account_202010201","Intercompany liabilities","202010201","liability_non_current","True","Pasivos intercompañías"
"account_account_202010301","Other long-term liabilities","202010301","liability_non_current","True","Otros pasivos a largo plazo"
"account_account_301010101","Paid-in capital","301010101","equity","False","Capital social pagado"
"account_account_301010201","Capital restatement","301010201","equity","False","Actualización del capital social"
"account_account_301010301","Subscribed capital receivable","301010301","equity","False","Capital suscrito por cobrar"
"account_account_301010401","Treasury shares","301010401","equity","False","Acciones en tesorería"
"account_account_301020101","Retained earnings","301020101","equity","False","Utilidades no distribuidas"
"account_account_301020201","Current year earnings","301020201","equity_unaffected","False","Utilidades del ejercicio"
"account_account_301030101","Accumulated inflation adjustment (REI)","301030101","equity","False","REI acumulados"
"account_account_301030201","Current year inflation adjustment (REI)","301030201","equity","False","REI del ejercicio"
"account_account_301030301","Inflation restatement","301030301","equity","False","Reajuste por inflación"
"account_account_301030401","Equity restatement","301030401","equity","False","Actualización del patrimonio"
"account_account_301030501","Tax exclusions","301030501","equity","False","Exclusiones fiscales"
"account_account_301030601","Current year inflation adjustment of reserves (REI)","301030601","equity","False","REI del ejercicio de reservas"
"account_account_301030701","Initial inflation adjustment","301030701","equity","False","Ajuste inicial por inflación"
"account_account_301040101","Legal reserve at original value","301040101","equity","False","Valor original reserva legal"
"account_account_301040201","Legal reserve restatement","301040201","equity","False","Actualización de la reserva legal"
