"id","name","code","account_type","reconcile","name@sk"
"chart_sk_012000","Activated development costs","012000","asset_non_current","False","Aktivované náklady na vývoj"
"chart_sk_013000","Software","013000","asset_non_current","False","Softvér"
"chart_sk_014000","Appreciable rights","014000","asset_non_current","False","Oceniteľné práva"
"chart_sk_015000","Goodwill","015000","asset_non_current","False","Goodwill"
"chart_sk_019000","Other intangible fixed assets","019000","asset_non_current","False","Ostatný dlhodobý nehmotný majetok"
"chart_sk_021000","Buildings","021000","asset_non_current","False","Stavby"
"chart_sk_022000","Separate movables and sets of movables","022000","asset_non_current","False","Samostatné hnuteľné veci a súbory hnuteľných vecí"
"chart_sk_025000","Growing units of permanent crops","025000","asset_non_current","False","Pestovateľské celky trvalých porastov"
"chart_sk_026000","Basic herd and draft animals","026000","asset_non_current","False","Základné stádo a ťažné zvieratá"
"chart_sk_029000","Other tangible fixed assets","029000","asset_non_current","False","Ostatný dlhodobý hmotný majetok"
"chart_sk_031000","Land","031000","asset_non_current","False","Pozemky"
"chart_sk_032000","Works of art and collections","032000","asset_non_current","False","Umelecké diela a zbierky"
"chart_sk_041000","Acquisition of intangible fixed assets","041000","asset_non_current","False","Obstaranie dlhodobého nehmotného majetku"
"chart_sk_042000","Acquisition of tangible fixed assets","042000","asset_non_current","False","Obstaranie dlhodobého hmotného majetku"
"chart_sk_043000","Acquisition of non-current financial assets","043000","asset_non_current","False","Obstaranie dlhodobého finančného majetku"
"chart_sk_051000","Advances made for intangible fixed assets","051000","asset_non_current","False","Poskytnuté preddavky na dlhodobý nehmotný majetok"
"chart_sk_052000","Advances made for tangible fixed assets","052000","asset_non_current","False","Poskytnuté preddavky na dlhodobý hmotný majetok"
"chart_sk_055000","Advances made on non-current financial assets","055000","asset_non_current","False","Poskytnuté preddavky na dlhodobý finančný majetok"
"chart_sk_061000","Equity securities and interests in a subsidiary","061000","asset_non_current","False","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke"
"chart_sk_062000","Participating securities and shares in a participating company or cooperative","062000","asset_non_current","False","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou"
"chart_sk_063000","Available-for-sale securities and shares","063000","asset_non_current","False","Realizovateľné cenné papiere a podiely"
"chart_sk_065000","Debt securities held to maturity","065000","asset_non_current","False","Dlhové cenné papiere držané do splatnosti"
"chart_sk_066000","Loans to related entities and participating entities","066000","asset_non_current","False","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_067000","Other loans","067000","asset_non_current","False","Ostatné pôžičky"
"chart_sk_069000","Other non-current financial assets","069000","asset_non_current","False","Ostatný dlhodobý finančný majetok"
"chart_sk_072000","Allowances for capitalised development costs","072000","asset_non_current","False","Oprávky k aktivovaným nákladom na vývoj"
"chart_sk_073000","Software rights","073000","asset_non_current","False","Oprávky k softvéru"
"chart_sk_074000","Rights to valuable rights","074000","asset_non_current","False","Oprávky k oceniteľným právam"
"chart_sk_075000","Goodwill warrants","075000","asset_non_current","False","Oprávky ku goodwilu"
"chart_sk_079000","Adjustments to other intangible fixed assets","079000","asset_non_current","False","Opravky k ostatnému dlhodobému nehmotnému majetku"
"chart_sk_081000","Rights to buildings","081000","asset_non_current","False","Oprávky k stavbám"
"chart_sk_082000","Rights to separate movables and to a set of movables","082000","asset_non_current","False","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí"
"chart_sk_085000","Entitlements to the cultivation totals of permanent crops","085000","asset_non_current","False","Oprávky k pestovateľským celkom trvalých porastov"
