"id","code_prefix_start","name","name@sk"
"chart_sk_0","0","Fixed assets","Dlhodobý majetok"
"chart_sk_01","01","Intangible fixed assets","Dlhodobý nehmotný majetok"
"chart_sk_012","012","Activated development costs","Aktivované náklady na vývoj"
"chart_sk_013","013","Software","Softvér"
"chart_sk_014","014","Appreciable rights","Oceniteľné práva"
"chart_sk_015","015","Goodwill","Goodwill"
"chart_sk_019","019","Other intangible fixed assets","Ostatný dlhodobý nehmotný majetok"
"chart_sk_02","02","Tangible fixed assets - depreciated","Dlhodobý hmotný majetok - odpisovaný"
"chart_sk_021","021","Buildings","Stavby"
"chart_sk_022","022","Separate movables and sets of movables","Samostatné hnuteľné veci a súbory hnuteľných vecí"
"chart_sk_025","025","Growing units of permanent crops","Pestovateľské celky trvalých porastov"
"chart_sk_026","026","Basic herd and draft animals","Základné stádo a ťažné zvieratá"
"chart_sk_029","029","Other tangible fixed assets","Ostatný dlhodobý hmotný majetok"
"chart_sk_03","03","Tangible fixed assets - not depreciated","Dlhodobý hmotný majetok - neodpisovaný"
"chart_sk_031","031","Land","Pozemky"
"chart_sk_032","032","Works of art and collections","Umelecké diela a zbierky"
"chart_sk_04","04","Acquisition of fixed assets","Obstaranie dlhodobého majetku"
"chart_sk_041","041","Acquisition of intangible fixed assets","Obstaranie dlhodobého nehmotného majetku"
"chart_sk_042","042","Acquisition of tangible fixed assets","Obstaranie dlhodobého hmotného majetku"
"chart_sk_043","043","Acquisition of non-current financial assets","Obstaranie dlhodobého finančného majetku"
"chart_sk_05","05","Advances made for fixed assets","Poskytnuté preddavky na dlhodobý majetok"
"chart_sk_051","051","Advances made for intangible fixed assets","Poskytnuté preddavky na dlhodobý nehmotný majetok"
"chart_sk_052","052","Advances made for tangible fixed assets","Poskytnuté preddavky na dlhodobý hmotný majetok"
"chart_sk_055","055","Advances provided for long-term financial assets","Poskytnuté preddavky na dlhodobý finančný majetok"
"chart_sk_06","06","Long-term financial assets","Dlhodobý finančný majetok"
"chart_sk_061","061","Equity securities and shares in a subsidiary accounting unit","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke"
"chart_sk_062","062","Equity securities and shares in a company or cooperative with equity participation","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou"
"chart_sk_063","063","Realizable securities and shares","Realizovateľné cenné papiere a podiely"
"chart_sk_065","065","Debt securities held to maturity","Dlhové cenné papiere držané do splatnosti"
"chart_sk_066","066","Loans to related entities and participating entities","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_067","067","Other loans","Ostatné pôžičky"
"chart_sk_069","069","Other non-current financial assets","Ostatný dlhodobý finančný majetok"
"chart_sk_07","07","Allowances for intangible fixed assets","Oprávky k dlhodobému nehmotnému majetku"
"chart_sk_072","072","Allowances for capitalised development costs","Oprávky k aktivovaným nákladom na vývoj"
"chart_sk_073","073","Software rights","Oprávky k softvéru"
"chart_sk_074","074","Rights to valuable rights","Oprávky k oceniteľným právam"
"chart_sk_075","075","Goodwill warrants","Oprávky ku goodwilu"
"chart_sk_079","079","Adjustments to other intangible fixed assets","Opravky k ostatnému dlhodobému nehmotnému majetku"
"chart_sk_08","08","Allowances for tangible fixed assets","Oprávky k dlhodobému hmotnému majetku"
"chart_sk_081","081","Rights to buildings","Oprávky k stavbám"
"chart_sk_082","082","Rights to separate movables and to a set of movables","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí"
"chart_sk_085","085","Entitlements to the cultivation totals of permanent crops","Oprávky k pestovateľským celkom trvalých porastov"
