"id","code_prefix_start","code_prefix_end","name","name@fr","name@nl","name@de"
"be_group_10","10","","Capital","Capital","Kapitaal","Kapital"
"be_group_11","11","","Contribution Excluding Capital","Apport hors capital","Inbreng buiten kapitaal","Einlage ohne Kapital"
"be_group_110","110","","Contribution Available Excluding Capital","Apport disponible hors capital","Beschikbare inbreng buiten kapitaal","Verfügbare Einlage ohne Kapital"
"be_group_111","111","","Contribution Not Available Excluding Capital","Apport indisponible hors capital","Onbeschikbare inbreng buiten kapitaal","Nicht verfügbare Einlage ohne Kapital"
"be_group_123","123","","Revaluation Surpluses on Stocks","Plus-values de réévaluation sur stocks","Herwaarderingsmeerwaarden op voorraden","Neubewertungsrücklagen auf Vorräte"
"be_group_13","13","","Reserves","Réserves","Reserves","Rücklagen"
"be_group_130","130","","Legal Reserve","Réserve légale","Wettelijke reserve","Gesetzliche Rücklage"
"be_group_131","131","","Other Reserves Not Available","Autres réserves indisponibles","Andere onbeschikbare reserves","Sonstige nicht verfügbare Rücklagen"
"be_group_133","133","","Available Reserves","Réserves disponibles","Beschikbare reserves","Verfügbare Rücklagen"
"be_group_15","15","","Investment Grants","Subsides en capital","Kapitaalsubsidies","Kapitalsubventionen"
"be_group_19","19","","Advance to Associates on the Sharing Out of the Assets (-)","Avance aux associés sur la répartition de l'actif net (-)","Voorschot aan de vennoten op de verdeling van het netto-actief (-)","Vorschuss an die Gesellschafter auf der Verteilung des Nettoaktiva (-)"
"be_group_410","410","","Called Up Capital or Contribution, Unpaid","Capital ou apport appelé, non versé","Opgevraagd, niet gestort kapitaal of inbreng","Eingefordertes, noch nicht eingezahltes Kapital oder Einlage"
"be_group_47","47","","Debt From Appropriation Result","Dettes découlant de l'affectation du résultat","Schulden uit de bestemming van het resultaat","Verbindlichkeiten, die sich aus der Ergebnisverwendung ergeben"
"be_group_470","470","","Dividends and Director's Fees Relating to Prior Financial Periods","Dividendes et tantièmes d'exercices antérieurs","Dividenden en tantièmes over vorige boekjaren","Dividenden und Tantiemen vorhergehender Geschäftsjahre"
"be_group_471","471","","Dividends - Current Financial Period","Dividendes de l'exercice","Dividenden over het boekjaar","Dividenden für das Geschäftsjahr"
"be_group_472","472","","Director's Fees - Current Financial Period","Tantièmes de l'exercice","Tantièmes over het boekjaar","Tantiemen für das Geschäftsjahr"
"be_group_473","473","","Other Beneficiaries","Autres allocataires","Andere rechthebbenden","Sonstige Berechtigte"
"be_group_50","50","","Own Shares","Actions propres","Eigen aandelen","Eigene Anteile"
"be_group_51","51","","Shares and Current Investments Other Than Fixed Income Investments","Actions, parts et placements autres que placements à revenu fixe","Aandelen en geldbeleggingen andere dan vastrentende beleggingen","Anteile und Geldanlagen, andere als festverzinsliche Anlagen"
"be_group_510","510","","Shares and Current Investments Other Than Fixed Income Investments - Acquisition Value","Actions, parts et placements autres que placements à revenu fixe - Valeur d'acquisition","Aandelen en geldbeleggingen andere dan vastrentende beleggingen - Aanschaffingswaarde","Anteile und Geldanlagen, andere als festverzinsliche Anlagen - Anschaffungswert"
"be_group_511","511","","Shares and Current Investments Other Than Fixed Income Investments - Uncalled Amounts (-)","Actions, parts et placements autres que placements à revenu fixe - Montants non appelés (-)","Aandelen en geldbeleggingen andere dan vastrentende beleggingen - Niet-opgevraagde bedragen (-)","Anteile und Geldanlagen, andere als festverzinsliche Anlagen - Nicht eingeforderte Beträge (-)"
"be_group_519","519","","Shares and Current Investments Other Than Fixed Income Investments - Amounts Written Down Recorded (-)","Actions, parts et placements autres que placements à revenu fixe - Réductions de valeur actées (-)","Aandelen en geldbeleggingen andere dan vastrentende beleggingen - Geboekte waardeverminderingen (-)","Anteile und Geldanlagen, andere als festverzinsliche Anlagen - Gebuchte Wertminderungen (-)"
"be_group_637","637","","Provisions for Environmental Obligations","Provisions pour obligations environnementales","Voorzieningen voor milieuverplichtingen","Rückstellungen für Umweltschutzverpflichtungen"
"be_group_638","638","","Provisions for Other Risks and Charges","Provisions pour autres risques et charges","Voorzieningen voor andere risico's en kosten","Rückstellungen für sonstige Risiken und Aufwendungen"
