"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax","children_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","active","l10n_ph_atc","fiscal_position_ids","original_tax_ids"
"l10n_ph_tax_sale_12","12%","1","VAT","12%","sale","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","31A","","True","","l10n_ph_fiscal_position_vatable","l10n_ph_tax_sale_0_exempt,l10n_ph_tax_sale_0_zr"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206010","31B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","31A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206010","31B","True","","","",""
"l10n_ph_tax_sale_0_exempt","0% EXEMPT","3","VAT Exempt","VAT Exempt","sale","","percent","0","l10n_ph_tax_group_vat_exempt","False","","100","base","invoice","","33A","","True","","l10n_ph_fiscal_position_vat_exempt","l10n_ph_tax_sale_12,l10n_ph_tax_sale_0_zr"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206010","","True","","","",""
"","","","","","","","","","","","","100","base","refund","","33A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206010","","True","","","",""
"l10n_ph_tax_sale_0_zr","0% ZR","11","Zero Rated","0%","sale","","percent","0","l10n_ph_tax_group_zero_rated","False","","100","base","invoice","","32A","","True","","l10n_ph_fiscal_position_foreign,l10n_ph_fiscal_position_peza","l10n_ph_tax_sale_12,l10n_ph_tax_sale_0_exempt"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206010","","True","","","",""
"","","","","","","","","","","","","100","base","refund","","32A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206010","","True","","","",""
"l10n_ph_tax_purchase_12","12%","12","VAT Goods","12%","purchase","consu","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","44A","","True","","l10n_ph_fiscal_position_vatable","l10n_ph_tax_purchase_0_zr,l10n_ph_tax_purchase_0_exempt,l10n_ph_tax_purchase_0_exempt_i"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","44B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","44A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","44B","True","","","",""
"l10n_ph_tax_purchase_12_s","12% S","13","VAT Services","12%","purchase","service","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","44SA","","True","","l10n_ph_fiscal_position_vatable","l10n_ph_tax_purchase_0_zr,l10n_ph_tax_purchase_0_exempt,l10n_ph_tax_purchase_0_exempt_i"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","44SB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","44SA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","44SB","True","","","",""
"l10n_ph_tax_purchase_0_exempt","0% EXEMPT","14","VAT Exempt","VAT Exempt","purchase","","percent","0","l10n_ph_tax_group_vat_exempt","False","","100","base","invoice","","48E","","True","","l10n_ph_fiscal_position_vat_exempt","l10n_ph_tax_purchase_12,l10n_ph_tax_purchase_0_zr,l10n_ph_tax_purchase_0_exempt,l10n_ph_tax_purchase_0_exempt_i,l10n_ph_tax_purchase_12_s"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","","True","","","",""
"","","","","","","","","","","","","100","base","refund","","48E","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","","True","","","",""
"l10n_ph_tax_purchase_0_exempt_i","0% EXEMPT I","15","VAT Exempt Imports","VAT Exempt","purchase","","percent","0","l10n_ph_tax_group_vat_exempt","False","","100","base","invoice","","49A","","False","","",""
