"id","name","account_type","tag_ids","reconcile","non_trade"
"p10031","Inventories","asset_current","","False",""
"p10040","Debtors","asset_receivable","","True",""
"p10041","Debtors (PoS)","asset_receivable","","True",""
"p10051","SGST Receivable","asset_current","l10n_in.sgst_tag_account","False",""
"p10052","CGST Receivable","asset_current","l10n_in.cgst_tag_account","False",""
"p10053","IGST Receivable","asset_current","l10n_in.igst_tag_account","False",""
"p100531","IGST Paid on SEZ/Export Sales","asset_current","l10n_in.igst_tag_account","False",""
"p10054","IGST SEZ/Export Control Account (asset)","asset_current","","False",""
"p10057","Reverse Charge GST on Purchase","asset_current","","False",""
"p10058","TDS Receivable","asset_current","","False",""
"p10059","Tax Current Account - Receivable","asset_receivable","","True","True"
"p10061","Deposit Account","asset_current","","False",""
"p10071","Prepaid Insurance","asset_current","","False",""
"p1011","Buildings","asset_fixed","","False",""
"p1012","Land","asset_fixed","","False",""
"p1013","Equipment","asset_fixed","","False",""
"p1014","Vehicle","asset_fixed","","False",""
"p1015","Computer/Laptops (Assets)","asset_fixed","","False",""
"p1016","Furniture","asset_fixed","","False",""
"p1017","Air Conditionar","asset_fixed","","False",""
"p1018","Misc Assets","asset_fixed","","False",""
"p1111","Capital Account","equity","","False",""
"p1112","Reserve And Surplus Account","equity","","False",""
"p11211","Creditors","liability_payable","","True",""
"p11221","Bank OD Account","liability_current","","False",""
"p11222","Secured Loan Account","liability_current","","False",""
"p11223","Unsecured Loan Account","liability_current","","False",""
"p11231","TDS Payable","liability_current","","False",""
"p11232","SGST Payable","liability_current","l10n_in.sgst_tag_account","False",""
"p11233","CGST Payable","liability_current","l10n_in.cgst_tag_account","False",""
"p11234","IGST Payable","liability_current","l10n_in.igst_tag_account","False",""
"p112341","IGST SEZ/Export Control Account (liability)","liability_current","","False",""
"p112342","IGST Payable - Export","liability_current","l10n_in.igst_tag_account","False",""
"p11237","GST RCM Control Account","liability_current","","False",""
"p11239","Tax Current Account - Payable","liability_payable","","True","True"
"p11241","Wages Payable","liability_current","","False",""
"p11242","Interest Payable","liability_current","","False",""
"p11243","Notes Payable","liability_current","","False",""
"p20011","Local Sales","income","","False",""
"p20012","Retail Sales","income","","False",""
"p20013","Export Sales","income","","False",""
"p20021","Local Services","income","","False",""
"p20022","Export Services","income","","False",""
"p2010","Interest Revenues","income","","False",""
"p2011","Gain on Sale of Assets","income_other","","False",""
"2012","Write off Income","income","","False",""
"p2013","Foreign Exchange Profit","income_other","","False",""
"p2100","Electricity Expense","expense","","False",""
"p2101","Salary Expense","expense","","False",""
"p2102","Office Rent","expense","","False",""
"p2103","House Keeping Expense","expense","","False",""
"p2104","Postage And Courier Expense","expense","","False",""
"p2105","Internet Expense","expense","","False",""
"p2106","Telephone Expense","expense","","False",""
"p2107","Purchase Expense","expense","","False",""
"p2108","Computer/Laptop Accessories","expense","","False",""
"p2109","News Paper And Magazine","expense","","False",""
"p2110","Business Promotion","expense","","False",""
"p2111","Entertainment Expense","expense","","False",""
"p2112","Professional Services","expense","","False",""
"p2113","Bank Charges","expense","","False",""
"p2114","Diwali Bonus/Gift","expense","","False",""
"p2115","Parts Purchase","expense","","False",""
"p2116","Repairing Expense","expense","","False",""
"p2117","Foreign Exchange Loss","expense","","False",""
"p21181","Sales Commission Expense","expense","","False",""
"p21182","Stationary Expense","expense","","False",""
"p21183","Travelling Expense","expense","","False",""
"p2121","Opening Stock","expense","","False",""
"p2122","Purchase Stock","expense","","False",""
"p2123","Closing Stock","expense","l10n_in.account_tag_closing_stock","False",""
"p2131","Loss on Sale of Assets","expense","","False",""
"p2132","Write Off Expense","expense","","False",""
"p213201","Round off Expense","expense","","False",""
"p213202","Round off Income","income","","False",""
"p213300","Depreciation Account","expense","","False",""
"p11244","TDS Deducted","liability_current","","False",""
"p11245","TCS Collected","liability_current","","False",""
"p10055","CESS Receivable","asset_current","l10n_in.cess_tag_account","False",""
"p10056","Tax Receivable","asset_current","","False",""
"p11235","CESS Payable","liability_current","l10n_in.cess_tag_account","False",""
"p11236","Tax Payable","liability_current","","False",""
"p10084","Deferred Expenses","asset_current","","False",""
"p10085","Deferred Income","liability_current","","False",""
"p300001","House Rent Allowance Expense","expense","","False",""
"p300002","Standard Allowance Expense","expense","","False",""
"p300003","Bonus to Employee Expense","expense","","False",""
"p300004","Fixed Allowance Expense","expense","","False",""
"p300005","Performance Bonus","expense","","False",""
"p300006","Employee Reimbursement Expense","liability_payable","","True",""
"p300007","Provident fund - Employee Payable","liability_current","","False",""
"p300008","Provident fund - Employer Payable","liability_current","","False",""
"p300009","Advance to Employee","liability_current","","False",""
"p300010","Salary Exp Payable","liability_current","","True",""
"p300011","Leave Travel Allowance Expense","expense","","False",""
"p300012","Professional Tax Payable","liability_current","","False",""
"p300013","Gratuity Control","liability_current","","False",""
"p300014","ESIC - Employee Payable","liability_current","","False",""
"p300015","ESIC - Employer Payable","liability_current","","False",""
"p300016","LWF - Employee Payable","liability_current","","False",""
"p300017","LWF - Employer Payable","liability_current","","False",""
"p300018","Medical Insurance Payable","liability_current","","False",""
"p300019","TDS - Employee Payable","liability_current","","False",""
"p300020","Phone Subscription Expense","expense","","False",""
"p300021","Internet Subscription Expense","expense","","False",""
"p300022","Meal Vouchers Expense","expense","","False",""
"p300023","Company Transport Expense","expense","","False",""
"p100595","TDS (Withholding Control)","asset_current","","False",""
"p211210","Professional Fees","expense","","False",""
"p211220","Audit Fees","expense","","False",""
"p211230","Job Work Expense","expense","","False",""
"p211240","Advertisement Expense","expense","","False",""
"p211250","Commission/Brokerage Expense","expense","","False",""
