"id","code","l10n_pt_taxonomy_code","name","account_type","reconcile","name@pt"
"chart_11","11","1","Cash","asset_cash","False","Caixa"
"chart_12","12","2","Bank","asset_cash","False","Depósitos à ordem"
"chart_13","13","3","Other bank deposits","asset_cash","False","Outros depósitos bancários"
"chart_1411","1411","4","Potentially favorable","asset_current","False","Potencialmente favoráveis"
"chart_1412","1412","5","Potentially unfavorable","liability_current","False","Potencialmente desfavoráveis"
"chart_1421","1421","6","Financial assets","asset_current","False","Ativos financeiros"
"chart_1422","1422","7","Financial liabilities","asset_current","False","Passivos financeiros"
"chart_1431","1431","8","Other financial assets","asset_current","False","Outros ativos financeiros"
"chart_1432","1432","9","Other financial liabilities","asset_current","False","Outros passivos financeiros"
"chart_2111","2111","10","General customers","asset_receivable","True","Clientes gerais"
"chart_2112","2112","11","Customers - Mother company","asset_receivable","True","Clientes - empresa-mãe"
"chart_2113","2113","12","Customers - Subsidiary companies","asset_receivable","True","Clientes - empresas subsidiárias"
"chart_2114","2114","13","Customers - Associated companies","asset_receivable","True","Clientes - empresas associadas"
"chart_2115","2115","14","Customers - Joint enterprises","asset_receivable","True","Clientes - empreendimentos conjuntos"
"chart_2116","2116","15","Customers - Other related parties","asset_receivable","True","Clientes - outras partes relacionadas"
"chart_2117","2117","10","General customers (POS)","asset_receivable","True","Clientes gerais (PoS)"
"chart_2121","2121","16","General customers","asset_receivable","True","Clientes gerais"
"chart_2122","2122","17","Customers - Mother company","asset_receivable","True","Clientes - empresa-mãe"
"chart_2123","2123","18","Customers - Subsidiary companies","asset_receivable","True","Clientes - empresas subsidiárias"
"chart_2124","2124","19","Customers - Associated companies","asset_receivable","True","Clientes - empresas associadas"
"chart_2125","2125","20","Customers - Joint enterprises","asset_receivable","True","Clientes - empreendimentos conjuntos"
"chart_2126","2126","21","Customers - Other related parties","asset_receivable","True","Clientes - outras partes relacionadas"
"chart_213","213","22","Customers - Other Customers","asset_receivable","True","Clientes - Outros clientes"
"chart_218","218","23","Customer advances","asset_receivable","True","Adiantamentos de clientes"
"chart_21911","21911","24","General customers","asset_receivable","True","Clientes gerais"
"chart_21912","21912","25","Customers - Mother company","asset_receivable","True","Clientes - empresa-mãe"
"chart_21913","21913","26","Customers - Subsidiary companies","asset_receivable","True","Clientes - empresas subsidiárias"
"chart_21914","21914","27","Customers - Associated companies","asset_receivable","True","Clientes - empresas associadas"
"chart_21915","21915","28","Customers - Joint enterprises","asset_receivable","True","Clientes - empreendimentos conjuntos"
"chart_21916","21916","29","Customers - Other related parties","asset_receivable","True","Clientes - outras partes relacionadas"
"chart_21921","21921","30","General customers","asset_receivable","True","Clientes gerais"
"chart_21922","21922","31","Customers - Mother company","asset_receivable","True","Clientes - empresa-mãe"
"chart_21923","21923","32","Customers - Subsidiary companies","asset_receivable","True","Clientes - empresas subsidiárias"
"chart_21924","21924","33","Customers - Associated companies","asset_receivable","True","Clientes - empresas associadas"
"chart_21925","21925","34","Customers - Joint enterprises","asset_receivable","True","Clientes - empreendimentos conjuntos"
"chart_21926","21926","35","Customers - Other related parties","asset_receivable","True","Clientes - outras partes relacionadas"
"chart_2193","2193","36","Other customers","asset_receivable","True","Outros Clientes"
"chart_2211","2211","37","General suppliers","liability_payable","True","Fornecedores gerais"
"chart_2212","2212","38","Suppliers - Mother company","liability_payable","True","Fornecedores - empresa-mãe"
"chart_2213","2213","39","Suppliers - Subsidiary companies","liability_payable","True","Fornecedores - empresas subsidiárias"
"chart_2214","2214","40","Suppliers - Associated companies","liability_payable","True","Fornecedores - empresas associadas"
"chart_2215","2215","41","Suppliers - Joint enterprises","liability_payable","True","Fornecedores - empreendimentos conjuntos"
"chart_2216","2216","42","Suppliers - Other related parties","liability_payable","True","Fornecedores - outras partes relacionadas"
"chart_2221","2221","43","General suppliers","liability_payable","True","Fornecedores gerais"
"chart_2222","2222","44","Suppliers - Mother company","liability_payable","True","Fornecedores - empresa-mãe"
"chart_2223","2223","45","Suppliers - Subsidiary companies","liability_payable","True","Fornecedores - empresas subsidiárias"
"chart_2224","2224","46","Suppliers - Associated companies","liability_payable","True","Fornecedores - empresas associadas"
"chart_2225","2225","47","Suppliers - Joint enterprises","liability_payable","True","Fornecedores - empreendimentos conjuntos"
"chart_2226","2226","48","Suppliers - Other related parties","liability_payable","True","Fornecedores - outras partes relacionadas"
"chart_223","223","49","Other suppliers","liability_payable","True","Outros fornecedores"
