"id","sequence","name","auto_apply","vat_required","country_id","state_ids","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@pt"
"fiscal_position_pt_madeira_b2c","1","Portugal (Madeira) - B2C","1","","base.pt","base.state_pt_pt-30","","iva_pt_sale_normal","iva_pt_ma_sale_normal","Portugal (Madeira) - Consumidor"
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ma_purchase_normal",""
"fiscal_position_pt_acores_b2c","2","Portugal (Açores) - B2C","1","","base.pt","base.state_pt_pt-20","","iva_pt_sale_normal","iva_pt_ac_sale_normal","Portugal (Açores) - Consumidor"
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ac_purchase_normal",""
"fiscal_position_pt_madeira_b2b","3","Portugal (Madeira) - B2B","1","1","base.pt","base.state_pt_pt-30","","iva_pt_sale_normal","iva_pt_ma_sale_normal","Portugal (Madeira) - Empresa"
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ma_purchase_normal",""
"fiscal_position_pt_acores_b2b","4","Portugal (Açores) - B2B","1","1","base.pt","base.state_pt_pt-20","","iva_pt_sale_normal","iva_pt_ac_sale_normal","Portugal (Açores) - Empresa"
"","","","","","","","","iva_pt_purchase_normal","iva_pt_ac_purchase_normal",""
"fiscal_position_national_customers","5","Portugal","1","1","base.pt","","","","","Portugal"
"fiscal_position_foreign_eu_private","6","Private EU","1","","","","base.europe","","","Intra-comunitário privado (UE)"
"fiscal_position_foreign_eu","7","Inside EU","1","1","","","base.europe","iva_pt_sale_normal","iva_pt_sale_eu_isenta","Intra-comunitário (UE)"
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_sale_isenta","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_normal","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_intermedia","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_reduzida","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_normal","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_intermedia","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_reduzida","iva_pt_sale_eu_isenta",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_purchase_eu_normal_bens",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_purchase_eu_intermedia_bens",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_purchase_eu_reduzida_bens",""
"","","","","","","","","iva_pt_purchase_isenta","iva_pt_purchase_eu_isenta",""
"","","","","","","","","iva_pt_ma_purchase_normal","iva_pt_ma_purchase_eu_normal_bens",""
"","","","","","","","","iva_pt_ma_purchase_intermedia","iva_pt_ma_purchase_eu_intermedia_bens",""
"","","","","","","","","iva_pt_ma_purchase_reduzida","iva_pt_ma_purchase_eu_reduzida_bens",""
"","","","","","","","","iva_pt_ac_purchase_normal","iva_pt_ac_purchase_eu_normal_bens",""
"","","","","","","","","iva_pt_ac_purchase_intermedia","iva_pt_ac_purchase_eu_intermedia_bens",""
"","","","","","","","","iva_pt_ac_purchase_reduzida","iva_pt_ac_purchase_eu_reduzida_bens",""
"fiscal_position_foreign_other","8","Outside EU","1","","","","","iva_pt_sale_normal","iva_pt_sale_non_eu_isenta","Extra-comunitário (Não UE)"
"","","","","","","","","iva_pt_sale_intermedia","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_sale_reduzida","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_sale_isenta","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_normal","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_intermedia","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_sale_reduzida","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_normal","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_intermedia","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_sale_reduzida","iva_pt_sale_non_eu_isenta",""
"","","","","","","","","iva_pt_purchase_normal","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_purchase_intermedia","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_purchase_reduzida","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_purchase_isenta","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_purchase_normal","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_purchase_intermedia","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ma_purchase_reduzida","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_purchase_normal","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_purchase_intermedia","iva_pt_purchase_non_eu_isenta",""
"","","","","","","","","iva_pt_ac_purchase_reduzida","iva_pt_purchase_non_eu_isenta",""
