"id","name","code_prefix_start","code_prefix_end","chart_template_id/id","parent_id/id"
"account_group_all","CLASELE 1-7","","","ro_chart_template",""
"account_group_cls_15","CLASELE 1-5","","","ro_chart_template","account_group_all"
"account_group_cls_67","CLASELE 6-7","","","ro_chart_template","account_group_all"
"account_group_1","CONTURI DE CAPITALURI, PROVIZIOANE, ÎMPRUMUTURI ȘI DATORII ASIMILATE","1","","ro_chart_template","account_group_cls_15"
"account_group_10","Capital și rezerve","10","","ro_chart_template","account_group_1"
"account_group_101","Capital","101","","ro_chart_template","account_group_10"
"account_group_103","Alte elemente de capitaluri proprii","103","","ro_chart_template","account_group_10"
"account_group_104","Prime de capital","104","","ro_chart_template","account_group_10"
"account_group_106","Rezerve","106","","ro_chart_template","account_group_10"
"account_group_108","Interese care nu controlează","108","","ro_chart_template","account_group_10"
"account_group_109","Acțiuni proprii","109","","ro_chart_template","account_group_10"
"account_group_11","Rezultatul reportat","11","","ro_chart_template","account_group_1"
"account_group_117","Acțiuni proprii","117","","ro_chart_template","account_group_11"
"account_group_12","Rezultatul exercițiului financiar","12","","ro_chart_template","account_group_1"
"account_group_14","Câștiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii","14","","ro_chart_template","account_group_1"
"account_group_141","Câștiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii","141","","ro_chart_template","account_group_14"
"account_group_149","Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii","149","","ro_chart_template","account_group_14"
"account_group_15","Provizioane","15","","ro_chart_template","account_group_1"
"account_group_151","Provizioane","151","","ro_chart_template","account_group_15"
"account_group_16","Împrumuturi și datorii asimilate","16","","ro_chart_template","account_group_1"
"account_group_161","Împrumuturi din emisiuni de obligațiuni","161","","ro_chart_template","account_group_16"
"account_group_162","Credite bancare pe termen lung","162","","ro_chart_template","account_group_16"
"account_group_166","Datorii care privesc imobilizările financiare","166","","ro_chart_template","account_group_16"
"account_group_168","Dobânzi aferente împrumuturilor și datoriilor asimilate","168","","ro_chart_template","account_group_16"
"account_group_169","Prime privind rambursarea obligațiunilor și a altor datorii","169","","ro_chart_template","account_group_16"
"account_group_2","CONTURI DE IMOBILIZĂRI","2","","ro_chart_template","account_group_cls_15"
"account_group_20","Imobilizări necorporale","20","","ro_chart_template","account_group_2"
"account_group_207","Fond comercial","207","","ro_chart_template","account_group_20"
"account_group_21","Imobilizări corporale","21","","ro_chart_template","account_group_2"
"account_group_211","Terenuri și amenajări de terenuri","211","","ro_chart_template","account_group_21"
"account_group_213","Instalații tehnice și mijloace de transport","213","","ro_chart_template","account_group_21"
"account_group_22","Imobilizări corporale în curs de aprovizionare","22","","ro_chart_template","account_group_2"
"account_group_23","Imobilizări în curs","23","","ro_chart_template","account_group_2"
"account_group_26","Imobilizări financiare","26","","ro_chart_template","account_group_2"
"account_group_267","Creanțe imobilizate","267","","ro_chart_template","account_group_26"
"account_group_269","Vărsăminte de efectuat pentru imobilizări financiare","269","","ro_chart_template","account_group_26"
"account_group_28","Amortizări privind imobilizările","28","","ro_chart_template","account_group_2"
"account_group_280","Amortizări privind imobilizările necorporale","280","","ro_chart_template","account_group_28"
"account_group_281","Amortizări privind imobilizările corporale","281","","ro_chart_template","account_group_28"
"account_group_29","Ajustări pentru deprecierea sau pierderea de valoare a imobilizărilor","29","","ro_chart_template","account_group_2"
"account_group_290","Ajustări pentru deprecierea imobilizărilor necorporale","290","","ro_chart_template","account_group_29"
"account_group_291","Ajustări pentru deprecierea imobilizărilor corporale","291","","ro_chart_template","account_group_29"
"account_group_293","Ajustări pentru deprecierea imobilizărilor în curs de execuție","293","","ro_chart_template","account_group_29"
"account_group_296","Ajustări pentru pierderea de valoare a imobilizărilor financiare","296","","ro_chart_template","account_group_29"
"account_group_3","CONTURI DE STOCURI șI PRODUCțIE ÎN CURS DE EXECUțIE","3","","ro_chart_template","account_group_cls_15"
"account_group_30","Stocuri de materii prime și materiale","30","","ro_chart_template","account_group_3"
"account_group_302","Materiale consumabile","302","","ro_chart_template","account_group_30"
"account_group_32","Stocuri în curs de aprovizionare","32","","ro_chart_template","account_group_3"
"account_group_33","Producție în curs de execuție","33","","ro_chart_template","account_group_3"
"account_group_34","Produse","34","","ro_chart_template","account_group_3"
"account_group_35","Stocuri aflate la terți","35","","ro_chart_template","account_group_3"
"account_group_36","Active biologice de natura stocurilor","36","","ro_chart_template","account_group_3"
"account_group_37","Mărfuri","37","","ro_chart_template","account_group_3"
"account_group_38","Ambalaje","38","","ro_chart_template","account_group_3"
"account_group_39","Ajustări pentru deprecierea stocurilor și producției în curs de execuție","39","","ro_chart_template","account_group_3"
"account_group_392","Ajustări pentru deprecierea materialelor","392","","ro_chart_template","account_group_39"
"account_group_393","Ajustări pentru deprecierea producției în curs de execuție","393","","ro_chart_template","account_group_39"
"account_group_394","Ajustări pentru deprecierea produselor","394","","ro_chart_template","account_group_39"
"account_group_395","Ajustări pentru deprecierea stocurilor aflate la terți","395","","ro_chart_template","account_group_39"
"account_group_4","CONTURI DE TERȚI","4","","ro_chart_template","account_group_cls_15"
"account_group_40","Furnizori și conturi asimilate","40","","ro_chart_template","account_group_4"
"account_group_409","Furnizori - debitori","409","","ro_chart_template","account_group_40"
"account_group_41","Clienți și conturi asimilate","41","","ro_chart_template","account_group_4"
"account_group_411","Clienți","411","","ro_chart_template","account_group_41"
"account_group_42","Personal și conturi asimilate","42","","ro_chart_template","account_group_4"
"account_group_428","Alte datorii și creanțe în legătură cu personalul","428","","ro_chart_template","account_group_42"
"account_group_43","Asigurări sociale, protecția socială și conturi asimilate","43","","ro_chart_template","account_group_4"
"account_group_431","Asigurări sociale","431","","ro_chart_template","account_group_43"
"account_group_437","Ajutor de șomaj","437","","ro_chart_template","account_group_43"
"account_group_438","Alte datorii și creanțe sociale","438","","ro_chart_template","account_group_43"
"account_group_44","Bugetul statului, fonduri speciale și conturi asimilate","44","","ro_chart_template","account_group_4"
"account_group_441","Impozitul pe profit/venit","441","","ro_chart_template","account_group_44"
"account_group_442","Taxa pe valoarea adăugată","442","","ro_chart_template","account_group_44"
"account_group_4428","TVA neexigibilă","4428","","ro_chart_template","account_group_442"
"account_group_445","Subvenții","445","","ro_chart_template","account_group_44"
"account_group_448","Alte datorii și creanțe cu bugetul statului","448","","ro_chart_template","account_group_44"
"account_group_45","Grup și acționari/asociați","45","","ro_chart_template","account_group_4"
"account_group_451","Decontări între entitățile afiliate","451","","ro_chart_template","account_group_45"
"account_group_453","Decontări cu entitățile asociate și entitățile controlate în comun","453","","ro_chart_template","account_group_45"
"account_group_455","Sume datorate acționarilor/asociaților","455","","ro_chart_template","account_group_45"
"account_group_458","Decontări din operațiuni în participație","458","","ro_chart_template","account_group_45"
"account_group_46","Debitori și creditori diverși","46","","ro_chart_template","account_group_4"
"account_group_466","Decontări din operațiuni de fiducie","466","","ro_chart_template","account_group_46"
"account_group_47","Conturi de subvenții, regularizare și asimilate","47","","ro_chart_template","account_group_4"
"account_group_475","Subvenții pentru investiții","475","","ro_chart_template","account_group_47"
"account_group_48","Decontări în cadrul unității","48","","ro_chart_template","account_group_4"
"account_group_49","Ajustări pentru deprecierea creanțelor","49","","ro_chart_template","account_group_4"
"account_group_5","CONTURI DE TREZORERIE","5","","ro_chart_template","account_group_cls_15"
"account_group_50","Investiții pe termen scurt","50","","ro_chart_template","account_group_5"
"account_group_508","Alte investiții pe termen scurt și creanțe asimilate","508","","ro_chart_template","account_group_50"
