"id","description","invoice_label","type_tax_use","name","amount_type","amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"ST1","Standard Rate","15%","sale","15%","percent","15.0","tax_group_1","base","invoice","+[1] Standard Rate (Excluding Capital goods and/or services and accomodation)",""
"","","","","","","","","tax","invoice","+[1] Standard Rate (Excluding Capital goods and/or services and accomodation)||+[4] x 15/ (100 + 15)","200060"
"","","","","","","","","base","refund","-[1] Standard Rate (Excluding Capital goods and/or services and accomodation)",""
"","","","","","","","","tax","refund","-[1] Standard Rate (Excluding Capital goods and/or services and accomodation)||-[4] x 15/ (100 + 15)","200060"
"ST1A","Standard Rate (Capital Goods)","15%","sale","15% G","percent","15.0","tax_group_1","base","invoice","+[1A] Standard Rate (Only Capital goods and/or services)",""
"","","","","","","","","tax","invoice","+[1A] Standard Rate (Only Capital goods and/or services)||+[4A] x 15/ (100 + 15)","200060"
"","","","","","","","","base","refund","-[1A] Standard Rate (Only Capital goods and/or services)",""
"","","","","","","","","tax","refund","-[1A] Standard Rate (Only Capital goods and/or services)||-[4A] x 15/ (100 + 15)","200060"
"ST2","Zero Rate","0%","sale","0%","percent","0.0","tax_group_0","base","invoice","+[2] Zero Rate (excluding goods exported)",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[2] Zero Rate (excluding goods exported)",""
"","","","","","","","","tax","refund","",""
"ST2A","Zero Rate Exports","0%","sale","0% EX","percent","0.0","tax_group_0","base","invoice","+[2A] Zero Rate (Only goods exported)",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[2A] Zero Rate (Only goods exported)",""
"","","","","","","","","tax","refund","",""
"ST3","Exempt and Non-Supplies","0%","sale","0% EXEMPT","percent","0.0","tax_group_0","base","invoice","+[3] Exempt and Non supplies",""
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","-[3] Exempt and Non supplies",""
"","","","","","","","","tax","refund","",""
"ST5","Accommodation (28+ days)","15%","sale","15% A 28+","percent","15.0","tax_group_1","base","invoice","+[5] Accomodation exceeding 28 days",""
"","","","","","","","","tax","invoice","+VAT on Accomodation exceeding 28 days","200060"
"","","","","","","","","base","refund","-[5] Accomodation exceeding 28 days",""
"","","","","","","","","tax","refund","-VAT on Accomodation exceeding 28 days","200060"
"ST7","Accommodation (Under 28 days)","15%","sale","15% A 28-","percent","15.0","tax_group_1","base","invoice","+[7] Accomodation under 28 days",""
"","","","","","","","","tax","invoice","+VAT on Accomodation under 28 days","200060"
"","","","","","","","","base","refund","-[7] Accomodation under 28 days",""
"","","","","","","","","tax","refund","-VAT on Accomodation under 28 days","200060"
"ST10","Export of Second-hand Goods/ Change in Use","15%","sale","15% EX","percent","15.0","tax_group_1","base","invoice","+[10] Change in use and export of second-hand goods",""
"","","","","","","","","tax","invoice","+[11] x 15 / (100 + 15)","200060"
"","","","","","","","","base","refund","-[10] Change in use and export of second-hand goods",""
"","","","","","","","","tax","refund","-[11] x 15 / (100 + 15)","200060"
"ST12","VAT Adjustments and Manual VAT","15%","sale","15% Adj","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[12] Other and imported services","200060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[12] Other and imported services","200060"
"PT15","Standard Rate","15%","purchase","15%","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[15] Other goods and/or services supplied to you (not Capital Goods)","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[15] Other goods and/or services supplied to you (not Capital Goods)","100060"
"PT14","Standard Rate (Capital Goods)","15%","purchase","15% G","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[14] Capital Goods and/or services supplied to you","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[14] Capital Goods and/or services supplied to you","100060"
"PT14A","Capital Goods Imported","15%","purchase","15% EX G","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[14A] Capital Goods imported by you","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[14A] Capital Goods imported by you","100060"
"PT15A","Goods and Services Imported","15%","purchase","15% EX","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[15A] Other goods imported by you (not Capital Goods)","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[15A] Other goods imported by you (not Capital Goods)","100060"
"PT16","Change in Use","15%","purchase","15% C","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[16] Change in Use","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[16] Change in Use","100060"
"PT17","Bad Debts","15%","purchase","15% B D","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[17] Bad Debts","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[17] Bad Debts","100060"
"PT18","Other Adjustments","15%","purchase","15% O A","percent","15.0","tax_group_1","base","invoice","",""
"","","","","","","","","tax","invoice","+[18] Other","100060"
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","-[18] Other","100060"
