"id","code","name","account_type","reconcile"
"100020","100020","Stock Valuation","asset_current","True"
"100030","100030","Stock Work In Progress","asset_current","False"
"100040","100040","Stock Finished Goods","asset_current","False"
"100050","100050","Stock Delivered Control","asset_current","True"
"100060","100060","Purchase Tax Control","asset_current","False"
"100070","100070","Other Current Assets","asset_current","False"
"100800","100800","Cash Control Account","asset_current","True"
"110010","110010","Debtors Control","asset_receivable","True"
"110020","110020","Sundry Debtors","asset_receivable","True"
"110030","110030","Debtors Control Account (PoS)","asset_receivable","True"
"124010","124010","Credit Card Merchant","asset_cash","False"
"126010","126010","Cash In Hand","asset_cash","False"
"130010","130010","Prepayments","asset_prepayments","False"
"140010","140010","Software","asset_fixed","False"
"140020","140020","Patents & Trademarks","asset_fixed","False"
"140030","140030","Fixtures & Fittings","asset_fixed","False"
"140040","140040","Land & Buildings","asset_fixed","False"
"140050","140050","Motor Vehicles","asset_fixed","False"
"140060","140060","Office Equipment (incl computer equipment)","asset_fixed","False"
"140070","140070","Plant & Machinery","asset_fixed","False"
"150010","150010","Non-current assets","asset_non_current","False"
"200010","200010","Stock Received Control","liability_current","True"
"200020","200020","Sundry Creditors","liability_current","False"
"200030","200030","Other Creditors","liability_current","False"
"200040","200040","Accruals","liability_current","False"
"200050","200050","Bad debt provision","liability_current","False"
"200060","200060","Sales Tax Control","liability_current","False"
"200070","200070","Manual Adjustments & VAT","liability_current","False"
"200080","200080","Loans","liability_current","False"
"200090","200090","Hire Purchase","liability_current","False"
"200100","200100","Mortgages","liability_current","False"
"210010","210010","Company Credit Card","liability_credit_card","False"
"220010","220010","Creditors Control","liability_payable","True"
"220020","220020","SARS - VAT","liability_payable","True"
"220030","220030","P.A.Y.E. & UIF","liability_payable","True"
"220040","220040","Net Wages","liability_payable","True"
"220050","220050","Pension Fund","liability_payable","True"
"220060","220060","Corporation Tax","liability_payable","True"
"300010","300010","Called up share capital","equity","False"
"300020","300020","Share premium","equity","False"
"300030","300030","Revaluation reserve","equity","False"
"300040","300040","Other reserves","equity","False"
"300050","300050","Capital","equity","False"
"300060","300060","Dividends","equity","False"
"300070","300070","Drawings","equity","False"
"300080","300080","Directors Loans","equity","False"
"400010","400010","Undistributed Profits/Losses","equity_unaffected","False"
"500010","500010","Sales category 1","income","False"
"500020","500020","Sales category 2","income","False"
"500030","500030","Sales category 3","income","False"
"500040","500040","Sales category 4","income","False"
"500050","500050","Bank Interest received","income","False"
"500060","500060","Investment Interest received","income","False"
"500070","500070","Profits/Losses on disposals of assets","income","False"
"500080","500080","Rental Income","income","False"
"500090","500090","Discount Received","income","False"
"500100","500100","Foreign Exchange Gains","income","False"
"500110","500110","Cash Difference Gains","income","False"
"510010","510010","Other Income","income_other","False"
"600010","600010","Cost of sales 1","expense_direct_cost","False"
"600020","600020","Cost of sales 2","expense_direct_cost","False"
"600030","600030","Cost of sales 3","expense_direct_cost","False"
"600040","600040","Cost of sales 4","expense_direct_cost","False"
"610010","610010","Marketing","expense","False"
"610020","610020","Exhibitions and events","expense","False"
"610030","610030","Public Relations","expense","False"
"610040","610040","Distribution vehicles","expense","False"
"610050","610050","Distribution salaries and wages","expense","False"
"610060","610060","Shipping","expense","False"
"610070","610070","Directors pension","expense","False"
"610080","610080","Directors remuneration","expense","False"
"610090","610090","Gross Salaries","expense","False"
"610100","610100","Employers SDL & UIF","expense","False"
"610110","610110","Subcontractors payments","expense","False"
"610120","610120","Rent and rates","expense","False"
"610130","610130","Water, electricity and other utilities","expense","False"
"610140","610140","Repairs and maintenance","expense","False"
"610150","610150","Car hire","expense","False"
"610160","610160","Car fuel","expense","False"
"610170","610170","Car maintenance","expense","False"
"610180","610180","Telephone","expense","False"
"610190","610190","Internet & hosting","expense","False"
"610200","610200","Mobiles","expense","False"
"610210","610210","Stationery","expense","False"
"610220","610220","Office consumables","expense","False"
"610230","610230","Postage and Carriage","expense","False"
"610240","610240","Books","expense","False"
"610250","610250","Network costs","expense","False"
"610260","610260","Software expenses","expense","False"
"610270","610270","Other computer costs","expense","False"
"610280","610280","Recruitment fees","expense","False"
"610290","610290","Other admin expenses","expense","False"
"610300","610300","Accounting","expense","False"
"610310","610310","Auditing","expense","False"
"610320","610320","Consultancy","expense","False"
"610330","610330","Legal and professional charges","expense","False"
"610340","610340","Foreign Exchange Losses","expense","False"
"610350","610350","Other sundry expenses","expense","False"
"610360","610360","Bad debts","expense","False"
"610370","610370","Interest paid","expense","False"
"610380","610380","Bank Charges","expense","False"
"610390","610390","Donations","expense","False"
"610400","610400","Entertaining","expense","False"
"610410","610410","Insurance","expense","False"
"610420","610420","Travel and subsistence","expense","False"
"610430","610430","Corporation tax expense","expense","False"
"610450","610450","Price Differences Control","expense","False"
"610460","610460","Cash Difference Loss","expense","False"
"610470","610470","Discount Given","expense","False"
"620010","620010","Software Depreciation","expense_depreciation","False"
"620020","620020","Patents & Trademarks Depreciation","expense_depreciation","False"
"620030","620030","Fixtures and fittings Depreciation","expense_depreciation","False"
"620040","620040","Land and buildings Depreciation","expense_depreciation","False"
"620050","620050","Motor vehicles Depreciation","expense_depreciation","False"
"620060","620060","Office equipment (inc computer equipment) Depreciation","expense_depreciation","False"
"620070","620070","Plant and machinery Depreciation","expense_depreciation","False"
"620080","620080","Depreciation","expense_depreciation","False"
