id,country_id:id,rate
eu_rate_at,base.at,0.21
eu_rate_be,base.be,0.21
eu_rate_bg,base.bg,0.20
eu_rate_hr,base.hr,0.25
eu_rate_cy,base.cy,0.21
eu_rate_cz,base.cz,0.21
eu_rate_dk,base.dk,0.25
eu_rate_ee,base.ee,0.20
eu_rate_fi,base.fi,0.24
eu_rate_fr,base.fr,0.20
eu_rate_de,base.de,0.19
eu_rate_gr,base.gr,0.23
eu_rate_hu,base.hu,0.27
eu_rate_ie,base.ie,0.23
eu_rate_it,base.it,0.22
eu_rate_lv,base.lv,0.21
eu_rate_lt,base.lt,0.21
eu_rate_lu,base.lu,0.17
eu_rate_mt,base.mt,0.18
eu_rate_nl,base.nl,0.21
eu_rate_pl,base.pl,0.23
eu_rate_pt,base.pt,0.23
eu_rate_ro,base.ro,0.24
eu_rate_pt,base.pt,0.23
eu_rate_sk,base.sk,0.20
eu_rate_si,base.si,0.22
eu_rate_es,base.es,0.21
eu_rate_se,base.se,0.24
eu_rate_uk,base.uk,0.20
