"id","country_id:id","code","name"
"state_uk_1","base.uk","A1","Aberdeenshire"
"state_uk_2","base.uk","A5","Angus"
"state_uk_3","base.uk","A7","Argyll"
"state_uk_4","base.uk","A9","Avon"
"state_uk_5","base.uk","B1","Ayrshire"
"state_uk_6","base.uk","B3","Banffshire"
"state_uk_7","base.uk","B5","Bedfordshire"
"state_uk_8","base.uk","B7","Berkshire"
"state_uk_9","base.uk","B9","Berwickshire"
"state_uk_10","base.uk","C1","Buckinghamshire"
"state_uk_11","base.uk","C3","Caithness"
"state_uk_12","base.uk","C5","Cambridgeshire"
"state_uk_13","base.uk","C6","Channel Islands"
"state_uk_14","base.uk","C7","Cheshire"
"state_uk_15","base.uk","C9","Clackmannanshire"
"state_uk_16","base.uk","D1","Cleveland"
"state_uk_17","base.uk","D3","Clwyd"
"state_uk_18","base.uk","D5","County Antrim"
"state_uk_19","base.uk","D7","County Armagh"
"state_uk_20","base.uk","D9","County Down"
"state_uk_21","base.uk","E1","County Durham"
"state_uk_22","base.uk","E3","County Fermanagh"
"state_uk_23","base.uk","E5","County Londonderry"
"state_uk_24","base.uk","E7","County Tyrone"
"state_uk_25","base.uk","E9","Cornwall"
"state_uk_26","base.uk","F1","Cumbria"
"state_uk_27","base.uk","F3","Derbyshire"
"state_uk_28","base.uk","F5","Devon"
"state_uk_29","base.uk","F7","Dorset"
"state_uk_30","base.uk","F9","Dumfriesshire"
"state_uk_31","base.uk","G1","Dunbartonshire"
"state_uk_32","base.uk","G3","Dyfed"
"state_uk_33","base.uk","G5","East Lothian"
"state_uk_34","base.uk","G7","East Sussex"
"state_uk_35","base.uk","G9","Essex"
"state_uk_36","base.uk","H1","Fife"
"state_uk_37","base.uk","H3","Gloucestershire"
"state_uk_38","base.uk","H7","Gwent"
"state_uk_39","base.uk","H9","Gwynedd"
"state_uk_40","base.uk","I1","Hampshire"
"state_uk_41","base.uk","I3","Herefordshire"
"state_uk_42","base.uk","I5","Hertfordshire"
"state_uk_43","base.uk","I7","Inverness-Shire"
"state_uk_44","base.uk","I9","Isle of Arran"
"state_uk_45","base.uk","J1","Isle of Barra"
"state_uk_46","base.uk","J3","Isle of Benbecula"
"state_uk_47","base.uk","J5","Isle of Bute"
"state_uk_48","base.uk","J7","Isle of Canna"
"state_uk_49","base.uk","J9","Isle of Coll"
"state_uk_50","base.uk","K1","Isle of Colonsay"
"state_uk_51","base.uk","K3","Isle of Cumbrae"
"state_uk_52","base.uk","K5","Isle of Eigg"
"state_uk_53","base.uk","K7","Isle of Gigha"
"state_uk_54","base.uk","K9","Isle of Harris"
"state_uk_55","base.uk","L1","Isle of Iona"
"state_uk_56","base.uk","L2","Isle of Islay"
"state_uk_57","base.uk","L5","Isle of Jura"
"state_uk_58","base.uk","L7","Isle of Lewis"
"state_uk_59","base.uk","L9","Isle of Man"
"state_uk_60","base.uk","M1","Isle of Mull"
"state_uk_61","base.uk","M3","Isle of North Uist"
"state_uk_62","base.uk","M7","Isle of Rhum"
"state_uk_63","base.uk","M9","Isle of Scalpay"
"state_uk_64","base.uk","N1","Shetland Islands"
"state_uk_65","base.uk","N3","Isle of Skye"
"state_uk_66","base.uk","N5","Isle of South Uist"
"state_uk_67","base.uk","N7","Isle of Tiree"
"state_uk_68","base.uk","N9","Isle of Wight"
"state_uk_69","base.uk","O5","Kent"
"state_uk_70","base.uk","O7","Kincardineshire"
"state_uk_71","base.uk","O9","Kinross-Shire"
"state_uk_72","base.uk","P1","Kirkcudbrightshire"
"state_uk_73","base.uk","P5","Lancashire"
"state_uk_74","base.uk","P7","Leicestershire"
"state_uk_75","base.uk","P9","Lincolnshire"
"state_uk_76","base.uk","Q3","Merseyside"
"state_uk_77","base.uk","Q5","Mid Glamorgan"
"state_uk_78","base.uk","Q9","Middlesex"
"state_uk_79","base.uk","R1","Morayshire"
"state_uk_80","base.uk","R3","Nairnshire"
"state_uk_81","base.uk","R7","North Humberside"
"state_uk_82","base.uk","R9","North Yorkshire"
"state_uk_83","base.uk","S1","Northamptonshire"
"state_uk_84","base.uk","S3","Northumberland"
"state_uk_85","base.uk","S5","Nottinghamshire"
"state_uk_86","base.uk","S7","Oxfordshire"
"state_uk_87","base.uk","S9","Peeblesshire"
"state_uk_88","base.uk","T1","Perthshire"
"state_uk_89","base.uk","T3","Powys"
"state_uk_90","base.uk","T5","Renfrewshire"
"state_uk_91","base.uk","T7","Ross-Shire"
"state_uk_92","base.uk","T9","Roxburghshire"
"state_uk_93","base.uk","U3","Selkirkshire"
"state_uk_94","base.uk","U5","Shropshire"
"state_uk_95","base.uk","U7","Somerset"
"state_uk_96","base.uk","U9","South Glamorgan"
"state_uk_97","base.uk","V1","South Humberside"
"state_uk_98","base.uk","V3","South Yorkshire"
"state_uk_99","base.uk","V5","Staffordshire"
"state_uk_100","base.uk","V7","Stirlingshire"
"state_uk_101","base.uk","V9","Suffolk"
"state_uk_102","base.uk","W1","Surrey"
"state_uk_103","base.uk","W3","Sutherland"
"state_uk_104","base.uk","W5","Tyne and Wear"
"state_uk_105","base.uk","W7","Warwickshire"
"state_uk_106","base.uk","W9","West Glamorgan"
"state_uk_107","base.uk","X1","West Lothian"
"state_uk_108","base.uk","X3","West Midlands"
"state_uk_109","base.uk","X5","West Sussex"
"state_uk_110","base.uk","X7","West Yorkshire"
"state_uk_111","base.uk","X9","Wigtownshire"
"state_uk_112","base.uk","Y1","Wiltshire"
"state_uk_113","base.uk","Y3","Worcestershire"
"state_uk_114","base.uk","M5","Orkney"
"state_uk_115","base.uk","O1","Isles of Scilly"
"state_uk_116","base.uk","P3","Lanarkshire"
