"id","name","code","report_type","close_method"
"account_type_current_assets","Current Assets","Current Assets","asset","Balance"
"account_type_current_liabilities","Current Liabilities","Current Liabilities","liability","Balance"
"account_type_equity","Equity","Equity","liability","Balance"
"account_type_expense","Expense","Expense","expense","None"
"account_type_fixed_assets","Fixed Assets","Fixed Assets","asset","Balance"
"account_type_income","Income","Income","income","None"
"account_type_payable","Payable","Payable","liability","Unreconciled"
"account_type_receivable","Receivable","Receivable","asset","Unreconciled"
"account_type_output_tax","Output Tax","Output Tax","liability","Unreconciled"
"account_type_input_tax","Input Tax","Input Tax","asset","Unreconciled"
"account_type_profit_and_loss","Profit and Loss","Profit and Loss","none","None"
"account_type_view","View","view","none","None"
