"id","code","name"
"l10n_it_document_type_01","TD01","Invoice"
"l10n_it_document_type_02","TD02","Deposit/advance on invoice"
"l10n_it_document_type_03","TD03","Deposit/advance on vendor bill"
"l10n_it_document_type_04","TD04","Credit note"
"l10n_it_document_type_05","TD05","Debit note"
"l10n_it_document_type_06","TD06","Vendor bill"
"l10n_it_document_type_07","TD07","Simplified invoice"
"l10n_it_document_type_08","TD08","Simplified credit note"
"l10n_it_document_type_09","TD09","Simplified debit note"
"l10n_it_document_type_16","TD16","Reverse charged vendor bill integration for domestic reverse charge"
"l10n_it_document_type_17","TD17","Reverse charged vendor bill integration for purchase of foreign services"
"l10n_it_document_type_18","TD18","Reverse charged vendor bill integration for the purchase of intra-EU goods"
"l10n_it_document_type_19","TD19","Reverse charged vendor bill integration for purchase of goods from foreign markets"
"l10n_it_document_type_20","TD20","Self-invoice for invoice correction"
"l10n_it_document_type_21","TD21","Self-invoice for exceeded threshold"
"l10n_it_document_type_22","TD22","Withdrawal of goods from VAT warehouse"
"l10n_it_document_type_23","TD23","Withdrawal of goods from VAT warehouse with VAT settlement"
"l10n_it_document_type_24","TD24","Deferred invoice"
"l10n_it_document_type_25","TD25","Deferred invoice for dropshipping"
"l10n_it_document_type_26","TD26","Transfer of depreciable assets and internal transfers"
"l10n_it_document_type_27","TD27","Self-invoice for self-consumption, gifts or for free services"
"l10n_it_document_type_28","TD28","Self-invoice for purchases from San Marino with VAT (paper invoice)"
