"id","code","name","tag_ids/id","account_type","chart_template_id/id","reconcile"
"chart_skr04_50","0050","Unpaid uncalled contributions to general partner capital, gp","l10n_de.tag_de_asset_bs_B_II_4","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_60","0060","Unpaid called contributions to general partner capital, gp","l10n_de.tag_de_asset_bs_B_II_4","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_70","0070","Unpaid uncalled contributions to limited partner capital, lp","l10n_de.tag_de_asset_bs_B_II_4","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_80","0080","Unpaid called contributions to limited partner capital, lp","l10n_de.tag_de_asset_bs_B_II_4","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_90","0090","Unpaid and due shares in co-operatives","l10n_de.tag_de_asset_bs_B_II_4","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_100","0100","Purchased concessions, industrial and similar rights and assets, and licences in such rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_110","0110","Concessions","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_120","0120","Industrial rights","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_130","0130","Other rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_135","0135","Computer software","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_140","0140","Licences in industrial and similar rights and assets","l10n_de.tag_de_asset_bs_A_I_2","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_143","0143","Internally generated intangible fixed assets","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_144","0144","Computer software","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_145","0145","Licences and franchise agreements","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
"chart_skr04_146","0146","Concessions and industrial rights","l10n_de.tag_de_asset_bs_A_I_1","asset_non_current","l10n_de_skr04.l10n_chart_de_skr04",""
