"id","name","applicability","country_id/id"
"account_tag_external_code_0010","0010","accounts","base.at"
"account_tag_external_code_0011","0011","accounts","base.at"
"account_tag_external_code_0019","0019","accounts","base.at"
"account_tag_external_code_0020","0020","accounts","base.at"
"account_tag_external_code_0021","0021","accounts","base.at"
"account_tag_external_code_0029","0029","accounts","base.at"
"account_tag_external_code_0100","0100","accounts","base.at"
"account_tag_external_code_0101","0101","accounts","base.at"
"account_tag_external_code_0109","0109","accounts","base.at"
"account_tag_external_code_0110","0110","accounts","base.at"
"account_tag_external_code_0111","0111","accounts","base.at"
"account_tag_external_code_0112","0112","accounts","base.at"
"account_tag_external_code_0113","0113","accounts","base.at"
"account_tag_external_code_0119","0119","accounts","base.at"
"account_tag_external_code_0120","0120","accounts","base.at"
"account_tag_external_code_0121","0121","accounts","base.at"
"account_tag_external_code_0129","0129","accounts","base.at"
"account_tag_external_code_0130","0130","accounts","base.at"
"account_tag_external_code_0131","0131","accounts","base.at"
"account_tag_external_code_0132","0132","accounts","base.at"
"account_tag_external_code_0133","0133","accounts","base.at"
"account_tag_external_code_0134","0134","accounts","base.at"
"account_tag_external_code_0140","0140","accounts","base.at"
"account_tag_external_code_0141","0141","accounts","base.at"
"account_tag_external_code_0149","0149","accounts","base.at"
"account_tag_external_code_0150","0150","accounts","base.at"
"account_tag_external_code_0151","0151","accounts","base.at"
"account_tag_external_code_0159","0159","accounts","base.at"
"account_tag_external_code_0160","0160","accounts","base.at"
"account_tag_external_code_0169","0169","accounts","base.at"
"account_tag_external_code_0170","0170","accounts","base.at"
"account_tag_external_code_0179","0179","accounts","base.at"
"account_tag_external_code_0180","0180","accounts","base.at"
"account_tag_external_code_0200","0200","accounts","base.at"
"account_tag_external_code_0205","0205","accounts","base.at"
"account_tag_external_code_0210","0210","accounts","base.at"
"account_tag_external_code_0219","0219","accounts","base.at"
"account_tag_external_code_0220","0220","accounts","base.at"
"account_tag_external_code_0229","0229","accounts","base.at"
"account_tag_external_code_0300","0300","accounts","base.at"
"account_tag_external_code_0301","0301","accounts","base.at"
"account_tag_external_code_0310","0310","accounts","base.at"
"account_tag_external_code_0311","0311","accounts","base.at"
"account_tag_external_code_0320","0320","accounts","base.at"
"account_tag_external_code_0321","0321","accounts","base.at"
"account_tag_external_code_0330","0330","accounts","base.at"
"account_tag_external_code_0331","0331","accounts","base.at"
"account_tag_external_code_0340","0340","accounts","base.at"
"account_tag_external_code_0341","0341","accounts","base.at"
"account_tag_external_code_0349","0349","accounts","base.at"
"account_tag_external_code_0350","0350","accounts","base.at"
"account_tag_external_code_0351","0351","accounts","base.at"
"account_tag_external_code_0359","0359","accounts","base.at"
"account_tag_external_code_0360","0360","accounts","base.at"
"account_tag_external_code_0361","0361","accounts","base.at"
"account_tag_external_code_0370","0370","accounts","base.at"
"account_tag_external_code_0371","0371","accounts","base.at"
"account_tag_external_code_0379","0379","accounts","base.at"
"account_tag_external_code_0400","0400","accounts","base.at"
"account_tag_external_code_0401","0401","accounts","base.at"
"account_tag_external_code_0410","0410","accounts","base.at"
"account_tag_external_code_0411","0411","accounts","base.at"
"account_tag_external_code_0420","0420","accounts","base.at"
"account_tag_external_code_0421","0421","accounts","base.at"
"account_tag_external_code_0430","0430","accounts","base.at"
"account_tag_external_code_0431","0431","accounts","base.at"
"account_tag_external_code_0439","0439","accounts","base.at"
"account_tag_external_code_0440","0440","accounts","base.at"
"account_tag_external_code_0441","0441","accounts","base.at"
"account_tag_external_code_0500","0500","accounts","base.at"
"account_tag_external_code_0501","0501","accounts","base.at"
"account_tag_external_code_0510","0510","accounts","base.at"
"account_tag_external_code_0511","0511","accounts","base.at"
"account_tag_external_code_0520","0520","accounts","base.at"
"account_tag_external_code_0521","0521","accounts","base.at"
"account_tag_external_code_0530","0530","accounts","base.at"
"account_tag_external_code_0531","0531","accounts","base.at"
"account_tag_external_code_0540","0540","accounts","base.at"
"account_tag_external_code_0541","0541","accounts","base.at"
"account_tag_external_code_0550","0550","accounts","base.at"
"account_tag_external_code_0551","0551","accounts","base.at"
"account_tag_external_code_0555","0555","accounts","base.at"
"account_tag_external_code_0556","0556","accounts","base.at"
"account_tag_external_code_0559","0559","accounts","base.at"
"account_tag_external_code_0600","0600","accounts","base.at"
"account_tag_external_code_0601","0601","accounts","base.at"
"account_tag_external_code_0605","0605","accounts","base.at"
"account_tag_external_code_0606","0606","accounts","base.at"
"account_tag_external_code_0610","0610","accounts","base.at"
"account_tag_external_code_0611","0611","accounts","base.at"
"account_tag_external_code_0612","0612","accounts","base.at"
"account_tag_external_code_0613","0613","accounts","base.at"
"account_tag_external_code_0620","0620","accounts","base.at"
"account_tag_external_code_0621","0621","accounts","base.at"
"account_tag_external_code_0630","0630","accounts","base.at"
"account_tag_external_code_0631","0631","accounts","base.at"
"account_tag_external_code_0640","0640","accounts","base.at"
"account_tag_external_code_0641","0641","accounts","base.at"
"account_tag_external_code_0650","0650","accounts","base.at"
"account_tag_external_code_0651","0651","accounts","base.at"
"account_tag_external_code_0655","0655","accounts","base.at"
"account_tag_external_code_0659","0659","accounts","base.at"
"account_tag_external_code_0660","0660","accounts","base.at"
"account_tag_external_code_0661","0661","accounts","base.at"
"account_tag_external_code_0670","0670","accounts","base.at"
"account_tag_external_code_0671","0671","accounts","base.at"
"account_tag_external_code_0680","0680","accounts","base.at"
"account_tag_external_code_0681","0681","accounts","base.at"
"account_tag_external_code_0685","0685","accounts","base.at"
"account_tag_external_code_0686","0686","accounts","base.at"
"account_tag_external_code_0689","0689","accounts","base.at"
"account_tag_external_code_0700","0700","accounts","base.at"
"account_tag_external_code_0701","0701","accounts","base.at"
"account_tag_external_code_0702","0702","accounts","base.at"
