"id","name","code","account_type","reconcile","name@fr"
"pcg_1011","Uncalled committed capital","1011","equity","False","Capital engagé non appelé"
"pcg_1012","Capital subscribed, called, not paid","1012","equity","False","Capital souscrit, appelé, non versé"
"pcg_1013","Capital subscribed, called, paid, unamortized","1013","equity","False","Capital souscrit, appelé, versé, non amorti"
"pcg_1014","Capital subscribed, called, paid, amortized","1014","equity","False","Capital souscrit, appelé, payé, amorti"
"pcg_1018","Subscribed capital subject to specific conditions","1018","equity","False","Capital souscrit soumis à des conditions spécifiques"
"pcg_1021","Initial endowment","1021","equity","False","Dotation initiale"
"pcg_1022","Additional allocations","1022","equity","False","Allocations supplémentaires"
"pcg_1028","Other endowments","1028","equity","False","Autres dotations"
"pcg_103","Personal capital","103","equity","False","Capital personnel"
"pcg_1041","Temporary contributions","1041","equity","False","Contributions temporaires"
"pcg_1042","Common operations","1042","equity","False","Opérations communes"
"pcg_1043","Remuneration, taxes and other personal charges","1043","equity","False","Rémunération, impôts et autres charges personnelles"
"pcg_1047","Self-consumption withdrawals","1047","equity","False","Retraits pour autoconsommation"
"pcg_1048","Other levies","1048","equity","False","Autres prélèvements"
"pcg_1051","Issuance premiums","1051","equity","False","Primes d'émission"
"pcg_1052","Contribution premiums","1052","equity","False","Primes de cotisation"
"pcg_1053","Merger bonuses","1053","equity","False","Primes de fusion"
"pcg_1054","Conversion bonuses","1054","equity","False","Primes de conversion"
"pcg_1058","Other bonuses","1058","equity","False","Autres primes"
"pcg_1061","Legal revaluation differences","1061","equity","False","Différences de réévaluation légales"
"pcg_1062","Free revaluation differences","1062","equity","False","Écarts de réévaluation libres"
"pcg_109","Contributors, subscribed capital, uncalled","109","equity","False",""
"pcg_111","Legal reserve","111","equity","False","Réserve légale"
"pcg_112","Statutory or contractual reserves","112","equity","False","Réserves statutaires ou contractuelles"
"pcg_1131","Long-term net capital gains reserves","1131","equity","False","Réserves de plus-values nettes à long terme"
