id,chart_template_id/id,code,name,user_type_id/id,reconcile
tw_118100,l10n_tw.l10n_tw_chart_template,118100,Notes receivable,account.data_account_type_receivable,TRUE
tw_119100,l10n_tw.l10n_tw_chart_template,119100,Accounts receivable,account.data_account_type_receivable,TRUE
tw_119150,l10n_tw.l10n_tw_chart_template,119150,Accounts receivable (PoS),account.data_account_type_receivable,TRUE
tw_121100,l10n_tw.l10n_tw_chart_template,121100,Earned revenue receivable,account.data_account_type_receivable,TRUE
tw_123100,l10n_tw.l10n_tw_chart_template,123100,Merchandise inventory,account.data_account_type_current_assets,FALSE
tw_123150,l10n_tw.l10n_tw_chart_template,123150,Other inventory (pending acceptance),account.data_account_type_current_assets,TRUE
tw_123500,l10n_tw.l10n_tw_chart_template,123500,Finished goods,account.data_account_type_current_assets,FALSE
tw_123700,l10n_tw.l10n_tw_chart_template,123700,Work in progress,account.data_account_type_current_assets,FALSE
tw_123900,l10n_tw.l10n_tw_chart_template,123900,Raw materials,account.data_account_type_current_assets,FALSE
tw_124000,l10n_tw.l10n_tw_chart_template,124000,Supplies,account.data_account_type_current_assets,FALSE
tw_126400,l10n_tw.l10n_tw_chart_template,126400,Office supplies,account.data_account_type_current_assets,FALSE
tw_126500,l10n_tw.l10n_tw_chart_template,126500,Other prepaid expenses,account.data_account_type_current_assets,FALSE
tw_126600,l10n_tw.l10n_tw_chart_template,126600,Prepayment for purchases,account.data_account_type_current_assets,FALSE
tw_126800,l10n_tw.l10n_tw_chart_template,126800,Business tax paid (or Input VAT),account.data_account_type_current_assets,FALSE
tw_126900,l10n_tw.l10n_tw_chart_template,126900,Overpaid sales tax,account.data_account_type_current_assets,FALSE
tw_127000,l10n_tw.l10n_tw_chart_template,127000,Other prepayments,account.data_account_type_current_assets,FALSE
tw_128100,l10n_tw.l10n_tw_chart_template,128100,Temporary payments,account.data_account_type_current_assets,FALSE
tw_128200,l10n_tw.l10n_tw_chart_template,128200,Payment on behalf of others,account.data_account_type_current_assets,FALSE
tw_128400,l10n_tw.l10n_tw_chart_template,128400,Refundable deposits,account.data_account_type_non_current_assets,FALSE
tw_137100,l10n_tw.l10n_tw_chart_template,137100,Investments accounted for using equity method,account.data_account_type_non_current_assets,FALSE
tw_139100,l10n_tw.l10n_tw_chart_template,139100,"Land, cost",account.data_account_type_non_current_assets,FALSE
tw_141100,l10n_tw.l10n_tw_chart_template,141100,"Buildings and structures, cost",account.data_account_type_non_current_assets,FALSE
tw_141300,l10n_tw.l10n_tw_chart_template,141300,"Accumulated depreciation, buildings and structures",account.data_account_type_non_current_assets,FALSE
tw_142100,l10n_tw.l10n_tw_chart_template,142100,"Machinery and equipment, cost",account.data_account_type_non_current_assets,FALSE
tw_142200,l10n_tw.l10n_tw_chart_template,142200,"Accumulated depreciation, machinery and equipment",account.data_account_type_non_current_assets,FALSE
tw_143100,l10n_tw.l10n_tw_chart_template,143100,"Office equipment, cost",account.data_account_type_non_current_assets,FALSE
tw_143200,l10n_tw.l10n_tw_chart_template,143200,"Accumulated depreciation, office equipment",account.data_account_type_non_current_assets,FALSE
tw_144100,l10n_tw.l10n_tw_chart_template,144100,"Leased assets, cost",account.data_account_type_non_current_assets,FALSE
tw_144200,l10n_tw.l10n_tw_chart_template,144200,"Accumulated depreciation, leased assets",account.data_account_type_non_current_assets,FALSE
tw_155100,l10n_tw.l10n_tw_chart_template,155100,"Other intangible assets, net",account.data_account_type_non_current_assets,FALSE
tw_155200,l10n_tw.l10n_tw_chart_template,155200,"Accumulated amortization, other intangible assets",account.data_account_type_non_current_assets,FALSE
tw_156100,l10n_tw.l10n_tw_chart_template,156100,Deferred tax assets,account.data_account_type_non_current_assets,FALSE
tw_158200,l10n_tw.l10n_tw_chart_template,158200,Prepayments for business facilities,account.data_account_type_non_current_assets,FALSE
tw_158300,l10n_tw.l10n_tw_chart_template,158300,Guarantee deposits paid,account.data_account_type_non_current_assets,FALSE
tw_158400,l10n_tw.l10n_tw_chart_template,158400,"Owner (shareholder) accounts, debit",account.data_account_type_non_current_assets,FALSE
tw_158600,l10n_tw.l10n_tw_chart_template,158600,"Other non-current assets, others",account.data_account_type_non_current_assets,FALSE
tw_211200,l10n_tw.l10n_tw_chart_template,211200,Bank loan,account.data_account_type_current_liabilities,FALSE
tw_216100,l10n_tw.l10n_tw_chart_template,216100,Notes payable,account.data_account_type_payable,TRUE
tw_217100,l10n_tw.l10n_tw_chart_template,217100,Accounts payable,account.data_account_type_payable,TRUE
tw_217150,l10n_tw.l10n_tw_chart_template,217150,Provisional estimate payable,account.data_account_type_current_liabilities,TRUE
tw_219400,l10n_tw.l10n_tw_chart_template,219400,Business tax payable,account.data_account_type_payable,TRUE
tw_219700,l10n_tw.l10n_tw_chart_template,219700,Other accrued expenses,account.data_account_type_payable,TRUE
tw_219900,l10n_tw.l10n_tw_chart_template,219900,Payable on machinery and equipment,account.data_account_type_payable,TRUE
tw_220100,l10n_tw.l10n_tw_chart_template,220100,Dividends payable,account.data_account_type_payable,TRUE
tw_220400,l10n_tw.l10n_tw_chart_template,220400,Business tax received (or Output VAT),account.data_account_type_current_liabilities,FALSE
tw_222100,l10n_tw.l10n_tw_chart_template,222100,Advance sales receipts,account.data_account_type_current_liabilities,FALSE
tw_222300,l10n_tw.l10n_tw_chart_template,222300,Other advance receipts,account.data_account_type_current_liabilities,FALSE
tw_225100,l10n_tw.l10n_tw_chart_template,225100,Temporary credits,account.data_account_type_current_liabilities,FALSE
tw_225200,l10n_tw.l10n_tw_chart_template,225200,Receipts under custody,account.data_account_type_current_liabilities,FALSE
tw_239300,l10n_tw.l10n_tw_chart_template,239300,"Owner (shareholder) accounts, credit",account.data_account_type_non_current_assets,FALSE
tw_311100,l10n_tw.l10n_tw_chart_template,311100,Ordinary share,account.data_account_type_equity,FALSE
tw_321100,l10n_tw.l10n_tw_chart_template,321100,"Capital surplus, additional paid-in capital arising from ordinary share",account.data_account_type_equity,FALSE
tw_335100,l10n_tw.l10n_tw_chart_template,335100,Accumulated profit and loss,account.data_account_type_equity,FALSE
tw_341500,l10n_tw.l10n_tw_chart_template,341500,"Other equity interest, others",account.data_account_type_equity,FALSE
