id,country_id/id,name,zipcode,state_id/id
city_tw_100,base.tw,中正區,100,base.state_tw_tpc
city_tw_103,base.tw,大同區,103,base.state_tw_tpc
city_tw_104,base.tw,中山區,104,base.state_tw_tpc
city_tw_105,base.tw,松山區,105,base.state_tw_tpc
city_tw_106,base.tw,大安區,106,base.state_tw_tpc
city_tw_108,base.tw,萬華區,108,base.state_tw_tpc
city_tw_110,base.tw,信義區,110,base.state_tw_tpc
city_tw_111,base.tw,士林區,111,base.state_tw_tpc
city_tw_112,base.tw,北投區,112,base.state_tw_tpc
city_tw_114,base.tw,內湖區,114,base.state_tw_tpc
city_tw_115,base.tw,南港區,115,base.state_tw_tpc
city_tw_116,base.tw,文山區,116,base.state_tw_tpc
city_tw_200,base.tw,仁愛區,200,base.state_tw_klc
city_tw_201,base.tw,信義區,201,base.state_tw_klc
city_tw_202,base.tw,中正區,202,base.state_tw_klc
city_tw_203,base.tw,中山區,203,base.state_tw_klc
city_tw_204,base.tw,安樂區,204,base.state_tw_klc
city_tw_205,base.tw,暖暖區,205,base.state_tw_klc
city_tw_206,base.tw,七堵區,206,base.state_tw_klc
city_tw_207,base.tw,萬里區,207,base.state_tw_klc
city_tw_208,base.tw,金山區,208,base.state_tw_klc
city_tw_209,base.tw,南竿鄉,209,base.state_tw_lcc
city_tw_210,base.tw,北竿鄉,210,base.state_tw_lcc
city_tw_211,base.tw,莒光鄉,211,base.state_tw_lcc
city_tw_212,base.tw,東引鄉,212,base.state_tw_lcc
city_tw_220,base.tw,板橋區,220,base.state_tw_ntpc
city_tw_221,base.tw,汐止區,221,base.state_tw_ntpc
city_tw_222,base.tw,深坑區,222,base.state_tw_ntpc
city_tw_223,base.tw,石碇區,223,base.state_tw_ntpc
city_tw_224,base.tw,瑞芳區,224,base.state_tw_ntpc
city_tw_226,base.tw,平溪區,226,base.state_tw_ntpc
city_tw_227,base.tw,雙溪區,227,base.state_tw_ntpc
city_tw_228,base.tw,貢寮區,228,base.state_tw_ntpc
city_tw_231,base.tw,新店區,231,base.state_tw_ntpc
city_tw_232,base.tw,坪林區,232,base.state_tw_ntpc
city_tw_233,base.tw,烏來區,233,base.state_tw_ntpc
city_tw_234,base.tw,永和區,234,base.state_tw_ntpc
city_tw_235,base.tw,中和區,235,base.state_tw_ntpc
city_tw_236,base.tw,土城區,236,base.state_tw_ntpc
city_tw_237,base.tw,三峽區,237,base.state_tw_ntpc
city_tw_238,base.tw,樹林區,238,base.state_tw_ntpc
city_tw_239,base.tw,鶯歌區,239,base.state_tw_ntpc
city_tw_241,base.tw,三重區,241,base.state_tw_ntpc
city_tw_242,base.tw,新莊區,242,base.state_tw_ntpc
city_tw_243,base.tw,泰山區,243,base.state_tw_ntpc
city_tw_244,base.tw,林口區,244,base.state_tw_ntpc
city_tw_247,base.tw,蘆洲區,247,base.state_tw_ntpc
city_tw_248,base.tw,五股區,248,base.state_tw_ntpc
city_tw_249,base.tw,八里區,249,base.state_tw_ntpc
city_tw_251,base.tw,淡水區,251,base.state_tw_ntpc
city_tw_252,base.tw,三芝區,252,base.state_tw_ntpc
city_tw_253,base.tw,石門區,253,base.state_tw_ntpc
city_tw_260,base.tw,宜蘭市,260,base.state_tw_ilh
city_tw_261,base.tw,頭城鎮,261,base.state_tw_ilh
city_tw_262,base.tw,礁溪鄉,262,base.state_tw_ilh
city_tw_263,base.tw,壯圍鄉,263,base.state_tw_ilh
city_tw_264,base.tw,員山鄉,264,base.state_tw_ilh
city_tw_265,base.tw,羅東鎮,265,base.state_tw_ilh
city_tw_266,base.tw,三星鄉,266,base.state_tw_ilh
city_tw_267,base.tw,大同鄉,267,base.state_tw_ilh
city_tw_268,base.tw,五結鄉,268,base.state_tw_ilh
city_tw_269,base.tw,冬山鄉,269,base.state_tw_ilh
city_tw_270,base.tw,蘇澳鎮,270,base.state_tw_ilh
city_tw_272,base.tw,南澳鄉,272,base.state_tw_ilh
city_tw_290,base.tw,釣魚臺,290,base.state_tw_ilh
city_tw_300,base.tw,北區,300,base.state_tw_hct
city_tw_300_1,base.tw,東區,300,base.state_tw_hct
city_tw_300_2,base.tw,香山區,300,base.state_tw_hct
city_tw_302,base.tw,竹北市,302,base.state_tw_hch
city_tw_303,base.tw,湖口鄉,303,base.state_tw_hch
city_tw_304,base.tw,新豐鄉,304,base.state_tw_hch
city_tw_305,base.tw,新埔鎮,305,base.state_tw_hch
city_tw_306,base.tw,關西鎮,306,base.state_tw_hch
city_tw_307,base.tw,芎林鄉,307,base.state_tw_hch
city_tw_308,base.tw,寶山鄉,308,base.state_tw_hch
city_tw_310,base.tw,竹東鎮,310,base.state_tw_hch
city_tw_311,base.tw,五峰鄉,311,base.state_tw_hch
city_tw_312,base.tw,橫山鄉,312,base.state_tw_hch
city_tw_313,base.tw,尖石鄉,313,base.state_tw_hch
city_tw_314,base.tw,北埔鄉,314,base.state_tw_hch
city_tw_315,base.tw,峨眉鄉,315,base.state_tw_hch
city_tw_320,base.tw,中壢區,320,base.state_tw_tyc
