"id","code_prefix_start","name","chart_template_id/id"
"chart_sk_0","0","Dlhodobý majetok","l10n_sk.sk_chart_template"
"chart_sk_01","01","Dlhodobý nehmotný majetok","l10n_sk.sk_chart_template"
"chart_sk_012","012","Aktivované náklady na vývoj","l10n_sk.sk_chart_template"
"chart_sk_013","013","Softvér","l10n_sk.sk_chart_template"
"chart_sk_014","014","Oceniteľné práva","l10n_sk.sk_chart_template"
"chart_sk_015","015","Goodwill","l10n_sk.sk_chart_template"
"chart_sk_019","019","Ostatný dlhodobý nehmotný majetok","l10n_sk.sk_chart_template"
"chart_sk_02","02","Dlhodobý hmotný majetok - odpisovaný","l10n_sk.sk_chart_template"
"chart_sk_021","021","Stavby","l10n_sk.sk_chart_template"
"chart_sk_022","022","Samostatné hnuteľné veci a súbory hnuteľných vecí","l10n_sk.sk_chart_template"
"chart_sk_025","025","Pestovateľské celky trvalých porastov","l10n_sk.sk_chart_template"
"chart_sk_026","026","Základné stádo a ťažné zvieratá","l10n_sk.sk_chart_template"
"chart_sk_029","029","Ostatný dlhodobý hmotný majetok","l10n_sk.sk_chart_template"
"chart_sk_03","03","Dlhodobý hmotný majetok - neodpisovaný","l10n_sk.sk_chart_template"
"chart_sk_031","031","Pozemky","l10n_sk.sk_chart_template"
"chart_sk_032","032","Umelecké diela a zbierky","l10n_sk.sk_chart_template"
"chart_sk_04","04","Obstaranie dlhodobého majetku","l10n_sk.sk_chart_template"
"chart_sk_041","041","Obstaranie dlhodobého nehmotného majetku","l10n_sk.sk_chart_template"
"chart_sk_042","042","Obstaranie dlhodobého hmotného majetku","l10n_sk.sk_chart_template"
"chart_sk_043","043","Obstaranie dlhodobého finančného majetku","l10n_sk.sk_chart_template"
"chart_sk_05","05","Poskytnuté preddavky na dlhodobý majetok","l10n_sk.sk_chart_template"
"chart_sk_051","051","Poskytnuté preddavky na dlhodobý nehmotný majetok","l10n_sk.sk_chart_template"
"chart_sk_052","052","Poskytnuté preddavky na dlhodobý hmotný majetok","l10n_sk.sk_chart_template"
"chart_sk_055","055","Poskytnuté preddavky na dlhodobý finančný majetok","l10n_sk.sk_chart_template"
"chart_sk_06","06","Dlhodobý finančný majetok","l10n_sk.sk_chart_template"
"chart_sk_061","061","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke","l10n_sk.sk_chart_template"
"chart_sk_062","062","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou","l10n_sk.sk_chart_template"
"chart_sk_063","063","Realizovateľné cenné papiere a podiely","l10n_sk.sk_chart_template"
"chart_sk_065","065","Dlhové cenné papiere držané do splatnosti","l10n_sk.sk_chart_template"
"chart_sk_066","066","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti","l10n_sk.sk_chart_template"
"chart_sk_067","067","Ostatné pôžičky","l10n_sk.sk_chart_template"
"chart_sk_069","069","Ostatný dlhodobý finančný majetok","l10n_sk.sk_chart_template"
"chart_sk_07","07","Oprávky k dlhodobému nehmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_072","072","Oprávky k aktivovaným nákladom na vývoj","l10n_sk.sk_chart_template"
"chart_sk_073","073","Oprávky k softvéru","l10n_sk.sk_chart_template"
"chart_sk_074","074","Oprávky k oceniteľným právam","l10n_sk.sk_chart_template"
"chart_sk_075","075","Oprávky ku goodwilu","l10n_sk.sk_chart_template"
"chart_sk_079","079","Opravky k ostatnému dlhodobému nehmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_08","08","Oprávky k dlhodobému hmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_081","081","Oprávky k stavbám","l10n_sk.sk_chart_template"
"chart_sk_082","082","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí","l10n_sk.sk_chart_template"
"chart_sk_085","085","Oprávky k pestovateľským celkom trvalých porastov","l10n_sk.sk_chart_template"
"chart_sk_086","086","Oprávky k základnému stádu a ťažným zvieratám","l10n_sk.sk_chart_template"
"chart_sk_089","089","Oprávky k ostatnému dlhodobému hmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_09","09","Opravné položky k dlhodobému majetku","l10n_sk.sk_chart_template"
"chart_sk_091","091","Opravné položky k dlhodobému nehmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_092","092","Opravné položky k dlhodobému hmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_093","093","Opravné položky k nedokončenému dlhodobému nehmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_094","094","Opravné položky k nedokončenému dlhodobému hmotnému majetku","l10n_sk.sk_chart_template"
"chart_sk_095","095","Opravné položky k poskytnutým preddavkom na dlhodobý majetok","l10n_sk.sk_chart_template"
"chart_sk_096","096","Opravné položky k dlhodobému finančnému majetku","l10n_sk.sk_chart_template"
"chart_sk_097","097","Opravné položky k nadobudnutému majetku","l10n_sk.sk_chart_template"
"chart_sk_098","098","Oprávky k opravnej položke k nadobudnutému majetku","l10n_sk.sk_chart_template"
"chart_sk_1","1","Zásoby","l10n_sk.sk_chart_template"
"chart_sk_11","11","Materiál","l10n_sk.sk_chart_template"
"chart_sk_111","111","Obstaranie materiálu","l10n_sk.sk_chart_template"
"chart_sk_112","112","Materiál na sklade","l10n_sk.sk_chart_template"
"chart_sk_119","119","Materiál na ceste","l10n_sk.sk_chart_template"
"chart_sk_12","12","Zásoby vlastnej výroby","l10n_sk.sk_chart_template"
"chart_sk_121","121","Nedokončená výroba","l10n_sk.sk_chart_template"
"chart_sk_122","122","Polotovary vlastnej výroby","l10n_sk.sk_chart_template"
"chart_sk_123","123","Výrobky","l10n_sk.sk_chart_template"
"chart_sk_124","124","Zvieratá","l10n_sk.sk_chart_template"
"chart_sk_13","13","Tovar","l10n_sk.sk_chart_template"
"chart_sk_131","131","Obstaranie tovaru","l10n_sk.sk_chart_template"
"chart_sk_132","132","Tovar na sklade a v predajniach","l10n_sk.sk_chart_template"
"chart_sk_133","133","Nehnuteľnosť na predaj","l10n_sk.sk_chart_template"
"chart_sk_139","139","Tovar na ceste","l10n_sk.sk_chart_template"
"chart_sk_19","19","Opravné položky k zásobám","l10n_sk.sk_chart_template"
"chart_sk_191","191","Opravné položky k materiálu","l10n_sk.sk_chart_template"
"chart_sk_192","192","Opravné položky k nedokončenej výrobe","l10n_sk.sk_chart_template"
"chart_sk_193","193","Opravné položky k polotovarom vlastnej výroby","l10n_sk.sk_chart_template"
"chart_sk_194","194","Opravné položky k výrobkom","l10n_sk.sk_chart_template"
"chart_sk_195","195","Opravné položky k zvieratám","l10n_sk.sk_chart_template"
"chart_sk_196","196","Opravné položky k tovaru","l10n_sk.sk_chart_template"
"chart_sk_2","2","Finančné účty","l10n_sk.sk_chart_template"
"chart_sk_21","21","Peniaze","l10n_sk.sk_chart_template"
"chart_sk_211","211","Pokladnica","l10n_sk.sk_chart_template"
"chart_sk_213","213","Ceniny","l10n_sk.sk_chart_template"
"chart_sk_22","22","Účty v bankách","l10n_sk.sk_chart_template"
"chart_sk_221","221","Bankové účty","l10n_sk.sk_chart_template"
"chart_sk_23","23","Bežné bankové úvery","l10n_sk.sk_chart_template"
"chart_sk_231","231","Krátkodobé bankové úvery","l10n_sk.sk_chart_template"
"chart_sk_232","232","Eskontné úvery","l10n_sk.sk_chart_template"
"chart_sk_24","24","Iné krátkodobé finančné výpomoci","l10n_sk.sk_chart_template"
"chart_sk_241","241","Vydané krátkodobé dlhopisy","l10n_sk.sk_chart_template"
"chart_sk_249","249","Ostatné krátkodobé finančné výpomoci","l10n_sk.sk_chart_template"
"chart_sk_25","25","Krátkodobý finančný majetok","l10n_sk.sk_chart_template"
"chart_sk_251","251","Majetkové cenné papiere na obchodovanie","l10n_sk.sk_chart_template"
"chart_sk_252","252","Vlastné akcie a vlastné obchodné podiely","l10n_sk.sk_chart_template"
"chart_sk_253","253","Dlhové cenné papiere na obchodovanie","l10n_sk.sk_chart_template"
"chart_sk_255","255","Vlastné dlhopisy","l10n_sk.sk_chart_template"
"chart_sk_256","256","Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti","l10n_sk.sk_chart_template"
"chart_sk_257","257","Ostatné realizovateľné cenné papiere","l10n_sk.sk_chart_template"
"chart_sk_259","259","Obstaranie krátkodobého finančného majetku","l10n_sk.sk_chart_template"
"chart_sk_26","26","Prevody medzi finančnými účtami","l10n_sk.sk_chart_template"
"chart_sk_261","261","Peniaze na ceste","l10n_sk.sk_chart_template"
"chart_sk_29","29","Opravné položky ku krátkodobému finančnému majetku","l10n_sk.sk_chart_template"
"chart_sk_291","291","Opravné položky ku krátkodobému finančnému majetku","l10n_sk.sk_chart_template"
"chart_sk_3","3","Zúčtovacie vzťahy","l10n_sk.sk_chart_template"
"chart_sk_31","31","Pohľadávky","l10n_sk.sk_chart_template"
"chart_sk_311","311","Odberatelia","l10n_sk.sk_chart_template"
"chart_sk_312","312","Zmenky na inkaso","l10n_sk.sk_chart_template"
"chart_sk_313","313","Pohľadávky za eskontované cenné papiere","l10n_sk.sk_chart_template"
"chart_sk_314","314","Poskytnuté preddavky","l10n_sk.sk_chart_template"
"chart_sk_315","315","Ostatné pohľadávky","l10n_sk.sk_chart_template"
"chart_sk_316","316","Čistá hodnota zákazky","l10n_sk.sk_chart_template"
"chart_sk_32","32","Záväzky","l10n_sk.sk_chart_template"
"chart_sk_321","321","Dodávatelia","l10n_sk.sk_chart_template"
"chart_sk_322","322","Zmenky na úhradu","l10n_sk.sk_chart_template"
"chart_sk_323","323","Krátkodobé rezervy","l10n_sk.sk_chart_template"
"chart_sk_324","324","Prijaté preddavky","l10n_sk.sk_chart_template"
"chart_sk_325","325","Ostatné záväzky","l10n_sk.sk_chart_template"
"chart_sk_326","326","Nevyfakturované dodávky","l10n_sk.sk_chart_template"
"chart_sk_33","33","Zúčtovanie so zamestnancami a orgánmi sociálneho poistenia a zdravotného poistenia","l10n_sk.sk_chart_template"
"chart_sk_331","331","Zamestnanci","l10n_sk.sk_chart_template"
"chart_sk_333","333","Ostatné záväzky voči zamestnancom","l10n_sk.sk_chart_template"
"chart_sk_335","335","Pohľadávky voči zamestnancom","l10n_sk.sk_chart_template"
"chart_sk_336","336","Zúčtovanie s orgánmi sociálneho zabezpečenia a zdravotného poistenia","l10n_sk.sk_chart_template"
"chart_sk_34","34","Zúčtovanie daní a dotácií","l10n_sk.sk_chart_template"
"chart_sk_341","341","Daň z príjmov","l10n_sk.sk_chart_template"
"chart_sk_342","342","Ostatné priame dane","l10n_sk.sk_chart_template"
"chart_sk_343","343","Daň z pridanej hodnoty","l10n_sk.sk_chart_template"
"chart_sk_345","345","Ostatné dane a poplatky","l10n_sk.sk_chart_template"
"chart_sk_346","346","Dotácie zo štatneho rozpočtu","l10n_sk.sk_chart_template"
"chart_sk_347","347","Ostatné dodácie","l10n_sk.sk_chart_template"
"chart_sk_35","35","Pohľadávky voči spoločníkom a združeniu","l10n_sk.sk_chart_template"
"chart_sk_351","351","Pohľadávky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti","l10n_sk.sk_chart_template"
"chart_sk_353","353","Pohľadávky za upísané vlastné imanie","l10n_sk.sk_chart_template"
