"id","name","description","invoice_label","sequence","type_tax_use","tax_scope","amount","amount_type","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@de","fiscal_position_ids","original_tax_ids"
"account_tax_template_sales_rev_charge_0_code021","0% Ust L","UST_021 Section 19 (1) second sentence (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1 zweiter Satz (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_rev_charge_0_code021_1a","0% Ust L 1a","UST_021 Section 19 (1a) (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1a (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_rev_charge_0_code021_1b","0% Ust L 1b","UST_021 Section 19 (1b) (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1b (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_rev_charge_0_code021_1c","0% Ust L 1c","UST_021 Section 19 (1c) (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1c (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_rev_charge_0_code021_1d","0% Ust L 1d","UST_021 Section 19 (1d) (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1d (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_rev_charge_0_code021_1e","0% Ust L 1e","UST_021 Section 19 (1e) (Tax liability concerns service recipient)","0%","400","sale","","0.0","percent","False","","base","invoice","+KZ 000||+KZ 021","","","UST_021 § 19 Abs. 1e (Steuerschuld betrifft Leistungsempfänger)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 021","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 021","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 021","chart_at_template_3505","","","",""
"account_tax_template_sales_non_eu_0_code011","0% USt EX","UST_011 Export 0%","0%","300","sale","consu","0.0","percent","","tax_group_0","base","invoice","+KZ 011||+KZ 000","","","UST_011 Export 0%","fiscal_position_template_non_eu","account_tax_template_sales_add7_code007,account_tax_template_sales_20_code022"
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 011||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_non_eu_0_code012","0% Ust Sub","UST_012 Subcontracting 0%","0%","200","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 012||+KZ 000","","","UST_012 Lohnveredelung 0%","fiscal_position_template_non_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 012||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_non_eu_0_code015","0% Ust EX art6","UST_015 Export 0% (§ 6 Abs. 1 Z 2 bis 6)","0%","300","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 015||+KZ 000","","","UST_015 Export 0% (§ 6 Abs. 1 Z 2 bis 6)","fiscal_position_template_non_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 015||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_eu_0_code017","0% Ust IGL Nart6","UST_017 IGL 0% (without art. 6 par. 1)","0%","200","sale","consu","0.0","percent","","tax_group_0","base","invoice","+KZ 017||+KZ 000||+AT_ZM_IGL","","","UST_017 IGL 0% (ohne Art. 6 Abs. 1)","fiscal_position_template_eu","account_tax_template_sales_add7_code007,account_tax_template_sales_10_code029,account_tax_template_sales_20_code022"
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 017||-KZ 000||-AT_ZM_IGL","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_eu_0_code018","0% Ust IGL art6","UST_018 IGL 0% (Art. 6 Abs. 1)","0%","200","sale","consu","0.0","percent","","tax_group_0","base","invoice","+KZ 018||+KZ 000||+AT_ZM_IGL","","","UST_018 IGL 0% (Art. 6 Abs. 1)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 018||-KZ 000||-AT_ZM_IGL","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_0_code019","0% Ust R E","UST_019 Real estate sales 0% (§ 6 Abs. 1 Z 9 lit. a)","0%","100","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 019||+KZ 000","","","UST_019 Grundstücksumsätze 0% (§ 6 Abs. 1 Z 9 lit. a)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 019||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_0_code016","0% Ust S B","UST_016 Small business 0% (§ 6 Abs. 1 Z 27)","0%","100","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 016||+KZ 000","","","UST_016 Kleinunternehmer 0% (§ 6 Abs. 1 Z 27)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 016||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_0_code020","0% Ust O Exempt","UST_020 Other tax-exempt sales 0%","0%","100","sale","","0.0","percent","","tax_group_0","base","invoice","+KZ 020||+KZ 000","","","UST_020 Übrige steuerfreie Umsätze 0%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 020||-KZ 000","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_20_code022","20% Ust","UST_022 Normal tax rate 20%","20%","50","sale","consu","20.0","percent","","tax_group_20","base","invoice","+KZ 000||+KZ 022 Bemessungsgrundlage","","","UST_022 Normalsteuersatz 20%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 022 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"account_tax_template_sales_20_katalog022","20% Ust O S","UST_022 Normal tax rate 20% (Other services)","20%","100","sale","service","20.0","percent","","tax_group_20","base","invoice","+KZ 000||+KZ 022 Bemessungsgrundlage","","","UST_022 Normalsteuersatz 20% (Sonstige Leistungen)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 022 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"account_tax_template_sales_10_code029","10% Ust R","UST_029 reduced tax rate 10%","10%","100","sale","consu","10.0","percent","","tax_group_10","base","invoice","+KZ 000||+KZ 029 Bemessungsgrundlage","","","UST_029 ermäßigter Steuersatz 10%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 029 Umsatzsteuer","chart_at_template_3501","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 029 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 029 Umsatzsteuer","chart_at_template_3501","","","",""
"account_tax_template_sales_13_code006","13% Ust R","UST_006 reduced tax rate 13%","13%","100","sale","","13.0","percent","","tax_group_13","base","invoice","+KZ 000||+KZ 006 Bemessungsgrundlage","","","UST_006 ermäßigter Steuersatz 13%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 006 Umsatzsteuer","chart_at_template_3502","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 006 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 006 Umsatzsteuer","chart_at_template_3502","","","",""
"account_tax_template_sales_19_code037","19% Ust","UST_037 Tax rate 19%","19%","100","sale","","19.0","percent","","tax_group_19","base","invoice","+KZ 000||+KZ 037 Bemessungsgrundlage","","","UST_037 Steuersatz 19%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 037 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 037 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 037 Umsatzsteuer","chart_at_template_3505","","","",""
"account_tax_template_sales_add10_code052","10% Ust Add","UST_052 Additional tax rate 10% (LWB/FWB)","10%","100","sale","","10.0","percent","","tax_group_10","base","invoice","+KZ 000||+KZ 052 Bemessungsgrundlage","","","UST_052 Zusatzsteuersatz 10% (LWB/FWB)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 052 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 052 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 052 Umsatzsteuer","chart_at_template_3505","","","",""
