"id","name","code","account_type","tag_ids","reconcile","name@et"
"l10n_ee_1000","Cash Accounts","1000","asset_cash","","False","Rahakontod"
"l10n_ee_1001","Bank Accounts","1001","asset_cash","","False","Pangakontod"
"l10n_ee_1008","Transfer Accounts","1008","asset_current","","True","Ülekandekontod"
"l10n_ee_1009","Bank Suspense Account","1009","asset_current","","False","Panga vahekonto"
"l10n_ee_1010","Short-Term Financial Investments","1010","asset_current","","False","Lühiajalised finantsinvesteeringud"
"l10n_ee_1011","Depreciations on Short-Term Financial Investments","1011","asset_current","","False","Lühiajaliste finantsinvesteeringute amortisatsioon"
"l10n_ee_10200","Accounts Receivable","10200","asset_receivable","","True","Nõuded"
"l10n_ee_10201","Accounts Receivable (POS)","10201","asset_receivable","","True","Nõuded (POS)"
"l10n_ee_10202","Doubtful Receivables","10202","asset_receivable","","True","Ebatõenäolised nõuded"
"l10n_ee_1021","Receivables from Related Parties","1021","asset_current","","False","Nõuded seotud osapoolte vastu"
"l10n_ee_1022","Prepaid and Deferred Taxes","1022","asset_current","","False","Maksude ettemaksed ja tagasinõuded"
"l10n_ee_1023","Loan Receivables","1023","asset_current","","False","Laenunõuded"
"l10n_ee_10240","Interest Receivable","10240","asset_current","","False","Saadaolevad intressid"
"l10n_ee_10241","Dividend Receivable","10241","asset_current","","False","Saadaolevad dividendid"
"l10n_ee_10242","Accounts Receivable from Social Insurance Board","10242","asset_current","","False","Nõuded Sotsiaalkindlustusametilt"
"l10n_ee_10243","Netting Account","10243","asset_current","","False","Tasaarvelduskonto"
"l10n_ee_10244","Other Short-Term Receivables","10244","asset_current","","False","Muud lühiajalised nõuded"
"l10n_ee_1025","Prepayments","1025","asset_prepayments","","False","Ettemaksed"
"l10n_ee_1030","Raw and Other Materials","1030","asset_current","","False","Tooraine ja materjal"
"l10n_ee_1031","Work in Progress","1031","asset_current","","False","Lõpetamata toodang"
"l10n_ee_10320","Finished Goods from Agricultural Production","10320","asset_current","","False","Põllumajandustootmisest saadud valmistooted"
"l10n_ee_10321","Other Finished Goods","10321","asset_current","","False","Muud valmistooted"
"l10n_ee_1033","Goods for Resale","1033","asset_current","","False","Müügiks ostetud kaubad"
"l10n_ee_1034","Prepayments to Suppliers","1034","asset_current","","False","Ettemaksed varude eest"
"l10n_ee_1040","Biological Assets","1040","asset_current","","False","Bioloogilised varad"
"l10n_ee_1100","Shares and Participations in Subsidiaries","1100","asset_non_current","","False","Tütarettevõtjate aktsiad ja osad"
"l10n_ee_1101","Shares and Participations in Affiliates","1101","asset_non_current","","False","Sidusettevõtjate aktsiad ja osad"
"l10n_ee_1110","Other Shares, Stocks and Bonds","1110","asset_non_current","","False","Muud aktsiad, aktsiad ja võlakirjad"
"l10n_ee_1111","Other Long-Term Financial Investments","1111","asset_non_current","","False","Muud pikaajalised finantsinvesteeringud"
"l10n_ee_1120","Long-Term Trade Receivables","1120","asset_non_current","","False","Nõuded ostjate vastu"
