"id","code","name","account_type","reconcile","name@id"
"l10n_id_11110001","11110001","Cash","asset_cash","True",""
"l10n_id_11110010","11110010","Petty Cash","asset_cash","True","Kas Kecil"
"l10n_id_11110020","11110020","Cash in Hand","asset_cash","True","Kas Belum Disetor"
"l10n_id_11120001","11120001","Bank Suspense","liability_current","True",""
"l10n_id_11120002","11120002","Outstanding Receipts","asset_current","True",""
"l10n_id_11120003","11120003","Outstanding Payments","asset_current","True",""
"l10n_id_11120004","11120004","Bank","asset_cash","True",""
"l10n_id_11210010","11210010","Account Receivable","asset_receivable","True","Piutang Usaha"
"l10n_id_11210011","11210011","Account Receivable (PoS)","asset_receivable","True","Piutang Usaha (PoS)"
"l10n_id_11210020","11210020","Employee Liabilities","asset_current","True","Piutang Karyawan"
"l10n_id_11300180","11300180","Other Inventory","asset_current","False","Persediaan Lainnya"
"l10n_id_11410010","11410010","Building Rent","asset_prepayments","False","Sewa Bangunan"
"l10n_id_11410020","11410020","Prepaid Insurance","asset_prepayments","False","Asuransi Dibayar Dimuka"
"l10n_id_11410030","11410030","Prepaid Advertisement-Free","asset_prepayments","False","Beban Iklan Dibayar Dimuka"
"l10n_id_11510010","11510010","Prepaid Tax PPh 21","asset_prepayments","False",""
"l10n_id_11510020","11510020","Prepaid Tax Pph 22","asset_prepayments","False","Pajak Dibayar Dimuka PPH 22"
"l10n_id_11510030","11510030","Prepaid Tax Pph 23","asset_prepayments","False","Pajak Dibayar Dimuka PPH 23"
"l10n_id_11510040","11510040","Prepaid Tax Pph 25","asset_prepayments","False","Pajak Dibayar Dimuka PPH 25"
"l10n_id_11510050","11510050","Prepaid Tax Pph 28A","asset_prepayments","False",""
"l10n_id_11510060","11510060","Prepaid Tax 4 (2)","asset_prepayments","False",""
"l10n_id_11800000","11800000","Down Payment","asset_prepayments","False","Uang Muka Pembelian"
"l10n_id_12210010","12210010","Office Building","asset_fixed","False","Bangunan Kantor"
"l10n_id_12210020","12210020","Vehicle","asset_fixed","False","Kendaraan"
"l10n_id_12210030","12210030","Office Supplies","asset_fixed","False","Peralatan Kantor"
"l10n_id_12281010","12281010","Accumulation Building Depreciation","asset_prepayments","False","Akumulasi Penyusutan Bangunan Kantor"
"l10n_id_12281020","12281020","Accumulation Vehicle Depreciation","asset_prepayments","False","Akumulasi Penyusutan Kendaraan"
"l10n_id_12281030","12281030","Accumulation Office Supplies Depreciation","asset_prepayments","False","Akumulasi Penyusutan Peralatan Kantor"
"l10n_id_21100010","21100010","Trade Receivable","liability_payable","True","Hutang Usaha"
"l10n_id_21100020","21100020","Shareholder Deposit","liability_current","False","Hutang Pemegang Saham"
"l10n_id_21100030","21100030","Third-Party Deposit","liability_current","False","Hutang Pihak Ketiga"
"l10n_id_21100040","21100040","Salary Deposit","liability_current","False","Hutang Gaji"
"l10n_id_21210010","21210010","Tax Payable Pph 21","liability_current","False","Hutang Pajak PPh 21"
"l10n_id_21210020","21210020","Tax Payable Pph 23","liability_current","False","Hutang Pajak PPh 23"
"l10n_id_21210030","21210030","Tax Payable Pph 25","liability_current","False","Hutang Pajak PPh 25"
"l10n_id_21210040","21210040","Tax Payable 4 (2)","liability_current","False","Hutang Pajak Pasal 4 (2)"
"l10n_id_21210050","21210050","Tax Payable Pph 29","liability_current","False","Hutang Pajak PPh 29"
"l10n_id_21221010","21221010","VAT Purchase","liability_current","False","PPN Pembelian"
"l10n_id_21221020","21221020","VAT Sales","liability_current","False","PPN Penjualan"
"l10n_id_22110010","22110010","Bank Loan","liability_current","False","Hutang Bank"
"l10n_id_22110020","22110020","Leasing Deposit","liability_current","False","Hutang Leasing"
"l10n_id_25110010","25110010","Accrued Payable Electricity","liability_current","False","BYMHD Listrik"
"l10n_id_25110020","25110020","Accrued Payable Jamsostek","liability_current","False","BYMHD Jamsostek"
"l10n_id_25110030","25110030","Accrued Payable Water","liability_current","False","BYMHD Air"
"l10n_id_25110040","25110040","Accrued Payable Telp & Internet","liability_current","False","BYMHD Telepon"
"l10n_id_25110050","25110050","Accrued Payable Security Management","liability_current","False","BYMHD Jasa Pengelola Keamanan"
"l10n_id_25110060","25110060","Accrued Payable Bank","liability_current","False","BYMHD Bank"
"l10n_id_25110070","25110070","Accrued Payable PBB","liability_current","False","BYMHD PBB"
"l10n_id_25110080","25110080","Accrued Payable Business License","liability_current","False","BYMHD Izin Usaha"
