"id","name","description","invoice_label","type_tax_use","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/tag_ids"
"ie_tax_sale_goods_23","23% G","23% Standard rate - Goods","23%","sale","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_services_23","23% S","23% Standard rate - Services","23%","sale","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_goods_13_5","13.5% G","13.5% Reduced rate - Goods","13.5%","sale","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_services_13_5","13.5% S","13.5% Reduced rate - Services","13.5%","sale","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_goods_9","9% G","9% Second reduced rate - Goods","9%","sale","percent","9","ie_tax_group_vat_9","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_services_9","9% S","9% Second reduced rate - Services","9%","sale","percent","9","ie_tax_group_vat_9","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_ls_4_8","4.8% LS","4.8% Livestock rate","4.8%","sale","percent","4.8","ie_tax_group_vat_4_8","False","base","invoice","","",""
"","","","","","","","","","tax","invoice","","l10n_ie_account_3804","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","l10n_ie_account_3804","-T1"
"ie_tax_sale_goods_0","0% G","0% Goods","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_services_0","0% S","0% Services","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_goods_exempt","0% G EXEMPT","0% Goods Exempt","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_services_exempt","0% S EXEMPT","0% Services Exempt","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_goods_eu_0","0% EU G","0% EU Goods","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","","+E1"
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","","-E1"
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_services_eu_0","0% EU S","0% EU Services","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","","+ES1"
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","","-ES1"
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_ex_goods_0","0% EX G","0% Export Goods","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
"ie_tax_sale_ex_services_0","0% EX S","0% Export Services","0%","sale","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
"","","","","","","","","","tax","invoice","","","+T1"
"","","","","","","","","","base","refund","","",""
"","","","","","","","","","tax","refund","","","-T1"
