"id","name","applicability","country_id:id","name@mn"
"account_cashflow_tag_111","CF:[1.1.1] Income from the sale of goods and services","accounts","","CF:[1.1.1] Бараа борлуулсан, үйлчилгээ үзүүлсний орлого"
"account_cashflow_tag_112","CF:[1.1.2] Revenue from royalties, fees and charges","accounts","","CF:[1.1.2] Эрхийн шимтгэл, хураамж, төлбөрийн орлого"
"account_cashflow_tag_113","CF:[1.1.3] Amount received from insured spouse","accounts","","CF:[1.1.3] Даатгалын нөхвөрөөс хүлээн авсан мөнгө"
"account_cashflow_tag_114","CF:[1.1.4] Tax refunds","accounts","","CF:[1.1.4] Буцаан авсан албан татвар"
"account_cashflow_tag_115","CF:[1.1.5] Subsidy and financing income","accounts","","CF:[1.1.5] Татаас, санхүүжилтийн орлого"
"account_cashflow_tag_116","CF:[1.1.6] Other cash income","accounts","","CF:[1.1.6] Бусад мөнгөн орлого"
"account_cashflow_tag_121","CF:[1.2.1] Paid to employees","accounts","","CF:[1.2.1] Ажиллагчдад төлсөн"
"account_cashflow_tag_122","CF:[1.2.2] Paid to Social Security","accounts","","CF:[1.2.2] Нийгмийн даатгалын байгууллагад төлсөн"
"account_cashflow_tag_123","CF:[1.2.3] Paid to purchase inventory","accounts","","CF:[1.2.3] Бараа материал худалдан авахад төлсөн"
"account_cashflow_tag_124","CF:[1.2.4] Paid for operating expenses","accounts","","CF:[1.2.4] Ашиглалтын зардалд төлсөн"
"account_cashflow_tag_125","CF: [1.2.5] Paid for fuel, transportation, spare parts","accounts","","CF:[1.2.5] Түлш шатахуун, тээврийн хөлс, сэлбэг хэрэгсэлд төлсөн"
"account_cashflow_tag_126","CF:[1.2.6] Interest paid","accounts","","CF:[1.2.6] Хүүний төлбөрт төлсөн"
"account_cashflow_tag_127","CF:[1.2.7] Paid to tax authorities","accounts","","CF:[1.2.7] Татварын байгууллагад төлсөн"
"account_cashflow_tag_128","CF:[1.2.8] Paid for insurance","accounts","","CF:[1.2.8] Даатгалын төлбөрт төлсөн"
"account_cashflow_tag_129","CF:[1.2.9] Other cash expenses","accounts","","CF:[1.2.9] Бусад мөнгөн зарлага"
"account_cashflow_tag_211_221","CF:[2.1.1] Income from sale of fixed assets","accounts","","CF:[2.1.1] Үндсэн хөрөнгө борлуулсны орлого"
"account_cashflow_tag_212_222","CF:[2.1.2] Income from sale of intangible assets","accounts","","CF:[2.1.2] Биет бус хөрөнгө борлуулсны орлого"
"account_cashflow_tag_213_223","CF:[2.1.3] Income from sale of investment","accounts","","CF:[2.1.3] Хөрөнгө оруулалт борлуулсны орлого"
"account_cashflow_tag_214_224","CF:[2.1.4] Income from sale of other long-term assets","accounts","","CF:[2.1.4] Бусад урт хугацаат хөрөнгө борлуулсны орлого"
"account_cashflow_tag_215_225","CF:[2.1.5] Repayment of loans and cash advances to others","accounts","","CF:[2.1.5] Бусдад олгосон зээл, мөнгөн урьдчилгааны буцаан төлөлт"
"account_cashflow_tag_216","CF:[2.1.6] Interest income received","accounts","","CF:[2.1.6] Хүлээн авсан хүүний орлого"
"account_cashflow_tag_217","CF:[2.1.7] Dividends received","accounts","","CF:[2.1.7] Хүлээн авсан ногдол ашиг"
"account_cashflow_tag_221","CF:[2.2.1] Paid for acquisition and possession of fixed assets","accounts","","CF:[2.2.1] Үндсэн хөрөнгө олж эзэмшихэд төлсөн"
"account_cashflow_tag_222","CF:[2.2.2] Paid to acquire intangible assets","accounts","","CF:[2.2.2] Биет бус хөрөнгө олж эзэмшихэд төлсөн"
"account_cashflow_tag_223","CF:[2.2.3] Paid to acquire investment","accounts","","CF:[2.2.3] Хөрөнгө оруулалт олж эзэмшихэд төлсөн"
"account_cashflow_tag_224","CF:[2.2.4] Paid to acquire and hold other long-term assets","accounts","","CF:[2.2.4] Бусад урт хугацаат хөрөнгө олж эзэмшихэд төлсөн"
"account_cashflow_tag_225","CF:[2.2.5] Loans and advances to others","accounts","","CF:[2.2.5] Бусдад олгосон зээл болон урьдчилгаа"
"account_cashflow_tag_311_321","CF:[3.1.1] Received from borrowing and issuing debt securities","accounts","","CF:[3.1.1] Зээл авсан, өрийн үнэт цаас гаргаснаас хүлээн авсан"
"account_cashflow_tag_312_323","CF:[3.1.2] Received from the issuance of shares and other equity securities","accounts","","CF:[3.1.2] Хувьцаа болон өмчийн бусад үнэт цаас гаргаснаас хүлээн авсан"
"account_cashflow_tag_313","CF:[3.1.3] Miscellaneous donations","accounts","","CF:[3.1.3] Төрөл бүрийн хандив"
"account_cashflow_tag_321","CF:[3.2.1] Money paid for loans and debt securities","accounts","","CF:[3.2.1] Зээл, өрийн үнэт цаасны төлбөрт төлсөн мөнгө"
"account_cashflow_tag_322","CF:[3.2.2] Paid for finance leases","accounts","","CF:[3.2.2] Санхүүгийн түрээсийн өглөгт төлсөн"
"account_cashflow_tag_323","CF:[3.2.3] Paid to buy back shares","accounts","","CF:[3.2.3] Хувьцаа буцаан худалдаж авахад төлсөн"
"account_cashflow_tag_324","CF:[3.2.4] Dividends paid","accounts","","CF:[3.2.4] Төлсөн ногдол ашиг"
"account_cashflow_tag_325","CF:[3.2.5] Various donations, grants and fines paid","accounts","","CF:[3.2.5] Төрөл бүрийн хандив, тусламж болон торгууль төлсөн"
"account_cashflow_tag_400","CF:[4] Exchange rate difference","accounts","","CF:[4] Валютын ханшийн зөрүү"
