id,name,bic,country
peruvian_national_bank,Banco de la nación,BANCPEPL,Peru
peruvian_baiopep1_bank,Banco Iberoamericano,BAIOPEP1,Peru
peruvian_bconpepl_bank,Banco Continental,BCONPEPL,Peru
peruvian_bcplpepl_bank,Banco De Credito Del Peru,BCPLPEPL,Peru
peruvian_bdcmpepl_bank,Banco De Comercio,BDCMPEPL,Peru
peruvian_belppepl_bank,Cetco S.a.,BELPPEPL,Peru
peruvian_bifspepl_bank,Banco Interamericano De Finanzas,BIFSPEPL,Peru
peruvian_binppepl_bank,Banco Internacional Del Peru,BINPPEPL,Peru
peruvian_bnpepep1_bank,Banco Nor Peru,BNPEPEP1,Peru
peruvian_bsappepl_bank,Banco Santander Peru S.a.,BSAPPEPL,Peru
peruvian_bsudpepl_bank,Scotiabank Peru,BSUDPEPL,Peru
peruvian_cbolpep1_bank,Credibolsa Sociedad Agente De Bolsa S.a.,CBOLPEP1,Peru
peruvian_citipep1_bank,Citibank Del Peru Sa,CITIPEP1,Peru
peruvian_citipepl_bank,Citibank Del Peru S.a.,CITIPEPL,Peru
peruvian_cjsipep1_bank,Caja Rural De Ahorro Y Credito Sipan S.a.,CJSIPEP1,Peru
peruvian_cofdpepl_bank,Corporacion Financiera De Desarrollo S.A.,COFDPEPL,Peru
peruvian_crhcpep1_bank,Caja Rural De Ahorro Y Credito Chavin Saa,CRHCPEP1,Peru
peruvian_crhcpep1001_bank,Caja Rural De Ahorro Y Credito Chavin Saa,CRHCPEP1001,Peru
