"id","name","description","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"vat_sale_16","16%","16%","16.0","percent","sale","tax_group_vat_16","100","base","invoice","+1",""
"","","","","","","","100","tax","invoice","+2","l10n_mz_account_44331"
"","","","","","","","100","base","refund","-1",""
"","","","","","","","100","tax","refund","-2","l10n_mz_account_44331"
"vat_sale_5","5% S","5%","5.0","percent","sale","tax_group_vat_5","100","base","invoice","+1",""
"","","","","","","","100","tax","invoice","+2","l10n_mz_account_44331"
"","","","","","","","100","base","refund","-1",""
"","","","","","","","100","tax","refund","-2","l10n_mz_account_44331"
"vat_export","0% EX","0%","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+3",""
"","","","","","","","100","tax","invoice","",""
"","","","","","","","100","base","refund","-3",""
"","","","","","","","100","tax","refund","",""
"vat_exempt_sale","0%","0%","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+4",""
"","","","","","","","100","tax","invoice","",""
"","","","","","","","100","base","refund","-4",""
"","","","","","","","100","tax","refund","",""
"vat_purch_16_fixed","16% G Fixed Assets","16%","16.0","percent","purchase","tax_group_vat_16","100","base","invoice","",""
"","","","","","","","100","tax","invoice","+5","l10n_mz_account_44322"
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","-5","l10n_mz_account_44322"
"vat_purch_16_inventories","16% G inventories","16%","16.0","percent","purchase","tax_group_vat_16","100","base","invoice","",""
"","","","","","","","100","tax","invoice","+6","l10n_mz_account_44321"
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","-6","l10n_mz_account_44321"
"vat_purch_16_other","16% GS","16%","16.0","percent","purchase","tax_group_vat_16","100","base","invoice","",""
"","","","","","","","100","tax","invoice","+7","l10n_mz_account_44323"
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","-7","l10n_mz_account_44323"
"vat_import","16% Import","16%","16.0","percent","purchase","tax_group_vat_16","100","base","invoice","",""
"","","","","","","","100","tax","invoice","+8","l10n_mz_account_44323"
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","-8","l10n_mz_account_44323"
"vat_purchase_5","5% S","5%","5.0","percent","purchase","tax_group_vat_5","100","base","invoice","",""
"","","","","","","","100","tax","invoice","+7","l10n_mz_account_44323"
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","-7","l10n_mz_account_44323"
"vat_exempt_import","0% Import","0%","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","",""
"","","","","","","","100","tax","invoice","",""
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","",""
"vat_exempt_purchase","0%","0%","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","",""
"","","","","","","","100","tax","invoice","",""
"","","","","","","","100","base","refund","",""
"","","","","","","","100","tax","refund","",""
