"id","name","code","account_type","tag_ids","reconcile","name@sr@latin"
"rs_000","Subscribed shares unpaid","000","asset_non_current","","False","Upisane a neuplaćene akcije"
"rs_001","Subscribed stakes unpaid","001","asset_non_current","","False","Upisani a neuplaćeni udeli i ulozi"
"rs_010","Investment in development","010","asset_non_current","","False","Ulaganja u razvoj"
"rs_011","Concessions, patents, licenses, goods and services brands","011","asset_non_current","","False","Koncesije, patenti, licence, robne i uslužne marke"
"rs_012","Software and other rights","012","asset_non_current","","False","Softver i ostala prava"
"rs_013","Godwill","013","asset_non_current","","False","Gudvil"
"rs_014","Other intangible assets","014","asset_non_current","","False","Ostala nematerijalna imovina"
"rs_015","Intangible assets under preparation","015","asset_non_current","","False","Nematerijalna imovina u pripremi"
"rs_016","Advances for acquisition of intangible assets","016","asset_non_current","","False","Avansi za nematerijalnu imovinu"
"rs_019","Provisions for acquisition of intangible assets","019","asset_current","","False","Ispravka vrednosti nematerijalne imovine"
"rs_020","Agricultural and other land","020","asset_non_current","","False","Poljoprivredno i ostalo zemljište"
"rs_021","Building land","021","asset_non_current","","False","Građevinsko zemljište"
"rs_022","Buildings","022","asset_non_current","","False","Građevinski objekti"
"rs_023","Plant and equipment","023","asset_non_current","","False","Postrojenja i oprema"
"rs_024","Investment property","024","asset_non_current","","False","Investicione nekretnine"
"rs_025","Other property, plant and equipment","025","asset_non_current","","False","Ostale nekretnine, postrojenja i oprema"
"rs_026","Property, plant and equipment under construction","026","asset_non_current","","False","Nekretnine, postrojenja i oprema u pripremi"
"rs_027","Investment in other property, plant and equipment","027","asset_non_current","","False","Ulaganja na tuđim nekretninama, postrojenjima i opremi"
"rs_028","Advances for property, plant and equipment","028","asset_non_current","","False","Avansi za nekretnine, postrojenja i opremu"
"rs_029","Provisions for property, plant and equipment","029","asset_non_current","","False","Ispravka vrednosti nekretnina, postrojenja i opreme"
"rs_030","Forests","030","asset_non_current","","False","Šume"
"rs_031","Plantations","031","asset_non_current","","False","Višegodišnji zasadi"
"rs_032","Livestock","032","asset_non_current","","False","Osnovno stado"
"rs_037","Natural assets under construction","037","asset_non_current","","False","Biološka sredstva u pripremi"
"rs_038","Advances for natural assets","038","asset_non_current","","False","Avansi za biološka sredstva"
"rs_039","Provisions of natural assets","039","asset_current","","False","Ispravka vrednosti bioloških sredstava"
"rs_040","Investments in capital of parent companies and subsidiaries","040","asset_non_current","","False","Učešća u kapitalu zavisnih pravnih lica"
"rs_041","Investments in capital of associated legal entities and joint ventures","041","asset_non_current","","False","Učešća u kapitalu pridruženih pravnih lica i zajedničkim poduhvatima"
"rs_042","Investments in other legal entities and other securities available for sale","042","asset_non_current","","False","Učešća u kapitalu ostalih pravnih lica i druge hartije od vrednosti raspoložive za prodaju"
"rs_0430","Long-term domestic loans to parent companies, to subsidiaries","0430","asset_non_current","","False","Dugoročni domaći krediti matičnim preduzećima, zavisnim preduzećima"
"rs_0431","Long-term domestic loans to other associated companies","0431","asset_non_current","","False","Dugoročni domaći krediti drugim povezanim preduzećima"
"rs_0440","Long-term foreign loans to parent companies, to subsidiaries","0440","asset_non_current","","False","Dugoročni inostrani krediti matičnim preduzećima, zavisnim preduzećima"
"rs_0441","Long-term foreign loans to other associated companies","0441","asset_non_current","","False","Dugoročni inostrani krediti drugim povezanim preduzećima"
"rs_0450","Long term domestic loans","0450","asset_non_current","","False","Dugoročni domaći krediti"
"rs_0451","Long term foreign loans","0451","asset_non_current","","False","Dugoročni inostrani krediti"
"rs_046","Securities held to maturity","046","asset_non_current","","False","Hartije od vrednosti koje se drže do dospeća"
"rs_047","Own stocks and shares purchased","047","asset_non_current","","False","Otkupljene sopstvene akcije i otkupljeni sopstveni udeli"
"rs_048","Other long term financial investments","048","asset_non_current","","False","Ostali dugoročni finansijski plasmani"
"rs_049","Provisions for long-term financial investments","049","asset_non_current","","False","Ispravka vrednosti dugoročnih finansijskih plasmana"
"rs_050","Receivables from parent and dependent legal entities","050","asset_non_current","","False","Potraživanja od matičnih i zavisnih pravnih lica"
"rs_051","Receivables from other related parties","051","asset_non_current","","False","Potraživanja od ostalih povezanih lica"
"rs_052","Receivables based on sales on commodity credit","052","asset_non_current","","False","Potraživanja po osnovu prodaje na robni kredit"
"rs_053","Receivables for sale under financial lease agreements","053","asset_non_current","","False","Potraživanja za prodaju po ugovorima o finansijskom lizingu"
"rs_054","Receivables based on warranty","054","asset_non_current","","False","Potraživanja po osnovu jemstva"
"rs_055","Contested and doubtful receivables","055","asset_non_current","","False","Sporna i sumnjiva potraživanja"
"rs_056","Other long term receivables","056","asset_non_current","","False","Ostala dugoročna potraživanja"
"rs_059","Provisions of long term receivables","059","asset_non_current","","False","Ispravka vrednosti dugoročnih potraživanja"
"rs_100","Material purchase costs calculation","100","asset_current","","False","Obračun nabavne vrednosti zaliha materijala, rezervnih delova, alata i inventara"
"rs_101","Raw materials","101","asset_current","","False","Materijal"
"rs_102","Spare parts","102","asset_current","","False","Rezervni delovi"
